"country","year","corporate_rank","corporate","consumption_rank","consumption","property_rank","property","income_rank","income","cross_border_rank","cross_border","final_rank","final","ISO_2","ISO_3"
"Australia",2021,33,49.0927119158812,7,83.3371158959767,3,83.4665974160176,15,66.5556952771872,16,76.6948076479711,7,78.3369435225427,"AU","AUS"
"Austria",2021,22,58.5690993822198,15,62.9237677684401,18,63.2177797589595,27,58.2933586856866,8,83.2776264496299,17,68.8140209726587,"AT","AUT"
"Belgium",2021,13,67.9237584323255,25,53.0467115773374,32,45.2185382321281,13,72.6058985847098,18,73.2810538087599,22,64.1593172810395,"BE","BEL"
"Canada",2021,26,56.5086621644545,8,83.3196371453828,25,59.1823928056974,28,56.2036249932471,19,72.073078897235,15,69.6964547492634,"CA","CAN"
"Chile",2021,15,65.6261572802414,11,77.008285795448,11,72.204768136801,25,59.6297370836439,37,43.0416887472417,19,67.6235158917798,"CL","CHL"
"Colombia",2021,35,39.7087289237883,17,61.3495497437702,29,48.8916332321287,16,65.4482964096495,35,48.8284880729932,36,52.149950590282,"CO","COL"
"Costa Rica",2021,34,41.7220424367791,9,82.7871639696029,16,65.3018161631927,14,68.4897089330163,21,69.9051656805235,16,69.6791611699734,"CR","CRI"
"Czech Republic",2021,6,76.9801094905976,26,51.5203877231752,7,77.4488431947921,4,93.3555995449506,12,79.7988129172311,5,82.0555956773506,"CZ","CZE"
"Denmark",2021,18,62.7794459885818,23,54.1980575423962,12,69.6053802029005,36,47.5549647218929,31,60.237796399438,28,60.9354063638653,"DK","DNK"
"Estonia",2021,1,100,14,64.0138748198243,1,100,1,100,13,79.7328242330869,1,100,"EE","EST"
"Finland",2021,9,72.5249688027617,20,55.4939883209441,20,61.2407531226382,30,55.7647559776863,24,69.5353468515617,21,65.8139764104531,"FI","FIN"
"France",2021,38,34.2327991068005,33,42.7540674794469,34,38.9731056609218,34,50.0858759232199,14,79.0803657417338,38,46.3540434444209,"FR","FRA"
