"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"CL","CHL","Chile",2015,22.5,100,100,0.632611659769417,0.338474732816403,0,0.5,0,1,0.31,42,1,5,0.4,10.379357,1.16167995248495,1,124.5,0.2,0,0.22580645,19,0,0.637910442501669,124.5,0.5,0.405256773907673,1,0,1,0,1,1,0,0,1,0.35,0.35,0.3,25,0,0.5
"CZ","CZE","Czech Republic",2015,19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,0.18,53,1,5,0.11,3e-06,1.133819821388,2,75,0.15,1,0.15,21,67707.9535587165,0.567982087694536,102,0.5,0.0961258181023182,1,0,0,1,1,1,1,1,1,0.15,0.15,0.15,83,0,0.5
"DE","DEU","Germany",2015,29.780475,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,1,-0.02,41,2,6,0.47475,5.655649,1.10442828089418,1,134,0.26375,0,0.26375,19,21297.5222109729,0.544024728166151,43,0.5,0.193685682312098,1,0,0,1,1,1,0.95,0.95,0,0.26375,0,0.15825,94,0.333333333333333,1
"DK","DNK","Denmark",2015,23.5,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,1,-0.01,27,3,6,0.55564,1.227747,1.29006643084604,1,65,0.42,0,0.42,25,5879.07638734969,0.569043391126965,40,0.5,0.672812155248925,1,0,0,1,1,1,1,1,1,0.27,0.25,0.25,73,0.666666666666667,0.5
"EE","EST","Estonia",2015,20,100,100,1,1,1,1,1,1,0,20,1,7,0.1712,0.142892,1.05257052948518,0,34,0.2,0,0,20,25581.7765656457,0.66305152424901,27,1,0.145351462899772,1,1,1,1,1,1,1,0,1,0,0,0.1,55,0.666666666666667,0
"ES","ESP","Spain",2015,28,0,50,0.695001856615886,0.291385530174685,0.278958448750364,0.5,0,0,0.31,33,1,7,0.52,11.66034,1.11417059133755,1,90,0.24,0,0.235,21,0,0.38748565011524,44,0,0.475499759339168,0,0,0,1,0,1,1,1,1,0.195,0.195,0.195,87,0.333333333333333,1
"FI","FIN","Finland",2015,20,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,1,0.2,21,1,4,0.57211391,2.530586,1.26763835062432,3,48,0.33,0,0.2805,24,8589.47283647476,0.551506657323055,24,0.5,0.284295295819871,1,0,0,1,1,0,1,1,1,0.2,0,0.2,75,0.666666666666667,1
"FR","FRA","France",2015,37.9962,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,0,0.425,26,1,6,0.55011,15.054145,1.20556750316793,2,80,0.344,0,0.44001,20,93551.0876400815,0.483017640749106,31,0.5,1.20554793024136,0,0,0,0,0,0,0.95,0.88,1,0.3,0,0.3333,122,0.666666666666667,1
"GB","GBR","United Kingdom",2015,20,1,100,0.758823529411765,0,0.826923076923077,0,0,0,0.185,32,1,6,0.47,4.271088,1.38756816269463,1,48,0.28,0,0.3055625,20,102850.559900547,0.427416902020421,25,0.5,1.7770177137721,1,0,0,0,1,0,1,1,0,0,0.2,0.2,123,0.666666666666667,0
"GR","GRC","Greece",2015,29,0,5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,1,0.08,78,1,6,0.4537,5.272871,1.19559693227704,1,46,0.15,0,0.1,23,6677.54959454146,0.359776147489019,69,0,0.619133844415122,1,0,0,1,0,1,1,0,1,0.1,0.15,0.2,57,0.333333333333333,1
"HU","HUN","Hungary",2015,19,0,2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,0,0.285,35,2,7,0.345,0,1,2,146,0.16,0,0.16,27,42328.198651231,0.522674408338248,96,0,0.29737093902133,1,0,0,0,1,1,1,1,0,0,0,0,75,0.666666666666667,0.5
"IE","IRL","Ireland",2015,12.5,1,100,0.787075165170195,0.479318672008477,0.646263719038607,0,0,1,0.245,10,1,7,0.52,0.756265,1.46134403564978,1,40,0.33,0,0.51,23,78844.2561518391,0.446732914217138,29,0.5,0.495058821022503,1,0,0,1,1,0,0,1,1,0.2,0.2,0.2,68,0,0
"IL","ISR","Israel",2015,26.5,0,100,0.869865253929667,0.547953910556565,0.787075165170195,0.5,0,1,0,110,2,14,0.5,6.0228,1.76965090948087,12,60,0.27,1,0.32,18,18611.874917961,0.643168703186387,69,0.5,1.25573061224489,1,1,0,1,1,1,0,0,1,0.3,0.265,0.265,53,0.666666666666667,0
"IS","ISL","Iceland",2015,20,0,10,0.86,0.477777777777778,0.812269350072009,0,0,1,0.24,40,1,7,0.443904,1.366742,1.27330859262124,13,60,0.2,0,0.2,24,7006.49705254991,0.449371523596307,40,0,0.741954559727958,1,0,1,0,1,1,1,1,0,0.18,0.1,0.2,39,0.666666666666667,0
"IT","ITA","Italy",2015,31.29275,0,80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,0,-0.02,39,2,10,0.478431,9.885683,1.2046218896522,1,198,0.26,0,0.26,22,35990.6737367146,0.371966228788423,32,0,0.518008861050861,0,0,0,1,0,0,0.95,0.95,1,0.26,0.26,0.225,95,0.666666666666667,1
