"country","year","corporate_rank","corporate","consumption_rank","consumption","property_rank","property","income_rank","income","cross_border_rank","cross_border","final_rank","final","ISO_2","ISO_3"
"Australia",2026,29,55.7736582427302,9,83.5667718281677,2,82.1449855841646,15,69.1396376255549,20,67.7644555655406,7,81.228095470333,"AU","AUS"
"Austria",2026,11,68.8576745478535,17,59.9862542426358,16,62.3275624288474,27,58.7553238526794,14,75.2745922326846,16,71.8021771464462,"AT","AUT"
"Belgium",2026,16,66.4615168802126,25,52.6264777167887,30,44.3103457749468,17,68.2936109071955,24,64.6895172707689,29,63.1757664942411,"BE","BEL"
"Canada",2026,17,65.78514238506,8,85.6142745704341,21,59.1954839491751,29,57.1575531032208,27,62.3609038092763,12,74.3118490041812,"CA","CAN"
"Chile",2026,32,51.330938529991,10,80.1580838557772,10,71.4765203882988,24,59.6604865364257,38,38.9269312458026,24,66.4771317313437,"CL","CHL"
"Colombia",2026,37,40.7919350266501,15,60.5540295161645,31,43.2889405476285,13,72.5415261113321,35,44.2752234522953,36,53.0854318195668,"CO","COL"
"Colombia",2026,21,62.1815096728641,15,60.5540295161645,31,43.2889405476285,13,72.5415261113321,35,44.2752234522953,33,60.0122660179062,"CO","COL"
"Costa Rica",2026,34,49.39428320736,6,87.0676757976017,11,70.5712180629573,33,50.2797726722227,26,62.869349046301,17,71.2909346145518,"CR","CRI"
"Czech Republic",2026,9,72.604744930271,32,43.472656430344,6,76.7044062508418,6,90.2646888357236,12,77.040236305821,8,79.8889539190754,"CZ","CZE"
"Denmark",2026,18,63.638715266755,20,57.556374134949,12,68.7728385370208,37,44.0108433746834,33,54.4273525910233,30,62.7913107841902,"DK","DNK"
"Estonia",2026,2,95.8645117610851,24,53.6295896664306,1,100,2,98.4175177336746,9,80.1586681433005,1,100,"EE","EST"
"Finland",2026,10,72.1217916979076,28,49.8675138619742,20,59.9795551926058,26,59.2895241763788,21,67.2320484289025,21,67.2445504058166,"FI","FIN"
"France",2026,38,28.9262374279211,31,45.9107315032555,34,40.3284203638773,32,50.5038984772762,10,77.9648172371027,38,46.8375958753517,"FR","FRA"
"Germany",2026,30,53.8650400781795,12,65.3265250014015,13,67.2779601010237,35,48.1749275644283,8,81.5289117326374,19,69.0769099316827,"DE","DEU"
"Greece",2026,19,63.6349792788108,29,47.7317847805588,33,42.0861050697698,4,90.9199796792069,17,71.3981921876285,22,66.9898267353239,"GR","GRC"
"Hungary",2026,3,86.5672816504059,38,30.3941739553473,22,58.9292889057837,5,90.404308323729,4,88.8957064629634,9,78.078309963956,"HU","HUN"
"Iceland",2026,15,67.0380783057847,19,58.2331856376891,26,51.6324508078905,28,58.2050923197587,25,64.1833558637799,27,64.7544139000736,"IS","ISL"
"Ireland",2026,5,80.7054478057097,35,38.159506216273,17,61.3622596988566,36,45.1149115684652,29,58.8559245352956,31,61.5005939828845,"IE","IRL"
"Italy",2026,28,57.6501819121646,37,34.6434365656479,38,32.1013511211481,18,64.091750692596,23,64.8317048223637,37,50.2722378932271,"IT","ITA"
"Japan",2026,36,40.7971923453671,5,91.2164641599762,23,58.3714832847457,34,49.0207733655775,30,58.8211820196635,26,64.9579364650621,"JP","JPN"
"Korea",2026,25,58.0191128227363,2,96.5552321519691,29,45.884736949024,38,40.1988056018199,28,60.3190026324979,23,66.8414182492161,"KR","KOR"
"Latvia",2026,1,100,22,55.4094292778205,5,77.2819187608034,1,100,6,83.4404641594524,2,96.4169204619914,"LV","LVA"
"Lithuania",2026,4,83.7351070902506,23,54.3035092681307,9,74.3081851085309,10,80.6015039407625,16,73.5323806442772,5,83.0363132724644,"LT","LTU"
"Luxembourg",2026,20,63.3108865343877,7,86.4243752777984,15,63.7659348472887,23,60.2697264335274,5,85.2957313970884,6,81.3383125877307,"LU","LUX"
