country,year,corporate_rank,corporate,consumption_rank,consumption,property_rank,property,income_rank,income,international_rank,international,final_rank,final,ISO_2,ISO_3,Scenario
Chile,2019,30,47.53145608,28,61.31797944,17,65.03080539,23,63.66101684,36,35.86287846,32,49.09797202,CL,CHL,Baseline
Chile,2015,13,63.66432724,29,50.42834814,17,67.23217668,21,61.27016375,35,40.58940254,29,56.00464905,CL,CHL,Baseline
Chile,2014,13,68.47285697,29,48.02239588,18,66.62570818,21,59.72174322,35,40.68936418,31,55.78775827,CL,CHL,Baseline
Chile,2016,19,61.41602839,31,46.88601336,17,67.34828459,29,53.63570738,36,30.48658626,33,49.4570486,CL,CHL,Baseline
Chile,2018,29,47.31417508,30,48.47645321,17,66.81389047,20,61.20833442,36,30.15430762,33,46.67324417,CL,CHL,Baseline
Chile,2017,29,49.578641,30,46.65803244,17,67.21179706,23,62.6802346,36,30.31962749,33,49.28914369,CL,CHL,Baseline
Chile,2019,18,57.50250257,28,61.31797944,17,65.03080539,23,63.66101684,36,35.86287846,32,51.686257,CL,CHL,20 PCT CIT
Chile,2015,13,63.66432724,29,50.42834814,17,67.23217668,21,61.27016375,35,40.58940254,29,56.00464905,CL,CHL,20 PCT CIT
Chile,2014,13,68.47285697,29,48.02239588,18,66.62570818,21,59.72174322,35,40.68936418,31,55.78775827,CL,CHL,20 PCT CIT
Chile,2016,19,61.41602839,31,46.88601336,17,67.34828459,29,53.63570738,36,30.48658626,33,49.4570486,CL,CHL,20 PCT CIT
Chile,2018,29,47.31417508,30,48.47645321,17,66.81389047,20,61.20833442,36,30.15430762,33,46.67324417,CL,CHL,20 PCT CIT
Chile,2017,29,49.578641,30,46.65803244,17,67.21179706,23,62.6802346,36,30.31962749,33,49.28914369,CL,CHL,20 PCT CIT
