country,year,corporate_rank,corporate,consumption_rank,consumption,property_rank,property,income_rank,income,international_rank,international,final_rank,final,ISO_2,ISO_3,Category
Greece,2014,25,58.84677934,27,49.56402543,25,57.79663092,10,77.55548078,28,57.17600873,26,60.20893192,GR,GRC,Baseline
Greece,2015,28,50.41098313,27,50.58831154,26,58.45604821,9,77.47781165,28,53.41696787,27,57.7370114,GR,GRC,Baseline
Greece,2016,29,49.79857023,27,48.75311398,28,56.19098444,23,59.00919667,28,53.78693236,31,51.43984576,GR,GRC,Baseline
Greece,2017,30,49.24999972,31,46.63239446,29,54.99111129,18,70.49435804,29,51.93280322,31,53.14938497,GR,GRC,Baseline
Greece,2018,31,45.33558309,31,48.17286944,27,53.99303398,17,65.55710955,29,52.15342469,31,49.52500164,GR,GRC,Baseline
Greece,2019,29,47.60995221,31,58.53026225,28,50.88662855,18,70.46090514,26,65.24586903,30,52.92206727,GR,GRC,Baseline
Greece,2019,20,55.62505187,31,58.53026225,28,50.88662855,12,75.42950515,26,65.24586904,29,56.24050417,GR,GRC,Reform
