"country","year","corporate_rank","corporate","consumption_rank","consumption","property_rank","property","income_rank","income","cross_border_rank","cross_border","final_rank","final","ISO_2","ISO_3"
"Australia",2025,29,56.5375355043234,9,82.0935659157559,2,81.891245913599,14,69.658710403707,23,65.7769295499064,7,80.1700830375068,"AU","AUS"
"Austria",2025,18,67.1209684656037,17,58.3938170298529,17,62.7191010394123,25,58.143265622717,10,78.9507269721604,18,71.2355445407331,"AT","AUT"
"Belgium",2025,16,67.5140860686043,26,50.2829958112794,31,44.1616235280928,13,72.8877402928272,21,68.180579166001,28,64.5883867397717,"BE","BEL"
"Canada",2025,17,67.2101923736868,7,83.9590590503839,25,58.8469099254701,26,57.6109426408824,28,61.6216484816609,14,73.7465400437502,"CA","CAN"
"Chile",2025,32,54.367710742524,10,76.762200350401,11,72.0959792244882,20,61.5515665885229,37,41.4498618439862,21,67.6557652434457,"CL","CHL"
"Colombia",2025,37,41.6302277508374,15,59.0304982382082,32,42.6992470035148,22,58.6878092609942,36,41.5157500347311,37,49.1618839115808,"CO","COL"
"Costa Rica",2025,34,49.0942764132844,8,83.9138446680743,12,70.8818728944223,15,69.3599200960324,30,59.5661266019412,15,73.6892498969477,"CR","CRI"
"Czech Republic",2025,9,73.1343627551778,33,41.546195504734,6,77.3050543050806,10,80.089560236027,11,77.9875845838202,8,77.2185011260676,"CZ","CZE"
"Denmark",2025,19,66.8446650590128,19,55.1269711229097,13,69.1530837601711,36,48.2907389706499,32,54.1469884866457,29,64.1029911694023,"DK","DNK"
"Estonia",2025,2,96.0156578286228,22,52.6866046532895,1,100,2,98.6849432095416,7,83.5699408872237,1,100,"EE","EST"
"Finland",2025,8,74.2519318201313,28,46.8188280978735,19,60.786349359616,28,57.322546291977,25,64.4326082143661,23,66.0111780430809,"FI","FIN"
"France",2025,38,28.7013863118203,31,43.9752736689126,34,40.6048174648622,33,50.4045850998075,12,76.1055586041163,38,45.8314174731284,"FR","FRA"
"Germany",2025,30,55.454763073824,13,63.1171439968242,14,67.9038038171129,34,49.2281808192278,8,82.2743215912176,19,69.0895520500058,"DE","DEU"
"Greece",2025,22,62.5164222578082,29,45.7546668329739,33,42.0697958521847,4,90.2732683545265,19,70.620648298477,24,65.6442041925683,"GR","GRC"
"Hungary",2025,5,78.7139536174888,37,31.0873580833912,22,59.6203445561233,3,92.226499109372,3,93.4978693814872,9,77.1241416999003,"HU","HUN"
"Iceland",2025,15,68.6882382340866,23,52.2068739034824,27,52.4231183411992,32,50.4682321727219,26,63.5283475749847,32,61.633407266784,"IS","ISL"
"Ireland",2025,4,81.571324935836,36,34.6394578492773,18,62.0432127868083,37,45.4835646120585,27,62.2310790296805,31,61.8054371611113,"IE","IRL"
"Israel",2025,11,71.4617901927651,11,69.6462020617504,5,78.3668183946775,31,51.1543287450221,18,70.9453121288164,10,77.0508224784513,"IL","ISR"
"Italy",2025,27,59.5365384299609,38,30.6351703213968,38,31.8236470209824,16,65.4830775317769,22,65.9824217479045,36,50.3822776186326,"IT","ITA"
"Japan",2025,36,44.0615490529184,5,87.5943416985537,23,58.9267028257984,35,49.0162518804573,29,60.1321499657728,25,65.1214543939114,"JP","JPN"
"Korea",2025,23,62.2327914233725,3,92.2749401451743,30,46.5165127828718,38,39.2867962651555,34,53.3628619723985,26,64.9464965385528,"KR","KOR"
"Latvia",2025,1,100,20,53.418147235958,7,77.2831298620747,7,84.8296319901769,6,86.5849788351915,2,92.3987451472118,"LV","LVA"
"Lithuania",2025,3,84.7770198643216,25,50.5543996079636,10,74.7951815600882,9,80.9658176795796,16,73.3062094688826,5,82.0526853217992,"LT","LTU"
"Luxembourg",2025,20,64.790984470196,6,83.970586231948,16,64.4256220040902,21,60.3717975590593,5,89.5847568974597,6,81.5656807654382,"LU","LUX"
"Mexico",2025,28,58.1037647414045,12,65.615015573752,3,81.3560464782565,27,57.5267063917882,38,40.4459250010876,22,67.0142333339711,"MX","MEX"
"Netherlands",2025,24,62.1607146169158,16,58.9623425551571,21,60.0236859864484,30,54.3372899825489,4,93.4219767812908,17,71.4367670160453,"NL","NLD"
"New Zealand",2025,31,54.7814421482872,1,100,4,80.5807248785105,6,86.3017635990283,14,74.8681789220926,3,90.5329806462675,"NZ","NZL"
