"","corporate","consumption","property","income","cross_border","final"
"corporate",1,-0.254647247277217,0.36790429128719,0.364739058940738,0.366227707459771,0.639112829542132
"consumption",-0.254647247277217,1,0.142031964292921,-0.154094080593325,-0.156830852723956,0.356170249087913
"property",0.36790429128719,0.142031964292921,1,0.257894171461991,-0.0456552400120833,0.677174596049129
"income",0.364739058940738,-0.154094080593325,0.257894171461991,1,0.170479237551435,0.541302214624488
"cross_border",0.366227707459771,-0.156830852723956,-0.0456552400120833,0.170479237551435,1,0.419523080259507
"final",0.639112829542132,0.356170249087913,0.677174596049129,0.541302214624488,0.419523080259507,1
