"country","year","corporate_rate_rank","corporate_rate","cost_recovery_rank","cost_recovery","incentives_rank","incentives","consumption_tax_rate_rank","consumption_tax_rate","consumption_tax_base_rank","consumption_tax_base","consumption_tax_complexity_rank","consumption_tax_complexity","real_property_tax_rank","real_property_tax","wealth_taxes_rank","wealth_taxes","capital_taxes_rank","capital_taxes","capital_gains_and_dividends_rank","capital_gains_and_dividends","income_tax_rank","income_tax","income_tax_complexity_rank","income_tax_complexity","territorial_rank","territorial","withholding_taxes_rank","withholding_taxes","tax_treaties_rank","tax_treaties","international_regulations_rank","international_regulations","ISO_2","ISO_3"
"Australia",2018,33,37.931390051632,20,46.1591242145649,6,86.1158487484454,4,89.5054248141666,28,52.6734077611439,20,71.0520416668954,2,83.1347561387864,1,100,14,64.2844659801546,22,60.2553742733928,25,52.7164741382646,9,85.3940640294995,1,100,27,41.0415063037937,33,41.0077962208726,11,63.0349028712379,"AU","AUS"
"Australia",2014,28,47.2602742678667,18,44.6428081895563,8,88.2715752155327,4,81.7210607974282,28,43.7978053741503,20,68.8431780700329,2,84.0017330138691,1,100,7,79.3697667380259,23,56.9651567389366,25,58.1511501115703,8,85.2740667877814,1,100,28,45.1931650734657,33,44.9633236952228,18,63.2018038452159,"AU","AUS"
"Australia",2020,33,26.9739685417887,20,46.1594317494789,7,83.8321697393564,3,89.4584397040243,30,49.3992584615609,22,78.8151236568141,2,82.2781953155863,1,100,14,65.2812017352521,21,60.1673776538466,22,51.4321909243987,10,85.4022482883863,1,100,27,40.8329110178634,33,41.384847371674,4,77.2946630163907,"AU","AUS"
"Australia",2021,34,25.2701838308614,24,37.2064248768167,8,83.377219265867,3,89.4584397040243,29,50.4676299442511,22,78.8397251065353,2,82.9068221256256,1,100,14,65.1733728175226,20,60.4022801081279,26,51.8046597857177,9,84.6020608263949,1,100,27,40.8335441890027,33,41.384847371674,4,77.3545459996439,"AU","AUS"
"Australia",2019,33,32.2302216846791,18,46.1771433596649,7,84.6157958366858,4,89.5054248141666,28,50.4016145475559,21,71.1624205390336,2,83.3483404661249,1,100,14,64.4968040195217,22,60.171149287761,19,53.139103805376,10,85.3752857543577,1,100,27,41.0422441722094,34,40.9742992024627,5,78.1830888823687,"AU","AUS"
"Australia",2016,31,48.4197910639128,18,40.2498338285785,6,84.2083528734572,4,89.172839190627,27,44.4964921610655,20,71.4194235990863,2,83.7224220980496,1,100,8,80.4330525195298,21,52.7592809884677,27,51.7666537962085,9,85.2623731144492,1,100,28,45.4260006555173,33,43.361110821051,15,63.3667087678125,"AU","AUS"
"Australia",2017,32,50.8954767911077,18,43.2873316729981,9,86.3637684410737,4,89.4976952063234,27,51.6873510737169,20,71.0901211071876,2,83.5400273773786,1,100,14,64.3130633197506,22,59.2320266938348,27,51.3228726548659,9,85.2625500579352,1,100,27,48.3256431981685,33,41.9447185904346,12,62.9464961008364,"AU","AUS"
"Australia",2015,30,47.1718031205573,17,43.1411762055119,6,87.7648514090675,4,89.1693563063287,27,44.8258518674181,19,71.5051994641486,2,83.6498676751467,1,100,7,79.3697667380259,23,55.7009326393397,23,53.7308961686944,9,85.2633327515582,1,100,28,45.3506550587571,33,44.4337919953578,16,63.3715731470027,"AU","AUS"
"Austria",2014,19,62.3287673341905,11,47.3023068962749,14,82.4260070255032,15,45.1631823922846,15,57.3308891646115,24,60.0379892637378,28,45.6647327088842,1,100,26,47.4738408991706,22,57.4350993486726,34,42.7939358248674,16,76.3574690402879,1,100,16,63.9995635451587,11,72.8299952419454,6,78.8300170530603,"AT","AUT"
"Austria",2017,20,62.587029936082,13,45.1624575677575,18,80.5477997858198,15,49.104215230644,14,64.6317884777975,13,81.4150778546206,28,46.316749393669,1,100,14,64.3130633197506,27,53.1098931563426,37,26.5890534850121,16,77.8870670962156,1,100,16,64.1196714711115,13,71.6803505319193,5,79.4369564160959,"AT","AUT"
"Austria",2018,19,52.7096305155291,14,48.1985305275768,17,79.4796249430934,15,49.1416740994227,14,66.5131216060334,13,81.3905982144328,27,47.2233560707214,1,100,14,64.2844659801546,26,53.1057925608078,37,26.7668900624656,16,76.9800045997906,1,100,15,59.255161014519,11,71.5449370006562,5,80.0036054975614,"AT","AUT"
"Austria",2015,19,62.2655736575409,11,45.9288152986678,14,82.2335497274787,15,49.0558611445829,15,55.6428577050585,24,59.9715897234468,28,45.8312424900577,1,100,27,47.4738408991706,22,57.3738420573035,33,43.8553254023414,16,77.1365847724198,1,100,17,64.0865460925592,11,73.2719505800455,5,79.6659739725675,"AT","AUT"
"Austria",2016,19,63.1569936170806,12,43.3311637799739,12,79.3350511128994,15,49.0722436003568,14,54.8376947496998,13,81.6267723136984,28,45.9069645349121,1,100,16,65.1003159676678,25,49.7779701589764,32,47.2211920166912,16,77.8882874897469,1,100,18,62.1624845347627,11,73.0965276399992,5,79.6733711884354,"AT","AUT"
"Austria",2020,22,44.3611188889818,15,48.4377576782365,24,60.2840035737344,15,48.9139770271945,14,63.4009171959645,14,86.3811509222377,27,47.8621100437101,1,100,14,65.2812017352521,24,53.1172875136254,37,26.4715928990347,18,77.034962658718,1,100,16,59.1889274253402,11,71.7268087322192,4,77.2946630163907,"AT","AUT"
"Austria",2021,21,43.0629972044658,7,49.3304917188961,24,59.6404619983232,15,48.9139770271945,16,65.4717414352602,14,86.3969661399155,27,48.1109714670941,1,100,14,65.1733728175226,24,53.3796912696856,37,27.4243302094062,19,77.4942352073904,1,100,16,59.1863126164848,11,71.7268087322192,8,57.2672450807713,"AT","AUT"
"Austria",2019,21,48.3658831883269,14,48.5452442065303,17,76.2674959974044,15,49.1416740994227,14,65.3373114660628,13,81.4615560608074,27,48.1729583909113,1,100,14,64.4968040195217,26,53.1195094950989,37,26.6890323095127,17,77.1095198819015,1,100,16,59.256076517182,11,72.2231996246883,5,78.1830888823687,"AT","AUT"
"Belgium",2018,30,39.1727622505993,3,72.6067810202953,21,73.9585425843657,20,45.1052990279483,23,56.5394059642769,29,53.8211140876665,23,61.2157937565584,33,48.8996853585473,27,47.7278088855509,15,76.5395560289767,17,56.861897925655,8,85.4712057650751,1,100,36,26.0391734607314,5,76.403118488349,5,80.0036054975614,"BE","BEL"
"Belgium",2017,34,41.5656173814181,2,68.8382609433703,23,74.42652596463,20,45.064867233076,24,55.1627353532429,29,53.881859861466,23,60.7191121935884,10,69.2053315678677,28,47.7490408945295,15,76.2540467706425,19,56.4693402027672,8,86.1508139399848,13,98.2989235342386,35,35.4550745460051,6,76.6362891888334,5,79.4369564160959,"BE","BEL"
"Belgium",2019,30,33.5856172509855,3,71.5233413146945,19,70.9950070287041,20,45.1052990279483,24,55.3891477435923,29,53.9971946694108,23,62.2519729756771,33,48.8996853585473,27,48.038580511379,14,76.6880975172401,18,54.1018195910275,9,85.5682438907227,1,100,36,26.0396416083556,6,76.3897196809851,4,79.3195065024765,"BE","BEL"
"Belgium",2014,33,35.2356168009404,2,73.2151869206104,25,69.5785812249466,20,41.5073945517703,14,58.57499453925,27,57.3287004002624,23,61.1918938085837,11,69.2053315678677,26,47.4738408991706,11,81.5998743554078,14,63.0316629278793,7,86.1236309570732,13,98.2930193608553,29,42.8908308728009,7,77.7066627626219,6,78.8300170530603,"BE","BEL"
"Belgium",2020,22,44.3611188889818,3,71.1988819347636,16,70.117074440513,20,44.8595307595116,23,55.4718819532005,29,66.2050782144416,22,62.6033798091199,10,70.1353110807781,27,48.6228164807869,14,76.875752514119,19,53.5837648425799,9,85.5099352232515,1,100,36,25.9338214811221,7,75.8643489177481,9,57.4186809264855,"BE","BEL"
"Belgium",2021,21,43.0629972044658,5,59.2596671699178,16,68.8656495428388,20,44.8595307595116,22,56.305599454523,29,66.2443233842348,23,62.0533930666433,33,48.8996853585473,26,48.8367598174512,14,76.6841164693389,20,54.7798337323715,8,85.9651921468302,1,100,36,25.9386431895907,7,75.8643489177481,8,57.2672450807713,"BE","BEL"
