"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AT","AUT","Austria",2014,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,0,0.12,0,2,0,1.051,0.5,14.163515,1.114334832,0,0,0.25,0.25,20,34987.89331,0.586919286,0,0.091328234,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5
"AU","AUS","Australia",2014,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1425,0,0,0,0,0.465,2.32037,1.416589929,0,0,0.2325,0.27121,10,48730.64034,0.454333573,1,0.719402688,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.25,0.5
"BE","BEL","Belgium",2014,0.3399,0,100,0.875897349,0.622404879,1.014865254,1,1,1,0.155,0,3,1,0.017,0.6657,0.718312,1.194851451,0,0,0,0.25,21,6319.04976,0.477677753,0.5,0.531860638,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
"CA","CAN","Canada",2014,0.262,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.245,0,1,0,0.878,0.495296,8.209677,1.224414101,0,0,0.2475,0.338414,15.6,23453.72582,0.375507158,0.5,1.548706217,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.25,0.5
"CH","CHE","Switzerland",2014,0.21148581,0,7,0.86,0.55483871,0.905263158,1,0,0,-0.01,0,0,0,3.816,0.4167,3.487231,1.357273252,0,0,0,0.21135,8,63826.82681,0.695425757,0.5,0.061219544,1,1,1,1,1,1,1,1,0,0.35,0.35,0,89,0,0.5
"CL","CHL","Chile",2014,0.21,100,100,0.63261166,0.338474733,0,0.5,0,0,0.295,0,1,0,4.866,0.4,10.408629,1.162326744,0,0,0.2,0.24050633,19,0,0.664812881,0.5,0.428327307,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,25,0,0.5
"CO","COL","Colombia",2014,0.34,0,100,0.737888703,0.547953911,0.869865254,0.5,0,0,0.31,0,5,1,0.883,0.33000001,22.964026,0,0,8.99,0.1,0,16,0,0.462679063,0.5,0.412846043,0,0,1,0,0,1,0,0,0,0.2,0.33,0.33,4,0,0.5
"CR","CRI","Costa Rica",2014,0.3,0,3,0.822456691,0.602353619,0,1,0,0,-0.02,0,3,0,2.289,0.22937123,2.137969,1.054891753,0,28.548,0,0.15,13,0,0.459392991,0.5,0.150760381,0,0,1,0,1,1,0,1,0,0.2,0.15,0.25,1,0,0
"CZ","CZE","Czech Republic",2014,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.175,0,0,0,0,0.311,0.409393,1.138235968,0,0,0,0.15,21,67707.95356,0.565403521,0.5,0.091880062,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5
"DE","DEU","Germany",2014,0.2970721,1,60,0.737888703,0.391406013,0.869865254,1,0,0,-0.02,0,0,1,0,0.47475,5.77971,1.103639675,1,0,0.25,0.26375,19,21297.52221,0.555258797,0.5,0.195914011,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.25,1
