"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2014,0.25,0,75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,0,0.12,0,2,0,0.441723,0.5,13.879673,1.09645361773845,0,0,0.25,0.25,20,34987.893314216,0.592377033703392,0,0.117337554354194,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5,0
"AU","AUS","Australia",2014,0.3,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1425,0,0,0,0,0.465,2.266751,1.43905821484179,0,0,0.2325,0.27142857,10,48730.6403375008,0.451234945719453,1,0.744876722152994,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5,0
"BE","BEL","Belgium",2014,0.3399,0,100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,1,0.155,0,3,1,0.007604,0.5839317,1.592011,1.20775753738468,0,0,0,0.25,21,6319.04976005039,0.472228833755445,0.5,0.683286814295638,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5,0
"CA","CAN","Canada",2014,0.26225272,3,20,0.965116279069767,0.614285714285714,0.43,0.5,0,0,0.245,0,1,0,0.273643,0.495296,3.421462,1.24818605090435,0,0,0.2475,0.338414,15.6,23453.725818895,0.375507158225657,0.5,1.54969026526429,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,95,0.333333333333333,0.5,0
"CH","CHE","Switzerland",2014,0.21148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,0,-0.01,0,0,0,0.995491,0.41752888,3.461304,1.37395503520181,0,0,0,0.21135,8,63826.8268100133,0.687148595173838,0.5,0.0652880508943644,1,1,1,1,1,1,1,1,0,0.35,0.35,0,89,0,0.5,0
"CL","CHL","Chile",2014,0.21,100,100,0.705977756078566,0.42321653857669,0,0.5,0,0,0.295,0,1,0,1.037524,0.4,10.379357,1.09656944261898,0,0,0.2,0.24050633,19,0,0.664812909781637,0.5,0.0009479134417863,0,1,0,1,0,0,0,0,1,0.14,0.35,0.3,25,0,0.5,0
"CO","COL","Colombia",2014,0.34,0,100,0.737888702767901,0.547953910556565,0.869865253929667,0.5,0,0,0.31,0,5,1,0.174203,0.33,10.910447,0,0,1.772783,0.1,0,16,0,0.462679063219835,0.5,0.00022961255796535,0,1,1,0,0,1,0,0,0,0.2,0.33,0.33,5,0,0.5,0
"CR","CRI","Costa Rica",2014,0.3,0,3,0.822456690745778,0.278958448750364,0.737888702767901,1,0,0,-0.02,0,3,0,0.516565,0.22310769,1.947543,1.07240552697699,0,6.441908,0,0.15,13,0,0.459392991069972,0.5,0.00029978195889762,0,0,1,1,0,1,0,1,0,0.2,0.15,0.25,1,0,0,0
"CZ","CZE","Czech Republic",2014,0.19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.175,0,0,0,0,0.15,3e-06,1.1494982455684,0,0,0,0.15,21,67707.9535587165,0.554411868102042,0.5,0.00469314784518068,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5,0
"DE","DEU","Germany",2014,0.2970721,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,0,1,0,0.47475,5.655649,1.09620397179002,1,0,0.25,0.26375,19,21297.5222109729,0.541000661800473,0.5,0.251687193602955,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,93,0.333333333333333,1,0
"DK","DNK","Denmark",2014,0.245,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,0,0,2.337689,0.55564,1.227747,1.21440659437092,0,0,0.42,0.42,25,5879.07638734969,0.577489602352864,0.5,0.115015962179191,0,1,1,0,0,0,1,1,1,0.27,0.25,0.25,73,0.666666666666667,0.5,0
"EE","EST","Estonia",2014,0.21,100,100,1,1,1,1,1,0,0,0,0,0,0,0.21,0.142892,1.05969516645565,0,0,0.21,0,20,25581.7765656457,0.684085892986962,1,0.210247440050094,0,0,0,0,0,0,1,0,1,0,0,0.1,51,0,0,0
"ES","ESP","Spain",2014,0.3,0,18,0.695001856615886,0.291385530174685,0.278958448750364,0.5,0,1,0.31,0,3,0,0,0.52,11.66034,1.10757664865188,0,0,0.27,0.27,21,0,0.398466763681639,0.5,0.601715175293352,1,1,1,0,1,0,1,1,1,0.21,0.21,0.2475,85,0.333333333333333,1,0
"FI","FIN","Finland",2014,0.2,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,0.17,0,0,0,0,0.57211391,2.530586,1.27934956070341,0,0,0.32,0.272,24,8589.47283647476,0.5654811588544,0.5,0.345711387917245,0,1,1,1,0,1,1,1,1,0.2,0,0.2,75,0.5,1,0
"FR","FRA","France",2014,0.38,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.425,0,3,1,0.520775,0.55011,15.054145,1.22974354934036,0,0,0.38,0.44001,20,93551.0876400815,0.479634473872248,0.5,1.43807440872946,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.666666666666667,1,0
"GB","GBR","United Kingdom",2014,0.21,1,100,0.758823529411765,0,0.826923076923077,0,0,1,0.185,0,1,0,0,0.47,4.271088,1.35256151899845,0,0,0.28,0.3055625,20,102850.559900547,0.435336159269144,0.5,2.7485567471429,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.5,0,0
"GR","GRC","Greece",2014,0.26,0,5,0.737888702767901,0.479318672008477,0.737888702767901,1,0,1,0.07,0,0,0,0.444865,0.46,5.272871,1.21879533416814,0,0,0.15,0.1,23,6677.54959454146,0.378095236307258,0.5,0.892923709990042,0,1,1,1,1,1,1,0,1,0.25,0.15,0.2,55,0.333333333333333,0.5,0
"HU","HUN","Hungary",2014,0.19,0,50,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.2925,0,3,0,0.005453,0.345,0,1,0,0.102662,0.16,0.16,27,42328.198651231,0.520695149727031,0.5,0.00091219825349828,0,1,1,1,0,0,1,1,0,0,0,0,73,0.666666666666667,0.5,0
"IE","IRL","Ireland",2014,0.125,3,100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,0,0.235,0,1,0,0.002473,0.52,0.756265,1.47909529309448,0,0,0.33,0.51,23,78844.2561518391,0.441269980293727,0.5,0.552062521977089,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,68,0,0,0
