"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"DK","DNK","Denmark",2014,0.245,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,0,0,5.072,0.47564,1.16303,1.27585324786518,8,0,0.42,0,0.42,25,5879.07638734969,0.583085129533252,0.5,0.66622719497477,0,1,1,0,0,0,1,1,1,0.27,0.25,0.25,73,0.5,0.5
"EE","EST","Estonia",2014,0.21,100,100,1,1,1,1,1,0,0,0,0,0,0,0.21,0.150274,1.05543707351151,0,0,0.21,0,0,20,25581.7765656457,0.694793702898485,1,0.16364460579987,0,0,0,0,0,0,1,0,1,0,0,0.1,51,0,0
"ES","ESP","Spain",2014,0.3,0,18,0.695001856615886,0.291385530174685,0.278958448750364,0.5,0,1,0.31,0,3,0,0,0.52,11.728847,1.12006728288016,0,0,0.27,0,0.27,21,0,0.399731424886585,0.5,0.468337797538682,1,1,1,0,1,0,1,1,1,0.21,0.21,0.2475,85,0.25,1
"FI","FIN","Finland",2014,0.2,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,0.25,0,0,0,0,0.56617293,2.535029,1.26725634525034,0,0,0.32,0,0.272,24,8589.47283647476,0.562208651393128,0.5,0.269080288104485,0,1,1,1,0,1,1,1,1,0.2,0,0.2,75,0.375,1
"FR","FRA","France",2014,0.38,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.425,0,3,10.7,1.105,0.469345,15.274647,1.20541111655661,8,0,0.38,0,0.44001,20,93551.0876400815,0.483041968597776,0.5,1.11776314237035,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.5,1
"GB","GBR","United Kingdom",2014,0.21,1,100,0.758823529411765,0,0.826923076923077,0,0,1,0.185,0,1,0,0,0.47,4.274984,1.36956332821385,0,0,0.28,0,0.3055625,20,102850.559900547,0.430691831714291,0.5,1.73996559619767,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.375,0
"GR","GRC","Greece",2014,0.26,0,5,0.737888702767901,0.479318672008477,0.737888702767901,1,0,0,0.07,0,0,0,1.208,0.42,5.346351,1.18877741130425,4,0,0.15,0,0.1,23,6677.54959454146,0.371479609099178,0.5,0.694996431901783,0,1,1,1,1,0,1,0,1,0.25,0.15,0.2,55,0.25,0.5
"HU","HUN","Hungary",2014,0.19,0,50,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.2925,0,3,0,0.014,0.345,0,1,0,0.263,0.16,0,0.16,27,42328.198651231,0.518719537389614,0.5,0.205339775020412,0,1,1,1,0,0,1,1,0,0,0,0,73,0.5,0.5
"IE","IRL","Ireland",2014,0.125,3,100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,0,0.235,0,1,0,0.009,0.45,0.761985,1.46645545512611,7,0,0.33,0,0.51,23,78844.2561518391,0.439862837100011,0.5,0.429691173163581,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,68,0,0
"IL","ISR","Israel",2014,0.265,0,100,0.869865253929667,0.547953910556565,0.787075165170195,0.5,0,0,0,0,0,0,3.409,0.5,6.307592,1.82669666666845,0,0,0.27,1,0.32,18,18611.874917961,0.63948210741279,0.5,1.21165000271552,0,0,1,0,0,0,1,1,0,0.3,0.25,0.25,53,0.25,0
