"country","year","corporate","consumption","property","income","cross_border","final"
"Austria",2025,0.0398902726909512,-0.0283302102686934,0.0465468230158164,-0.213584768675189,0.0993067117977618,-0.0112342342878705
"Australia",2025,-0.30217075811196,0.715969891264213,0.848153647408633,0.0821072777396518,-0.30070314274155,0.208671383111798
"Belgium",2025,0.0768965790338159,-0.295100016269368,-0.534777850353346,0.16833287560985,-0.1676159575063,-0.15045287389707
"Canada",2025,-0.0891042365447569,0.773928181625419,-0.0780667703391925,-0.219979701503692,0.0246144061273245,0.0822783758730205
"Switzerland",2025,0.218709232792389,1.09768914259232,-0.777734115182599,0.457437933879592,0.736646895955884,0.346549818007517
"Chile",2025,-0.381430692249039,0.558871509279353,0.340781874307151,-0.17730859273121,-1.03443129229541,-0.138703438737831
"Colombia",2025,-0.828004717113279,-0.0203903593392344,-0.584625438586269,0.204811585107781,-0.848565447938381,-0.415354875573877
"Costa Rica",2025,-0.563008261210076,0.791091152046263,0.300962141769748,-0.156282950583171,-0.232023569648026,0.0281477024749474
"Czech Republic",2025,0.298829835315073,-0.573436392528589,0.50444791183,0.340522483126461,0.219466905487331,0.157966148646055
"Germany",2025,-0.341951864900067,0.101147273224203,0.210665189719543,-0.442841823153232,0.336849233399627,-0.0272263983419854
"Denmark",2025,0.0760262581201941,-0.152263578228763,0.247443428465347,-0.461804523887845,-0.350538306605343,-0.128227344427282
"Estonia",2025,1.07649951379797,-0.21858024922899,1.21606758753718,0.833107676816344,0.35552148978752,0.652523203742005
"Spain",2025,-0.400574798071798,-0.094211170823522,-0.777139524463374,-0.0933318146203186,0.0271388838042193,-0.267623684834959
"Finland",2025,0.343430124735816,-0.418527817493177,-0.0155513781787281,-0.240516125939777,-0.0337367822045666,-0.0729803958160865
"France",2025,-1.24940972709711,-0.552453551847997,-0.646183655615514,-0.408283454660699,0.19221205256375,-0.532823667331514
"United Kingdom",2025,-0.231072247363825,-0.621912857793503,-0.819657694192351,-0.20851008610972,0.668930194439897,-0.242444538203901
"Greece",2025,0.0980902762410334,-0.506027083466212,-0.418496424963691,0.601097093483164,-0.114446960722815,-0.0679566198857042
"Hungary",2025,0.673437393114046,-0.93908628464306,-0.0529283494803254,0.651287696316718,0.603795729905678,0.187301237042611
"Ireland",2025,0.561706891440693,-0.802549989587383,0.0207073912276988,-0.575180283687741,-0.167944998972587,-0.192652197915864
"Israel",2025,0.204035643604672,0.329160687013603,0.53007936198856,-0.414688017850469,0.304619609490203,0.190641456849314
"Iceland",2025,0.10904310723425,-0.288003679402879,-0.277136607064074,-0.117631700292005,-0.131609225834356,-0.141067621071813
"Italy",2025,-0.220389933150034,-0.929329844971577,-0.916060559536192,-0.0281493336084842,-0.07598370618875,-0.433982675491007
"Japan",2025,-0.565483163377613,0.96055877977553,-0.07304056887517,-0.448122279142488,-0.129755467983083,-0.0511685399205649
"Korea",2025,-0.148083664883844,1.0791441464942,-0.464677124152529,-0.698040516444144,-0.18198186242513,-0.08272780428229
"Lithuania",2025,0.683296233767429,-0.290080039906051,0.41814585083405,0.364849164388644,0.101933652716767,0.255628972360168
"Luxembourg",2025,-0.0330321352220788,0.748872172531462,0.099545659733165,-0.148872916645524,0.515847103692424,0.23647197681789
"Latvia",2025,1.25786639456132,-0.198150290145699,0.501232219444759,0.480400314775074,0.439553686758153,0.496180465078722
"Mexico",2025,-0.20137006636429,0.196520904968098,0.63212578600304,0.110358874455061,-0.738408710895877,-0.000154642366793613
"Netherlands",2025,-0.112570937492776,-0.0203900582519771,-0.0391086669016483,-0.296154677100034,0.60973911758537,0.0283029555677869
"Norway",2025,0.148692920016873,-0.260891256796814,0.117854999560766,-0.287874575357824,0.13960333220968,-0.0285229160734639
"New Zealand",2025,-0.363301395853862,1.30834947835559,0.58947043368251,0.503432892079173,-0.106549476892914,0.386280386274099
"Poland",2025,0.253982810465049,-0.776097922365446,-0.312460214585642,-0.452864542514259,-0.279260691469939,-0.313340112094047
"Portugal",2025,-0.661373481988734,-0.203700776256466,-0.016919881967113,-0.131191696436674,-0.290122247146948,-0.260661616759187
"Sweden",2025,0.392358247862758,-0.290266730691761,0.458807403852938,-0.0991274002416061,0.190118325441521,0.13037796924477
"Slovenia",2025,0.151005002100193,-0.464130211955832,-0.208907330955167,0.250264789433418,-0.0935897314209063,-0.073071496559659
"Slovak Republic",2025,-0.132373326742855,-0.681301077459238,0.432931886226032,0.847365449829612,-0.119878150921892,0.0693489561863318
"Turkey",2025,-0.0810550798903745,-0.0686756599062772,-0.0771675864845794,0.510370916950799,0.338896472496806,0.124473812633275
"United States",2025,0.241963750733844,1.03258379045826,-0.425329854729436,-0.0854052428052405,-0.507648073845145,0.0512328739624572
