"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"AU","AUS","Australia",2021,9,78.8554592656135,29,51.7070528696558,22,64.849926603126,7,83.2612093714389,4,81.8906001287191,19,76.4327174659966
"AT","AUT","Austria",2021,21,70.2925975549439,23,59.7171487159753,34,55.3789468523971,16,60.9559579077056,14,65.1019673479924,7,87.4385435851013
"BE","BEL","Belgium",2021,25,68.3479639297919,16,65.4828869569556,14,77.6258020976903,24,52.3052937308245,32,45.8051944553813,15,80.3882091405254
"CA","CAN","Canada",2021,16,72.8293888068493,27,56.6348527895632,30,58.1481772914689,9,81.4721864704767,23,57.9190265916699,12,82.094443125628
"CL","CHL","Chile",2021,15,73.3929589493491,2,99.6378512097959,29,59.0081596834611,11,74.6476921239875,12,68.4562932112018,39,35.1218605951794
"CO","COL","Colombia",2021,30,61.111697752399,38,33.8390994624099,3,95.7758211463421,18,60.4646940299461,25,55.4198894858517,37,47.2846183282313
"CR","CRI","Costa Rica",2021,34,58.0127546867894,37,38.3264854680377,36,53.0390794080051,8,82.523545849319,26,53.5695583106081,36,52.7581225531114
"CZ","CZE","Czech Republic",2021,4,85.7187152923726,8,74.0314545703372,1,100,26,51.8592446642079,6,76.8962916905451,11,83.0563860665827
"DK","DNK","Denmark",2021,33,58.6322880114959,17,65.3505616428655,37,36.8807062102883,21,53.5676091512043,16,64.6445637057429,30,64.7202647399276
"EE","EST","Estonia",2021,1,100,3,98.8494669821124,4,94.8232884019245,15,63.1797153171858,1,100,14,80.9179704976761
"FI","FIN","Finland",2021,23,69.6522251470972,11,72.3627327963855,27,63.1076151210776,22,53.3709678475328,20,61.9537240633512,20,75.4283280547128
"FR","FRA","France",2021,39,45.5137812694651,36,38.6425140254677,39,33.4691842184674,34,42.321854816059,36,40.6853701226524,10,83.1392301789796
"DE","DEU","Germany",2021,19,71.5763307397756,31,50.0799481099728,28,59.2055562224517,14,65.172922901687,11,69.1025520507779,6,89.5420549239013
"GR","GRC","Greece",2021,32,58.7367841603887,19,62.2571693947793,31,57.6940269215706,32,44.2606901375114,31,48.6182035781636,23,73.6457217221372
