"country","year","machines","buildings","intangibles"
"AUS",1981,NA,NA,NA
"AUS",1982,NA,NA,NA
"AUS",1983,0.869865253929667,0.338474732816403,NA
"AUS",1984,0.869865253929667,0.338474732816403,NA
"AUS",1985,0.869865253929667,0.338474732816403,NA
"AUS",1986,0.869865253929667,0.479318672008477,NA
"AUS",1987,0.869865253929667,0.479318672008477,NA
"AUS",1988,0.869865253929667,0.479318672008477,NA
"AUS",1989,0.832153614457831,0.338474732816403,0.547953910556565
"AUS",1990,0.832153614457831,0.338474732816403,0.547953910556565
"AUS",1991,0.832153614457831,0.338474732816403,0.547953910556565
"AUS",1992,0.758823529411765,0.338474732816403,0.547953910556565
"AUS",1993,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",1994,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",1995,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",1996,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",1997,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",1998,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",1999,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2000,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2001,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2002,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2003,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2004,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2005,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2006,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2007,0.796020761245675,0.479318672008477,0.547953910556565
"AUS",2008,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2009,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2010,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2011,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2012,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2013,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2014,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2015,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2016,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2017,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2018,0.851484971473245,0.479318672008477,0.547953910556565
"AUS",2019,0.851484971473245,0.479318672008477,0.547953910556565
"AUT",1982,0.813463195231154,0.479318672008477,NA
"AUT",1983,0.813463195231154,0.479318672008477,NA
"AUT",1984,0.813463195231154,0.479318672008477,NA
"AUT",1985,0.813463195231154,0.479318672008477,NA
"AUT",1986,0.813463195231154,0.479318672008477,NA
"AUT",1987,0.813463195231154,0.479318672008477,NA
"AUT",1988,0.813463195231154,0.479318672008477,NA
"AUT",1989,0.813463195231154,0.479318672008477,NA
"AUT",1990,0.813463195231154,0.479318672008477,NA
"AUT",1991,0.813463195231154,0.479318672008477,NA
"AUT",1992,0.813463195231154,0.479318672008477,NA
"AUT",1993,0.813463195231154,0.479318672008477,NA
"AUT",1994,0.813463195231154,0.479318672008477,NA
"AUT",1995,0.813463195231154,0.479318672008477,0.737888702767901
"AUT",1996,0.813463195231154,0.479318672008477,0.737888702767901
"AUT",1997,0.813463195231154,0.479318672008477,0.737888702767901
"AUT",1998,0.813463195231154,0.479318672008477,0.737888702767901
"AUT",1999,0.813463195231154,0.479318672008477,0.737888702767901
"AUT",2000,0.813463195231154,0.479318672008477,0.737888702767901
"AUT",2001,0.813463195231154,0.479318672008477,0.737888702767901
"AUT",2002,0.813463195231154,0.427499151597641,0.737888702767901
"AUT",2003,0.813463195231154,0.427499151597641,0.737888702767901
"AUT",2004,0.813463195231154,0.427499151597641,0.737888702767901
"AUT",2005,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2006,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2007,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2008,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2009,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2010,0.868381808181126,0.391406012913837,0.737888702767901
"AUT",2011,0.868381808181126,0.391406012913837,0.737888702767901
"AUT",2012,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2013,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2014,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2015,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2016,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2017,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2018,0.813463195231154,0.391406012913837,0.737888702767901
"AUT",2019,0.813463195231154,0.391406012913837,0.737888702767901
"BEL",1982,NA,NA,NA
"BEL",1983,NA,NA,NA
"BEL",1984,0.837733594943059,0.622404878792567,NA
"BEL",1985,0.837733594943059,0.622404878792567,NA
"BEL",1986,0.837733594943059,0.622404878792567,NA
"BEL",1987,0.837733594943059,0.622404878792567,NA
"BEL",1988,0.837733594943059,0.622404878792567,NA
"BEL",1989,0.837733594943059,0.622404878792567,NA
"BEL",1990,0.837733594943059,0.622404878792567,NA
"BEL",1991,0.837733594943059,0.622404878792567,NA
"BEL",1992,0.837733594943059,0.622404878792567,NA
"BEL",1993,0.837733594943059,0.622404878792567,NA
"BEL",1994,0.837733594943059,0.622404878792567,NA
"BEL",1995,0.837733594943059,0.622404878792567,0.869865253929667
"BEL",1996,0.837733594943059,0.622404878792567,0.869865253929667
"BEL",1997,0.837733594943059,0.622404878792567,0.869865253929667
"BEL",1998,0.837733594943059,0.622404878792567,0.869865253929667
"BEL",1999,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2000,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2001,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2002,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2003,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2004,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2005,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2006,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2007,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2008,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2009,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2010,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2011,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2012,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2013,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2014,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2015,0.882216122406083,0.622404878792567,0.869865253929667
"BEL",2016,0.882216122406083,0.622404878792567,0.802532679160089
"BEL",2017,0.882216122406083,0.622404878792567,0.802532679160089
"BEL",2018,0.882216122406083,0.622404878792567,0.802532679160089
"BEL",2019,0.882216122406083,0.622404878792567,0.802532679160089
"CAN",1981,1.30246370448761,NA,NA
"CAN",1982,1.30246370448761,NA,NA
"CAN",1983,1.30246370448761,NA,NA
"CAN",1984,0.954479443849991,0.575892857142857,NA
"CAN",1985,0.954479443849991,0.575892857142857,NA
"CAN",1986,0.954479443849991,0.575892857142857,NA
"CAN",1987,0.954479443849991,0.575892857142857,NA
"CAN",1988,0.900793650793651,0.575892857142857,NA
"CAN",1989,0.841720779220779,0.558282208588957,NA
"CAN",1990,0.805,0.242105263157895,NA
"CAN",1991,0.766666666666667,0.242105263157895,NA
"CAN",1992,0.71875,0.242105263157895,NA
"CAN",1993,0.766666666666667,0.242105263157895,NA
"CAN",1994,0.766666666666667,0.242105263157895,NA
"CAN",1995,0.766666666666667,0.242105263157895,NA
"CAN",1996,0.766666666666667,0.242105263157895,NA
"CAN",1997,0.766666666666667,0.242105263157895,NA
"CAN",1998,0.766666666666667,0.242105263157895,NA
"CAN",1999,0.766666666666667,0.242105263157895,NA
"CAN",2000,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2001,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2002,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2003,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2004,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2005,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2006,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2007,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2008,0.766666666666667,0.242105263157895,0.518965517241379
"CAN",2009,0.965116279069767,0.242105263157895,0.518965517241379
"CAN",2010,0.965116279069767,0.242105263157895,0.518965517241379
