"ISO_2","ISO_3","country","year","vat_rate","vat_threshold","vat_base"
"JP","JPN","Japan",2017,8,94939.7132820659,0.7125070110352
"JP","JPN","Japan",2018,8,100407.568377102,0.7125070110352
"JP","JPN","Japan",2019,8,100407.568377102,0.7125070110352
"KR","KOR","Korea",2014,10,26238.6011968703,0.692071068967643
"KR","KOR","Korea",2015,10,26238.6011968703,0.636067104540328
"KR","KOR","Korea",2016,10,26928.4712482468,0.696451079081173
"KR","KOR","Korea",2017,10,26928.4712482468,0.696451079081173
"KR","KOR","Korea",2018,10,34205.4862364084,0.696451079081173
"KR","KOR","Korea",2019,10,34205.4862364084,0.696451079081173
"LV","LVA","Latvia",2014,21,100402,0.506100728664033
"LV","LVA","Latvia",2015,21,100604,0.520651810028962
"LV","LVA","Latvia",2016,21,98619.3293885602,0.55204813174365
"LV","LVA","Latvia",2017,21,98619.3293885602,0.55204813174365
"LV","LVA","Latvia",2018,21,79773.9207087115,0.55204813174365
"LV","LVA","Latvia",2019,21,79773.9207087115,0.55204813174365
"LT","LTU","Lithuania",2014,21,101580,0.504643678661337
"LT","LTU","Lithuania",2015,21,100897,0.509204814364489
"LT","LTU","Lithuania",2016,21,100671,0.506629640715944
"LT","LTU","Lithuania",2017,21,100223,0.506629640715944
"LT","LTU","Lithuania",2018,21,97563.0907987165,0.506629640715944
"LT","LTU","Lithuania",2019,21,97563.0907987165,0.506629640715944
"LU","LUX","Luxembourg",2014,15,25182.6246203907,1.2474565313124
"LU","LUX","Luxembourg",2015,17,25182.6246203907,0.955762392001671
"LU","LUX","Luxembourg",2016,17,27777.7777777778,0.920716527656256
"LU","LUX","Luxembourg",2017,17,27777.7777777778,0.920716527656256
"LU","LUX","Luxembourg",2018,17,33690.3764562665,0.920716527656256
"LU","LUX","Luxembourg",2019,17,33690.3764562665,0.920716527656256
"MX","MEX","Mexico",2014,16,0,0.321338552498364
"MX","MEX","Mexico",2015,16,0,0.321940337203395
"MX","MEX","Mexico",2016,16,0,0.334129712488695
"MX","MEX","Mexico",2017,16,0,0.334129712488695
"MX","MEX","Mexico",2018,16,0,0.334129712488695
"MX","MEX","Mexico",2019,16,0,0.334129712488695
"NL","NLD","Netherlands",2014,21,1537.1932964077,0.468596681969462
"NL","NLD","Netherlands",2015,21,1537.1932964077,0.487597335581894
"NL","NLD","Netherlands",2016,21,1620.48192771084,0.514299988155268
"NL","NLD","Netherlands",2017,21,1620.48192771084,0.514299988155268
"NL","NLD","Netherlands",2018,21,1650.19336094698,0.514299988155268
"NL","NLD","Netherlands",2019,21,1650.19336094698,0.514299988155268
"NZ","NZL","New Zealand",2014,15,38134.0006652947,0.949343370156744
"NZ","NZL","New Zealand",2015,15,38134.0006652947,0.95932608776232
"NZ","NZL","New Zealand",2016,15,40816.3265306122,0.95224411225627
"NZ","NZL","New Zealand",2017,15,40816.3265306122,0.95224411225627
"NZ","NZL","New Zealand",2018,15,40813.1614282974,0.95224411225627
"NZ","NZL","New Zealand",2019,15,40813.1614282974,0.95224411225627
"NO","NOR","Norway",2014,25,5181.61744007035,0.561574851213185
"NO","NOR","Norway",2015,25,5181.61744007035,0.558441281337383
"NO","NOR","Norway",2016,25,5102.04081632653,0.565921326183334
"NO","NOR","Norway",2017,25,5102.04081632653,0.565921326183334
"NO","NOR","Norway",2018,25,4916.69351181324,0.565921326183334
"NO","NOR","Norway",2019,25,4916.69351181324,0.565921326183334
"PL","POL","Poland",2014,23,77747.204225308,0.436203895691829
"PL","POL","Poland",2015,23,77747.204225308,0.437557067388469
"PL","POL","Poland",2016,23,83333.3333333333,0.441385620326629
"PL","POL","Poland",2017,23,83333.3333333333,0.441385620326629
"PL","POL","Poland",2018,23,111214.726164321,0.441385620326629
"PL","POL","Poland",2019,23,111214.726164321,0.441385620326629
"PT","PRT","Portugal",2014,23,14317.549643698,0.48511254225391
"PT","PRT","Portugal",2015,23,14317.549643698,0.495145945911459
"PT","PRT","Portugal",2016,23,16949.1525423729,0.492153165545173
"PT","PRT","Portugal",2017,23,16949.1525423729,0.492153165545173
"PT","PRT","Portugal",2018,23,16886.4437318365,0.492153165545173
"PT","PRT","Portugal",2019,23,16886.4437318365,0.492153165545173
"SK","SVK","Slovak Republic",2014,20,86990.532950811,0.485318044537937
"SK","SVK","Slovak Republic",2015,20,86990.532950811,0.510256284906862
"SK","SVK","Slovak Republic",2016,20,99580,0.495470639649474
"SK","SVK","Slovak Republic",2017,20,99580,0.495470639649474
"SK","SVK","Slovak Republic",2018,20,100763.364958068,0.495470639649474
"SK","SVK","Slovak Republic",2019,20,100763.364958068,0.495470639649474
"SI","SVN","Slovenia",2014,22,74142.1047824595,0.590631982468831
"SI","SVN","Slovenia",2015,22,74142.1047824595,0.591460387633486
"SI","SVN","Slovenia",2016,22,83333.3333333333,0.583747031500922
"SI","SVN","Slovenia",2017,22,83333.3333333333,0.583747031500922
"SI","SVN","Slovenia",2018,22,83256.737135169,0.583747031500922
"SI","SVN","Slovenia",2019,22,83256.737135169,0.583747031500922
"ES","ESP","Spain",2014,21,0,0.406427261455261
"ES","ESP","Spain",2015,21,0,0.425498168627791
"ES","ESP","Spain",2016,21,0,0.430877668728623
"ES","ESP","Spain",2017,21,0,0.430877668728623
"ES","ESP","Spain",2018,21,0,0.430877668728623
"ES","ESP","Spain",2019,21,0,0.430877668728623
"SE","SWE","Sweden",2014,25,0,0.56680624436407
"SE","SWE","Sweden",2015,25,0,0.583511565081778
"SE","SWE","Sweden",2016,25,0,0.597513703470289
"SE","SWE","Sweden",2017,25,0,0.597513703470289
"SE","SWE","Sweden",2018,25,3296.89096588135,0.597513703470289
"SE","SWE","Sweden",2019,25,3296.89096588135,0.597513703470289
"CH","CHE","Switzerland",2014,8,63826.8268100133,0.698455383839677
"CH","CHE","Switzerland",2015,8,63826.8268100133,0.687045780392545
"CH","CHE","Switzerland",2016,8,78125,0.682580340126438
"CH","CHE","Switzerland",2017,8,78125,0.682580340126438
"CH","CHE","Switzerland",2018,7.7,81953.3750858462,0.682580340126438
"CH","CHE","Switzerland",2019,7.7,81953.3750858462,0.682580340126438
"TR","TUR","Turkey",2014,18,0,0.398955325784995
"TR","TUR","Turkey",2015,18,0,0.41640592899826
"TR","TUR","Turkey",2016,18,0,0.400067337416955
"TR","TUR","Turkey",2017,18,0,0.400067337416955
"TR","TUR","Turkey",2018,18,0,0.400067337416955
"TR","TUR","Turkey",2019,18,0,0.400067337416955
"GB","GBR","United Kingdom",2014,20,102850.559900547,0.43384941239917
"GB","GBR","United Kingdom",2015,20,102850.559900547,0.441162837936398
"GB","GBR","United Kingdom",2016,20,118840.579710145,0.438381144265963
"GB","GBR","United Kingdom",2017,20,118840.579710145,0.438381144265963
"GB","GBR","United Kingdom",2018,20,119167.287037543,0.438381144265963
"GB","GBR","United Kingdom",2019,20,119167.287037543,0.438381144265963
"US","USA","United States",2014,7.2,0,0.397
"US","USA","United States",2015,7.3,0,0.397
"US","USA","United States",2016,7.3,0,0.397
"US","USA","United States",2017,7.4,0,0.397
"US","USA","United States",2018,7.4,0,0.4
"US","USA","United States",2019,7.4,0,0.4
