"country","year","base"
"Australia","2014","0.484352186885038"
"Austria","2014","0.581548019729405"
"Belgium","2014","0.473521713334396"
"Canada","2014","0.474896538948074"
"Chile","2014","0.635162131021544"
"Czech Republic","2014","0.584388568795991"
"Denmark","2014","0.574223848972526"
"Estonia","2014","0.697810319567046"
"Finland","2014","0.542992338271503"
"France","2014","0.481709458465818"
"Germany","2014","0.547669406184961"
"Greece","2014","0.369899975249352"
"Hungary","2014","0.560282618365676"
"Iceland","2014","0.455489850125124"
"Ireland","2014","0.484342527005503"
"Israel","2014","0.627506880135321"
"Italy","2014","0.36700953480722"
"Japan","2014","0.687590467820163"
"Korea","2014","0.692071068967643"
"Latvia","2014","0.506100728664033"
"Lithuania","2014","0.504643678661337"
"Luxembourg","2014","1.2474565313124"
"Mexico","2014","0.321338552498364"
"Netherlands","2014","0.468596681969462"
"New Zealand","2014","0.949343370156744"
"Norway","2014","0.561574851213185"
"Poland","2014","0.436203895691829"
"Portugal","2014","0.48511254225391"
"Slovak Republic","2014","0.485318044537937"
"Slovenia","2014","0.590631982468831"
"Spain","2014","0.406427261455261"
"Sweden","2014","0.56680624436407"
"Switzerland","2014","0.698455383839677"
"Turkey","2014","0.398955325784995"
"United Kingdom","2014","0.43384941239917"
"United States","2014","0.397"
"Australia","2015","0.495545496897089"
"Austria","2015","0.58895997712564"
"Belgium","2015","0.468344652876705"
"Canada","2015","0.475086511535308"
"Chile","2015","0.642550959621906"
"Czech Republic","2015","0.587342193235465"
"Denmark","2015","0.573526842925167"
"Estonia","2015","0.729103999536852"
"Finland","2015","0.533878523080525"
"France","2015","0.485072744899431"
"Germany","2015","0.555961693374702"
"Greece","2015","0.383647353956222"
"Hungary","2015","0.596712802594611"
"Iceland","2015","0.524289597466797"
"Ireland","2015","0.484759438197319"
"Israel","2015","0.624583395914838"
"Italy","2015","0.377371504948421"
"Japan","2015","0.728203213265697"
"Korea","2015","0.636067104540328"
"Latvia","2015","0.520651810028962"
"Lithuania","2015","0.509204814364489"
"Luxembourg","2015","0.955762392001671"
"Mexico","2015","0.321940337203395"
"Netherlands","2015","0.487597335581894"
"New Zealand","2015","0.95932608776232"
"Norway","2015","0.558441281337383"
"Poland","2015","0.437557067388469"
"Portugal","2015","0.495145945911459"
"Slovak Republic","2015","0.510256284906862"
"Slovenia","2015","0.591460387633486"
"Spain","2015","0.425498168627791"
"Sweden","2015","0.583511565081778"
"Switzerland","2015","0.687045780392545"
"Turkey","2015","0.41640592899826"
"United Kingdom","2015","0.441162837936398"
"United States","2015","0.397"
"Australia","2016","0.495677137783973"
"Austria","2016","0.595346920500117"
"Belgium","2016","0.476392998987602"
"Canada","2016","0.474503207079933"
"Chile","2016","0.638025880525371"
"Czech Republic","2016","0.600302406645114"
"Denmark","2016","0.596063795426487"
"Estonia","2016","0.728150828092231"
"Finland","2016","0.543890115085756"
"France","2016","0.48566405924343"
"Germany","2016","0.556567367932321"
"Greece","2016","0.436878506277984"
"Hungary","2016","0.567176393235143"
"Iceland","2016","0.546822043581059"
"Ireland","2016","0.498533689864113"
"Israel","2016","0.632540965239364"
"Italy","2016","0.378756793044304"
"Japan","2016","0.7125070110352"
"Korea","2016","0.696451079081173"
"Latvia","2016","0.55204813174365"
"Lithuania","2016","0.506629640715944"
"Luxembourg","2016","0.920716527656256"
"Mexico","2016","0.334129712488695"
"Netherlands","2016","0.514299988155268"
"New Zealand","2016","0.95224411225627"
"Norway","2016","0.565921326183334"
"Poland","2016","0.441385620326629"
"Portugal","2016","0.492153165545173"
"Slovak Republic","2016","0.495470639649474"
"Slovenia","2016","0.583747031500922"
"Spain","2016","0.430877668728623"
"Sweden","2016","0.597513703470289"
"Switzerland","2016","0.682580340126438"
"Turkey","2016","0.400067337416955"
"United Kingdom","2016","0.438381144265963"
"United States","2016","0.397"
"Australia","2017","0.495677137783973"
"Austria","2017","0.595346920500117"
"Belgium","2017","0.476392998987602"
"Canada","2017","0.474503207079933"
"Chile","2017","0.638025880525371"
"Czech Republic","2017","0.600302406645114"
"Denmark","2017","0.596063795426487"
"Estonia","2017","0.728150828092231"
"Finland","2017","0.543890115085756"
"France","2017","0.48566405924343"
"Germany","2017","0.556567367932321"
"Greece","2017","0.436878506277984"
"Hungary","2017","0.567176393235143"
"Iceland","2017","0.546822043581059"
"Ireland","2017","0.498533689864113"
"Israel","2017","0.632540965239364"
"Italy","2017","0.378756793044304"
"Japan","2017","0.7125070110352"
"Korea","2017","0.696451079081173"
"Latvia","2017","0.55204813174365"
"Lithuania","2017","0.506629640715944"
"Luxembourg","2017","0.920716527656256"
"Mexico","2017","0.334129712488695"
"Netherlands","2017","0.514299988155268"
"New Zealand","2017","0.95224411225627"
"Norway","2017","0.565921326183334"
"Poland","2017","0.441385620326629"
"Portugal","2017","0.492153165545173"
"Slovak Republic","2017","0.495470639649474"
"Slovenia","2017","0.583747031500922"
"Spain","2017","0.430877668728623"
"Sweden","2017","0.597513703470289"
"Switzerland","2017","0.682580340126438"
"Turkey","2017","0.400067337416955"
"United Kingdom","2017","0.438381144265963"
"United States","2017","0.397"
"Australia","2018","0.495677137783973"
"Austria","2018","0.595346920500117"
"Belgium","2018","0.476392998987602"
"Canada","2018","0.474503207079933"
"Chile","2018","0.638025880525371"
"Czech Republic","2018","0.600302406645114"
"Denmark","2018","0.596063795426487"
"Estonia","2018","0.728150828092231"
"Finland","2018","0.543890115085756"
"France","2018","0.48566405924343"
"Germany","2018","0.556567367932321"
"Greece","2018","0.436878506277984"
"Hungary","2018","0.567176393235143"
"Iceland","2018","0.546822043581059"
"Ireland","2018","0.498533689864113"
"Israel","2018","0.632540965239364"
"Italy","2018","0.378756793044304"
"Japan","2018","0.7125070110352"
"Korea","2018","0.696451079081173"
"Latvia","2018","0.55204813174365"
"Lithuania","2018","0.506629640715944"
"Luxembourg","2018","0.920716527656256"
"Mexico","2018","0.334129712488695"
"Netherlands","2018","0.514299988155268"
"New Zealand","2018","0.95224411225627"
"Norway","2018","0.565921326183334"
"Poland","2018","0.441385620326629"
"Portugal","2018","0.492153165545173"
"Slovak Republic","2018","0.495470639649474"
"Slovenia","2018","0.583747031500922"
"Spain","2018","0.430877668728623"
"Sweden","2018","0.597513703470289"
"Switzerland","2018","0.682580340126438"
"Turkey","2018","0.400067337416955"
"United Kingdom","2018","0.438381144265963"
"United States","2018","0.4"
"Australia","2019","0.495677137783973"
"Austria","2019","0.595346920500117"
"Belgium","2019","0.476392998987602"
"Canada","2019","0.474503207079933"
"Chile","2019","0.638025880525371"
"Czech Republic","2019","0.600302406645114"
"Denmark","2019","0.596063795426487"
"Estonia","2019","0.728150828092231"
"Finland","2019","0.543890115085756"
"France","2019","0.48566405924343"
"Germany","2019","0.556567367932321"
"Greece","2019","0.436878506277984"
"Hungary","2019","0.567176393235143"
"Iceland","2019","0.546822043581059"
"Ireland","2019","0.498533689864113"
"Israel","2019","0.632540965239364"
"Italy","2019","0.378756793044304"
"Japan","2019","0.7125070110352"
"Korea","2019","0.696451079081173"
"Latvia","2019","0.55204813174365"
"Lithuania","2019","0.506629640715944"
"Luxembourg","2019","0.920716527656256"
