country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,threshold,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Mexico,0.3,0,10,0.737888703,0.547953911,0.737888703,1,0,1,102,1,3,0.16,0,0.32,100,0.5,0.179770071,0,0,1,0,0,0,0.1,1,0.17142857,0.35,26.87409,1.230700649,2,38.5,0,0,0.1,0.4,0.4,55,1,1,0.5
Netherlands,0.25,1,9,0.965116279,0.338474733,0.737888703,1,1,1,21,1,7,0.21,1620.481928,0.48,34,0.5,0.652654664,0,1,1,0,0,0,0.3,1,0.25,0.526512,1.393037,1.347623275,1,64,1,1,0.15,0,0,97,0,0,0
New Zealand,0.28,0,100,0.731914894,0.307142857,0.737888703,0.5,0,1,34,1,4,0.15,40816.32653,0.97,59,0,2.046183706,0,0,0,0,0,0,0,1,0.06944444,0.33,1.214258,1.48045232,2,59,1,1,0.3,0.15,0.15,40,0.67,0,0.5
Norway,0.24,0,100,0.781818182,0.373913043,0.737888703,0,0,1,24,1,2,0.25,5102.040816,0.56,44,1,0.253590614,1,0,1,1,0,0,0.298,0,0.2976,0.469,1.606431,1.298472143,1,15,0.97,1,0.25,0,0,88,0.83,1,1
Poland,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,0,1,70,1,4,0.23,83333.33333,0.44,96,1,1.576151208,0,1,1,1,1,1,0.19,0,0.19,0.38751185,2.110023,1.038851416,2,103,1,0,0.19,0.2,0.2,82,0.83,1,1
Portugal,0.295,0,3.5,0.888411247,0.547953911,0.737888703,0.5,1,1,63,1,6,0.23,16949.15254,0.48,90,0.5,0.5104324,0,1,1,1,0,1,0.28,1,0.28,0.61285,15.800325,1.275917818,1,90,1,1,0.25,0.25,0.25,78,0.83,1,1
Slovak Republic,0.21,0,4,0.873879108,0.652728119,0.869865254,0.5,0,1,46,1,6,0.2,99580,0.48,84,0.5,0.360310675,0,0,0,1,0,0,0,0,0.07,0.3505,3.68508,1.117505196,1,62,1,0.21,0.35,0.19,0.19,67,0,1,1
Slovenia,0.19,0,50,0.869865254,0.391406013,0.737888703,0.5,0,0,74,1,8,0.22,83333.33333,0.6,69,1,0.336251708,0,1,1,1,0,0,0,1,0.25,0.6105,5.194874,1.193521729,1,90,0.95,0.475,0.15,0.15,0.15,57,0,1,0.5
Spain,0.25,0,70,0.778563039,0.391406013,0.278958449,0.5,1,1,33,1,6,0.21,0,0.41,35,1,0.617871405,1,1,1,0,1,0,0.23,0,0.23,0.45,2.449093,1.136618155,1,84,1,1,0.19,0.19,0.19,88,0.5,1,1
Sweden    ,0.22,1.5,100,0.86,0.479318672,0.86,0,0,0,50,1,4,0.25,0,0.57,36,0.5,0.544744882,0,0,1,0,0,0,0.3,0,0.3,0.601,1.503143,1.23396235,1,36,1,1,0.3,0,0,81,0.67,0,0.5
Switzerland,0.21148581,0,7,0.86,0.55483871,0.905263158,1,0,0,15,2,10,0.08,78125,0.71,8,1,0.103179718,1,1,1,1,1,1,0,1,0.21135,0.41729971,3.489512,1.34214503,7,40,1,1,0.35,0.35,0,91,0,0,0.5
Turkey,0.2,0,5,0.876323174,0.479318672,0.632327782,0.5,1,1,45.5,1,8,0.18,0,0.42,91,0.5,0.294885696,0,1,1,0,1,1,0,1,0.175,0.358,3.460417,1.216781682,1,80,1,1,0.15,0.1,0.2,83,0.67,0,0.5
United Kingdom,0.19,1,100,0.758823529,0,0.826923077,0,1,1,32,1,6,0.2,118840.5797,0.44,25,0.5,2.452244335,0,1,1,1,0,1,0.2,0,0.381,0.47,4.038573,1.39333641,1,48,1,1,0,0.2,0.2,131,0.67,0,1
United States,0.38906474,2,20,0.876925466,0.349583112,0.632751339,1,0,1,87,2.4,4.6,0.07355,0,0.397,33,0.5,2.068438857,0,1,1,1,0,1,0.251,0,0.28506064,0.486,8.088075,1.254336046,3.6,55,0,0,0.3,0.3,0.3,58,0.67,0,0.5
