country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,progressivity,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Mexico,0.3,0,10,0.7378887,0.5479539,0.7378887,1,0,1,102,1,3,0.16,0,0.31,100,0.5,0.193842557,0,1,1,0,0,0,0.1,1,0.17142857,0.35,27.92276,1.249215024,2,38.5,0,0,0.1,0.4,0.4,55,1,1,0.5
Netherlands,0.25,1,9,0.9651163,0.3384747,0.7378887,1,1,0,22,1,7,0.21,1620.481928,0.53,34,0.5,0.66448449,0,1,1,0,0,0,0.3,1,0.25,0.52732637,1.221825,1.329336178,1,64,1,1,0.15,0,0,96,0,0,0
New Zealand,0.28,0,100,0.7319149,0.3071429,0.7378887,0.5,0,1,34,1,5,0.15,40816.32653,0.96,59,0,1.991429404,0,0,0,0,0,0,0,1,0.06944444,0.33,1.247558,1.500877377,2,59,1,1,0.3,0.15,0.15,39,0.67,0,0.5
Norway,0.25,0,100,0.7818182,0.373913,0.7378887,0,0,1,24,1,2,0.25,5102.040816,0.57,44,1,0.236584524,1,0,1,1,0,0,0.288,0,0.2875,0.472,1.588048,1.288463494,1,15,0.97,0.97,0.25,0,0,87,0.83,1,1
Poland,0.19,0,2.5,0.7378887,0.3384747,0.8698653,1,0,1,70,1,4,0.23,83333.33333,0.42,96,1,1.584554512,0,1,1,1,1,1,0.19,0,0.19,0.38751185,2.181915,1.039886949,2,103,1,0,0.19,0.2,0.2,84,0.83,1,1
Portugal,0.295,0,8.4,0.8884112,0.5479539,0.7378887,0.5,0,1,63,1,6,0.23,16949.15254,0.47,96,0.5,0.478389976,0,1,1,1,0,1,0.28,1,0.28,0.61285,16.129828,1.306471814,1,116,1,1,0.25,0.25,0.25,64,0.83,1,1
Slovak Republic,0.22,0,4,0.8738791,0.6527281,0.8698653,0.5,0,1,42,1,9,0.2,99580,0.43,84,0.5,0.358312628,0,0,0,1,0,0,0,0,0,0.3505,3.793434,1.121448183,1,62,1,0,0,0.19,0.19,66,0,1,1
Slovenia,0.17,0,50,0.8698653,0.391406,0.7378887,0.5,0,0,74,1,8,0.22,83333.33333,0.56,69,1,0.321938676,0,1,1,1,0,0,0,1,0.25,0.6105,5.265523,1.192674044,1,90,0.95,0.475,0.15,0.15,0.15,57,0,1,0.5
Spain,0.25,0,60,0.778563,0.391406,0.2789584,0.5,1,1,33,1,7,0.21,0,0.41,35,1,0.591486864,1,1,1,0,1,0,0.23,0,0.23,0.45,2.445619,1.136475723,1,90,1,1,0.19,0.19,0.19,92,0.5,1,1
Sweden    ,0.22,1.5,100,0.86,0.4793187,0.86,0,0,0,50,1,4,0.25,0,0.56,36,0.5,0.555763689,0,0,1,0,0,0,0.3,0,0.3,0.5699,1.519275,1.232942745,1,36,1,1,0.3,0,0,81,0.67,0,0.5
Switzerland,0.21148581,0,7,0.86,0.5548387,0.9052632,1,0,0,15,2,10,0.08,78125,0.71,8,1,0.090641912,1,1,1,1,1,1,0,1,0.21135,0.4173622,3.477028,1.334153595,7,40,1,1,0.35,0.35,0,91,0,0,0.5
Turkey,0.2,0,5,0.8763232,0.4793187,0.6323278,0.5,1,1,49,1,8,0.18,0,0.4,97,0.5,0.280230703,0,1,1,0,1,1,0,1,0.175,0.358,3.862626,1.161295905,1,80,1,1,0.15,0.1,0.2,81,0.67,0,0.5
United Kingdom,0.2,1,100,0.7588235,0,0.8269231,0,1,1,32,1,6,0.2,118840.5797,0.44,25,0.5,2.363431888,0,1,1,1,0,1,0.28,0,0.381,0.47,4.169222,1.400778616,1,48,1,1,0,0.2,0.2,124,0.67,0,0
United States,0.38923934,2,20,0.8769255,0.3495831,0.6327513,1,0,1,87,2.4,4.6,0.0725,0,0.397,33,0.5,2.07381088,0,1,1,1,0,1,0.251,0,0.2851581,0.486,8.20792,1.257987314,3.6,55,0,0,0.3,0.3,0.3,65,0.67,0,0.5
