country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,threshold,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Australia,0.3,0,100,0.851485,0.4793187,0.5479539,0.5,0,1,37,1,6,0.1,48730.64034,0.47,50,0,1.088020521,0,0,1,0,0,0,0.245,0,0.27121,0.465,2.266751,1.428921274,4,18,1,1,0.3,0.1,0.3,45,0.666666667,0,0.5
Austria,0.25,0,75,0.8134632,0.391406,0.7378887,1,0,1,46,1,8,0.2,34987.89331,0.59,35,1,0.12657351,0,0,1,1,1,0,0.25,0,0.25,0.5,13.879673,1.116750939,3,50,1,1,0.25,0,0.2,87,0,0,0.5
Belgium,0.3399,0,100,0.8822161,0.6224049,0.8698653,1,1,1,20,1,8,0.21,6319.04976,0.48,75,0.5,0.653269894,0,1,1,0,0,1,0,1,0.25,0.5839317,1.592011,1.202687839,2,40,0.95,0.987878788,0.25,0.25,0.25,92,0,0,0.5
Canada,0.267,3,20,0.9651163,0.2421053,0.5189655,0.5,0,1,45,1,4,0.123209196,23453.72582,0.48,50,0.5,1.997861498,0,0,1,1,1,0,0.226,0,0.338214,0.495296,4.414843,1.193948577,3,36,1,0.5,0.25,0.25,0.25,94,0.333333333,1,0.5
Chile,0.225,100,100,0.6326117,0.3384747,0,0.5,1,0,42,1,5,0.19,0,0.64,124.5,1,0.564166286,0,1,0,1,0,0,0.2,0,0.22580645,0.4,10.379357,1.153782193,1,124.5,0,0,0.35,0.35,0.3,25,0,1,0.5
Czech Republic,0.19,0,5,0.8738791,0.5432228,0.8413188,0.5,0,1,53,1,5,0.21,67707.95356,0.57,102,1,0.147415708,0,1,1,0,0,0,0.15,1,0.15,0.311,0.397857,1.136426555,2,75,1,1,0.15,0.15,0.15,81,0,1,0.5
Denmark,0.235,0,60,0.8269231,0.4793187,0.8134064,0,0,0,27,3,6,0.25,5879.076387,0.59,40,1,0.777801043,0,1,0,0,0,0,0.42,0,0.42,0.55564,1.227747,1.263317606,1,65,1,1,0.27,0.25,0.25,72,0.833333333,1,0.5
Estonia,0.2,100,100,1,1,1,1,0,0,20,1,7,0.2,25581.77657,0.7,27,0,0.199204744,0,0,0,0,0,0,0.2,0,0,0.2258,0.142973,1.052936381,0,34,1,0,0,0,0.1,56,0.666666667,1,0
Finland,0.2,0,10,0.8269231,0.5189655,0.7378887,0,0,0,21,1,4,0.24,8589.472836,0.56,24,0.5,0.362421822,0,1,1,0,0,1,0.33,0,0.2805,0.57211391,2.530586,1.276431599,3,48,1,1,0.2,0,0.2,74,0.833333333,1,1
France,0.379962,1,50,0.857738,0.5479539,0.8698653,0.5,1,1,26,1,6,0.2,93551.08764,0.48,31,1,1.54202351,1,1,1,1,1,1,0.344,0,0.44001,0.55011,15.054145,1.213527329,2,80,0.95,0.88,0.3,0,0.3333,106,0.666666667,1,1
