"ISO-2","ISO-3","country","corprate","losscarryback","losscarryforward","pdvmachines","pdvbuildings","pdvintangibles","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","incrate","progressivity","taxwedge","laborpayments","labortime","capgainsrate","capgainsindex","divrate","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","dividendexempt","capgainsexemption","countrylimitations","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","thincap"
"AU","AUS","Australia",0.3,0,100,0.851485,0.4793187,0.5479539,0.5,0,1,37,1,6,0.465,2.32037,1.444691983,4,18,0.245,0,0.27121,0.1,48730.64034,0.52,50,0,0.98576321,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.666666667,0.5
"AT","AUT","Austria",0.25,0,75,0.8134632,0.391406,0.7378887,1,0,1,47,1,8,0.5,14.163515,1.121477333,3,52,0.25,0,0.25,0.2,34987.89331,0.61,67,1,0.119586378,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5
"BE","BEL","Belgium",0.3399,0,100,0.8822161,0.6224049,0.8698653,1,1,1,20,1,8,0.59447155,1.009416,1.200290991,2,40,0,1,0.25,0.21,6319.04976,0.47,75,0.5,0.604468428,0,1,1,0,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
"CA","CAN","Canada",0.262,3,20,0.9651163,0.2421053,0.5189655,0.5,0,1,45,1,4,0.495296,10.605125,1.205870245,3,36,0.225,0,0.338414,0.123209196,23453.72582,0.49,50,0.5,1.944461985,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
"CL","CHL","Chile",0.21,100,100,0.6326117,0.3384747,0,0.5,1,0,42,1,5,0.4,10.408629,1.154521947,1,124.5,0.2,0,0.24050633,0.19,0,0.59,124.5,1,0.574466503,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,25,0,0.5
"CZ","CZE","Czech Republic",0.19,0,5,0.8738791,0.5432228,0.8413188,0.5,0,1,53,1,5,0.311,0.40867,1.141031788,2,75,0.15,1,0.15,0.21,67707.95356,0.56,102,1,0.137982035,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5
"DK","DNK","Denmark",0.245,0,60,0.8269231,0.4793187,0.8134064,0,0,0,27,3,6,0.55564,1.16303,1.249873679,1,65,0.42,0,0.42,0.25,5879.076387,0.59,40,0.5,0.714164569,0,1,0,0,0,0,1,1,1,0.27,0.25,0.25,73,0.833333333,0.5
"EE","EST","Estonia",0.21,100,100,1,1,1,1,0,0,20,1,7,0.2258,0.15036,1.055845295,0,34,0.21,0,0,0.2,25581.77657,0.76,27,0,0.206546843,0,0,0,0,0,0,1,0,1,0,0,0.1,51,0.666666667,0
"FI","FIN","Finland",0.2,0,10,0.8269231,0.5189655,0.7378887,0,0,0,21,1,4,0.56617293,2.535029,1.276059542,3,48,0.32,0,0.272,0.24,8589.472836,0.55,24,0.5,0.335116315,0,1,1,1,0,1,1,1,1,0.2,0,0.2,75,0.833333333,1
"FR","FRA","France",0.379962,1,50,0.857738,0.5479539,0.8698653,0.5,1,1,26,1,6,0.549345,15.274647,1.212460367,2,80,0.38,0,0.44001,0.2,93551.08764,0.46,31,1,1.420973805,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.666666667,1
