country,cfcyesno,cfcall,cfcexempt,year
Australia,1,0,0,2017
Austria,0,0,0,2017
Belgium,0,0,0,2017
Canada,1,0,0,2017
Chile,1,0,1,2017
Czech Republic,0,0,0,2017
Denmark,1,1,0,2017
Estonia,1,1,0,2017
Finland,1,1,0,2017
France,1,1,0,2017
Germany,1,0,0,2017
Greece,1,0,0,2017
Hungary,1,1,0,2017
Iceland ,1,1,0,2017
Ireland,0,0,0,2017
Israel,1,0,1,2017
Italy,1,1,0,2017
Japan,1,1,0,2017
Korea,1,1,0,2017
Latvia,0,0,0,2017
Lithuania,1,0,0,2017
Luxembourg,0,0,0,2017
Mexico,1,1,1,2017
Netherlands,0,0,0,2017
New Zealand,1,0,0,2017
Norway,1,1,0,2017
Poland,1,1,0,2017
Portugal,1,1,0,2017
Slovak Republic,0,0,0,2017
Slovenia,0,0,0,2017
Spain,1,0,0,2017
Sweden    ,1,1,0,2017
Switzerland,0,0,0,2017
Turkey,1,1,1,2017
United Kingdom,1,1,0,2017
United States,1,0,0,2017
