country,cfcyesno,cfcall,cfcexempt,year
Australia,1,0,0,2016
Austria,0,0,0,2016
Belgium,0,0,0,2016
Canada,1,0,0,2016
Chile,1,0,1,2016
Czech Republic,0,0,0,2016
Denmark,1,1,0,2016
Estonia,1,1,0,2016
Finland,1,1,0,2016
France,1,1,0,2016
Germany,1,0,0,2016
Greece,1,0,0,2016
Hungary,1,1,0,2016
Iceland ,1,1,0,2016
Ireland,0,0,0,2016
Israel,1,0,1,2016
Italy,1,1,0,2016
Japan,1,1,0,2016
Korea,1,1,0,2016
Latvia,0,0,0,2016
Lithuania,1,0,0,2016
Luxembourg,0,0,0,2016
Mexico,1,1,1,2016
Netherlands,0,0,0,2016
New Zealand,1,0,0,2016
Norway,1,1,0,2016
Poland,1,1,0,2016
Portugal,1,1,0,2016
Slovak Republic,0,0,0,2016
Slovenia,0,0,0,2016
Spain,1,0,0,2016
Sweden    ,1,1,0,2016
Switzerland,0,0,0,2016
Turkey,1,1,1,2016
United Kingdom,1,1,0,2016
United States,1,0,0,2016
