"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","International Rank","International Score"
"AT","AUT","Austria",2014,16,66.4742525629421,15,65.7237122745026,27,57.4504303500703,21,59.7539428152956,21,62.0817649966729,4,82.07618436485
"AT","AUT","Austria",2015,16,66.6124121759103,14,61.7829545473603,26,59.2882942201424,22,59.6598415687311,21,62.1303761641639,4,82.7579534974244
"AT","AUT","Austria",2016,11,70.2224395356239,14,64.5936166195283,27,58.1291562825497,11,70.1463489338598,16,67.8772701236163,4,84.018387180071
"AT","AUT","Austria",2017,12,67.1820426803092,17,62.8318065653108,32,48.5763376259958,11,69.1648346275717,15,67.643078510227,5,83.8429426089744
"AT","AUT","Austria",2018,13,66.0273950999607,19,63.5392006382203,31,49.9463697621401,10,70.0547730183415,14,65.3810125017727,6,84.3346987999254
"AT","AUT","Austria",2019,13,68.4206672719896,19,61.4263295818022,31,50.3542334702471,11,69.5666434089007,14,64.6074859120342,5,94.0231597885032
"AT","AUT","Austria",2020,16,66.8492492261187,23,54.7281862352105,31,50.0111049500047,11,74.184953346378,14,64.9051815042318,5,94.2964004387333
"AT","AUT","Austria",2021,18,65.6776566723298,21,56.6900282497563,32,45.0607474707634,13,74.046540966803,14,64.7845054436627,7,86.8666604294696
