"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"ES","ESP","Spain",2014,36,54.9816585529011,36,40.1840001612301,29,57.6382315452992,20,54.012129327682,32,47.5493649823553,25,64.8808070427762
"ES","ESP","Spain",2015,34,58.3546343837022,35,45.6816293551187,17,63.988904793187,20,55.9405084297782,33,47.1757745314697,16,68.2482569103406
"ES","ESP","Spain",2016,27,62.8892842487345,27,56.8000896198456,14,72.1259254550506,19,53.858115732091,33,46.9672650981001,16,72.0790159270268
"ES","ESP","Spain",2017,27,61.9578302371309,28,57.9213942816896,14,72.4716081535781,19,55.6659856077543,33,46.8570266118294,16,71.7779163454104
"ES","ESP","Spain",2018,28,60.2330715223278,28,57.369517200134,14,68.9692527468926,19,57.5196265121743,34,42.1772178282375,16,70.3997903252949
"ES","ESP","Spain",2019,27,62.8903242462948,27,57.4328765637385,15,68.3546988788656,19,56.7999107932885,34,41.8956925908265,16,78.0872175550614
"ES","ESP","Spain",2020,29,61.4877451147125,29,53.0161252688841,15,69.0682494335782,19,57.2501320537399,34,41.9197757062702,15,77.9495856238738
"ES","ESP","Spain",2021,34,55.7333626203231,33,48.3175608316684,17,63.5200761573376,19,57.1700987463009,37,36.5270842633952,15,77.8017900621404
"ES","ESP","Spain",2022,33,57.2154482202529,33,48.8105277002748,16,65.4495076040297,19,54.5173947750875,37,36.3332938307572,16,77.4241609290598
"ES","ESP","Spain",2023,34,56.3388869855754,31,49.067411957207,18,62.883682324723,19,57.8403229738208,37,36.3728267036897,16,76.8463006063798
"ES","ESP","Spain",2024,32,56.5831556303527,29,50.0011011504556,19,62.2710191924994,19,58.9319699231749,36,42.2788950659094,18,71.7906864758285
