"ISO-3","year","country","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","countrylimitations","thincap","ISO-2","corprate","divrate","incrate","progressivity","taxwedge","pdvmachines","pdvbuildings","pdvintangibles"
"AUS",2018,"Australia",0,100,0.5,0,1,37,1,6,0.1,50335.57047,0.49,50,0,1.218139595,0,0,1,0,0,0,0.245,0,2.154613,4,18,1,1,0.3,0.1,0.3,45,0.6667,0,0.5,"AU",0.3,0.2428,0.49,2.15994,1.37619491228587,0.851484971473245,0.479318672008477,0.547953910556565
"AUT",2018,"Austria",0,75,1,0,1,46,1,8,0.2,37500,0.59,35,1,0.134621198,0,0,1,1,0,0,0.275,0,7.872148,3,50,1,1,0.275,0,0.2,91,0.5,1,0.5,"AT",0.25,0.275,0.55,23.826478,1.12775449123379,0.813463195231154,0.391406012913837,0.737888702767901
"BEL",2018,"Belgium",0,100,1,1,1,21,1,8,0.21,31250,0.47,75,1,0.708699637,0,1,1,0,0,1,0,1,1.048901,2,40,1,1,0.3,0.3,0.3,95,0,0,0.5,"BE",0.2958,0.3,0.529341,1.044424,1.22788012132812,0.882216122406083,0.622404878792567,0.802532679160089
"CAN",2018,"Canada",3,20,0.5,0,1,45,1,4,0.1242697,24000,0.49,50,0.5,2.054426247,0,0,1,1,1,0,0.2675,0,4.260066,3,36,1,0.5,0.25,0.25,0.25,96,0.333333333,1,0.5,"CA",0.268,0.39343524,0.535296,4.261458,1.18111708242576,1,0.426086956521739,0.49
"CHE",2018,"Switzerland",0,7,1,0,0,15,2,10,0.077,81300.81301,0.71,8,1,0.105294886,1,1,1,1,1,1,0,1,3.49735,7,40,1,1,0.35,0.35,0,93,0,0,0.5,"CH",0.21148581,0.21135,0.4167,3.358516,1.35950092899318,0.86,0.554838709677419,0.905263157894737
"CHL",2018,"Chile",0,100,0.5,0,1,42,1,5,0.19,0,0.63,124,1,0.605208372,0,1,0,1,0,0,0.35,0,7.726053,1,125,0,0,0.35,0.35,0.3,32,0.5,0,0.5,"CL",0.25,0.13333333,0.35,7.727266,1.1460878682868,0.632611659769417,0.338474732816403,0
"CZE",2018,"Czech Republic",0,5,0.5,0,1,53,1,5,0.21,76923.07692,0.58,108,1,0.155825557,0,1,1,0,0,0,0.15,1,0.347974,2,87,1,1,0.15,0.15,0.15,87,0,1,0.5,"CZ",0.19,0.15,0.15,0.3475,1.11493529680338,0.873879108036537,0.543222830616488,0.841318847888109
"DEU",2018,"Germany",0.5,60,1,0,0,41,2,6,0.19,22435.89744,0.55,43,1,0.316064642,0,1,1,0,0,0,0.26375,0,5.403225,1,134,0.95,0.95,0.25,0,0.15,96,0.5,0,1,"DE",0.29889263,0.26375,0.47475,5.441752,1.09954802901742,0.737888702767901,0.391406012913837,0.869865253929667
"DNK",2018,"Denmark",0,60,0,0,1,25,3,6,0.25,6793.478261,0.59,40,0.5,0.86008888,0,1,0,0,0,0,0.42,0,1.260703,1,65,1,1,0.27,0.22,0.22,74,0.833333333,1,0.5,"DK",0.22,0.42,0.55794,1.265165,1.29658266430956,0.826923076923077,0.479318672008477,0.81340644290143
"ESP",2018,"Spain",0,100,0.5,1,1,33,1,7,0.21,0,0.41,35,1,0.629468576,1,1,1,0,1,0,0.23,0,2.444309,1,84,1,1,0.19,0.19,0.24,89,0.5,1,1,"ES",0.25,0.23,0.435,2.442919,1.21946414002396,0.778563038959402,0.391406012913837,0.737888702767901
