"country","year","losscarryback","losscarryforward","pdvmachines","pdvbuildings","pdvintangibles","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","countrylimitations","thincap","ISO-3","corprate","divrate","incrate","progressivity","taxwedge","ISO-2"
"Latvia",2015,0,100,0.905,0.6142,0.7378887,0.5,0,1,28,1,5,0.21,96153.84,0.6885318,66,0.5,0.8,0,0,1,0,0,0,0.15,0,0.113023,1,99,1,1,0,0,0,58,0,1,0.5,"LVA",0.15,0.1,0.24,0.113023,1.04331863760545,"LV"
"Luxembourg",2015,0,100,0.8708695,0.4793187,0.8698653,1,1,1,19,5,6,0.17,25182.62462,1,22,1,0.076,0,1,1,1,0,0,0,1,2.982644,12,14,1,1,0.15,0,0,70,0,0,0,"LUX",0.2922,0.2,0.436,2.982644,1.34880284591451,"LU"
"Mexico",2015,0,10,0.7378887,0.5479539,0.7378887,1,0,1,170,1,3,0.16,0,0.31,100,0.5,0.203,0,0,1,0,0,0,0.1,1,29.08548,2,64,0,0,0.1,0.4,0.4,51,1,1,0.5,"MEX",0.3,0.17142857,0.35,29.08548,1.25232934433673,"MX"
"Netherlands",2015,1,9,0.9651163,0.3384747,0.7378887,1,1,0,25,1,7,0.21,1537.193296,0.53,34,0.5,0.704,1,1,1,0,0,0,0,1,1.2394,1,64,1,1,0.15,0,0,95,0,0,0,"NLD",0.25,0.25,0.52,1.2394,1.53065191905159,"NL"
"New Zealand",2015,0,100,0.7319149,0.3071429,0.7378887,0.5,0,1,34,1,5,0.15,38134.00067,0.96,59,0,2.014,0,0,0,0,0,0,0,1,1.27894,2,59,1,1,0.3,0.15,0.15,39,0.67,0,0.5,"NZL",0.28,0.06944444,0.33,1.27894,1.52863068710885,"NZ"
"Norway",2015,2,100,0.7818182,0.373913,0.7378887,0,0,1,24,1,2,0.25,5181.61744,0.57,44,1,0.337,1,0,0,1,0,0,0.27,0,1.593848,1,15,0.97,0.97,0.25,0,0,88,0.83,1,1,"NOR",0.27,0.27,0.39,1.593848,1.28382087786685,"NO"
"Poland",2015,0,2.5,0.7378887,0.3384747,0.8698653,1,0,0,62,1,16,0.23,77747.20423,0.42,100,1,1.22,0,1,1,0,1,1,0.19,0,2.261463,1,124,1,0,0.19,0.2,0.2,81,0.83,1,0.5,"POL",0.19,0.19,0.32,2.261463,1.04118809904881,"PL"
"Portugal",2015,0,8.4,0.8884112,0.5479539,0.7378887,0.5,1,1,63,1,6,0.23,14317.54964,0.47,96,0.5,0.709,0,1,1,1,0,1,0.28,1,16.197175,1,116,1,1,0.25,0.25,0.25,67,0.83,1,1,"PRT",0.295,0.28,0.565,16.197175,1.32705982091241,"PT"
"Slovak Republic",2015,0,4,0.8738791,0.6527281,0.8698653,0.5,0,1,42,1,18,0.2,86990.53295,0.43,103,0.5,0.438,0,0,0,0,0,0,0.22,0,3.880309,1,62,1,0,0,0.19,0.19,66,0,1,0,"SVK",0.22,0,0.25,3.880309,1.12247559781109,"SK"
"Slovenia",2015,0,50,0.8698653,0.391406,0.7378887,0.5,0,0,90,1,9,0.22,74142.10478,0.56,74,1,0.523,0,1,1,0,0,0,0,1,5.307771,1,96,0.95,0.475,0.15,0.15,0.15,53,0,1,0.5,"SVN",0.17,0.25,0.5,5.307771,1.19780804585969,"SI"
"Spain",2015,0,50,0.6950019,0.2913855,0.2789584,0.5,1,1,33,1,6,0.21,0,0.41,44,1,1.037,1,1,1,0,1,0,0.24,0,11.66034,1,90,1,1,0.195,0.195,0.195,82,0.5,1,1,"ESP",0.28,0.235,0.52,11.66034,1.11417059133755,"ES"
"Sweden",2015,0,100,0.86,0.4793187,0.86,0,0,0,50,1,4,0.25,0,0.56,36,0.5,0.78,0,0,1,0,0,0,0.3,0,1.508153,1,36,1,1,0.3,0,0,76,0.67,0,0.5,"SWE",0.22,0.3,0.5686,1.508153,1.24159996210409,"SE"
"Switzerland",2015,0,7,0.86,0.5548387,0.9052632,1,0,0,15,2,10,0.08,63826.82681,0.71,8,1,0.164,1,1,1,1,1,1,0,1,3.461304,7,40,1,1,0.35,0.35,0,87,0,0,0.5,"CHE",0.21148581,0.21135,0.4167,3.461304,1.33246998314131,"CH"
"Turkey",2015,0,5,0.8763232,0.4793187,0.6323278,1,0,1,49,1,9,0.18,0,0.4,97,0.5,0.249,0,1,1,0,1,1,0,1,3.998254,1,80,1,1,0.15,0.1,0.2,80,0.67,0,0.5,"TUR",0.2,0.175,0.3576,3.998254,1.16689114988297,"TR"
"United Kingdom",2015,1,100,0.7588235,0,0.8269231,0,1,1,37,1,6,0.2,102850.5599,0.44,25,0.5,3.192,0,1,1,1,0,1,0.28,0,4.271088,1,48,1,1,0,0.2,0.2,128,0.67,0,0,"GBR",0.2,0.3055625,0.45,4.271088,1.38756816269463,"GB"
"United States",2015,2,20,0.8769255,0.3495831,0.6327513,1,0,1,87,2,5,0.0725,0,0.397,33,0.5,2.767,0,1,1,1,0,1,0.286,0,8.220619,4,55,0,0,0.3,0.3,0.3,58,0.67,0,0.5,"USA",0.389975,0.28535406,0.4625,8.220619,1.24980377805961,"US"
