country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,threshold,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Netherlands,0.25,1,9,0.9651163,0.3384747,0.7378887,1,1,0,25,1,7,0.21,1616,0.55,34,0.5,0.711,1,1,1,0,0,0,0,1,0.25,0.81570593,1.215933,1.511497908,1,64,1,1,0.15,0,0,96,0,0,0
New Zealand,0.28,0,100,0.7319149,0.3071429,0.7378887,0.5,0,0,34,1,5,0.15,39388,0.99,59,0,2.07,0,0,0,0,0,0,0,1,0.069444444,0.33,1.314966,1.544159232,2,59,1,1,0.3,0.15,0.15,38,0.67,0,0.5
Norway,0.27,2,100,0.7818182,0.373913,0.7378887,0,0,1,24,1,2,0.25,5196,0.54,44,1,0.339,1,0,0,1,0,0,0.27,0,0.27,0.478,1.578054,1.284782975,1,15,0.97,0.97,0.25,0,0,88,0.83,1,1
Poland,0.19,0,2.5,0.7378887,0.3384747,0.8698653,1,0,0,62,1,16,0.23,80014,0.46,100,1,1.161,0,1,1,0,1,1,0.19,0,0.19,0.38751185,2.416807,1.044397495,1,124,1,0,0.19,0.2,0.2,80,0,1,0.5
Portugal,0.315,0,5,0.8884112,0.5479539,0.7378887,0.5,1,1,63,1,6,0.23,15826,0.44,96,0.5,0.746,0,1,1,1,0,1,0.28,1,0.28,0.61285,15.912636,1.331147146,1,116,1,0,0.25,0.25,0.25,76,0.83,1,1
Slovak Republic,0.22,0,4,0.8738791,0.6527281,0.8698653,0.5,0,1,42,1,18,0.2,95833,0.48,103,0.5,0.442,0,0,0,0,0,0,0.22,0,0,0.3505,3.972201,1.128019614,1,62,1,0,0,0.19,0.19,64,0,1,0
Slovenia,0.17,0,50,0.8698653,0.391406,0.7378887,0.5,0,0,90,1,9,0.22,39685,0.62,74,1,0.534,0,1,1,0,0,0,0,1,0.25,0.6105,5.390324,1.198258214,1,96,0.95,0.475,0.15,0.15,0.15,52,0,1,0.5
Spain,0.3,0,18,0.6950019,0.2913855,0.2789584,0.5,1,1,33,1,6,0.21,0,0.34,44,1,1.022,1,1,1,0,1,0,0.27,0,0.27,0.52,11.728847,1.126675225,1,90,1,1,0.21,0.21,0.2475,79,0.5,1,1
Sweden    ,0.22,0,100,0.86,0.4793187,0.86,0,0,0,50,1,2,0.25,3366,0.57,36,0.5,0.802,0,0,1,0,0,0,0.3,0,0.3,0.5673,1.518355,1.223638909,1,36,1,1,0.3,0,0,76,0.67,0,0.5
Switzerland,0.211485813,0,7,0.86,0.5548387,0.9052632,1,0,0,15,2,10,0.08,66832,0.71,8,1,0.164,1,1,1,1,1,1,0,1,0.19985,0.41752888,3.325761,1.35931357,7,40,1,1,0.35,0.35,0,85,0,0,0.5
Turkey,0.2,0,5,0.8763232,0.4793187,0.6323278,1,0,1,49,1,9,0.18,0,0.34,97,0.5,0.249,0,1,1,0,1,1,0,1,0.175,0.358,4.283921,1.181381759,1,80,1,1,0.15,0.1,0.2,78,0.67,0,0.5
United Kingdom,0.21,1,100,0.7588235,0,0.8269231,0,1,1,37,1,6,0.2,110744,0.47,25,0.5,3.381,0,1,1,1,0,1,0.28,0,0.3055625,0.47,4.274984,1.376383913,1,48,1,1,0,0.2,0.2,128,0.67,0,0
United States,0.391,2,20,0.8769255,0.3495831,0.6327513,1,0,1,87,2,5,0.072,0,0.38,33,0.5,2.805,0,1,1,1,0,1,0.287,0,0.287,0.486,8.305387,1.255952188,4,55,0,0,0.3,0.3,0.3,58,0.67,0,0.5
