country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,deduction limitations,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,threshold,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
New Zealand,0.28,0,100,0.7319149,0.3071429,0.7378887,0.5,0,0,34,1,5,0.15,40816.33,0.96,0,59,0,1.889,0,0,0,0,0,0,0,1,0.0694,0.33,1.248,0.1756,2,59,1,1,0.3,0.15,0.15,39,0.5,0,0.5
Norway,0.25,2,100,0.7818182,0.373913,0.7378887,0,0,0,24,1,2,0.25,5102.04,0.57,1,44,1,0.345,1,0,0,1,0,0,0.25,0,0.2875,0.472,1.604,0.3664,1,15,0.97,0.97,0.25,0,0,88,1,1,1
Poland,0.19,0,2.5,0.7378887,0.3384747,0.8698653,1,0,1,70,1,4,0.23,83333.33,0.42,1,98,1,1.248,0,1,1,0,1,1,0.19,0,0.19,0.38751,2.211,0.34662,2,103,1,0,0.19,0.2,0.2,81,0.5,1,0.5
Portugal,0.295,0,8.4,0.8884112,0.5479539,0.7378887,0.5,1,1,63,1,6,0.23,16949.15,0.47,1,96,0.5,0.749,0,1,1,1,0,1,0.28,1,0.28,0.61285,16.256,0.42058,1,116,1,1,0.25,0.25,0.25,71,1,1,1
Slovak Republic,0.22,0,4,0.8738791,0.6527281,0.8698653,0.5,0,1,42,1,8,0.2,99580,0.43,1,84,0.5,0.445,0,0,0,1,0,0,0.25,0,0,0.3505,3.809,0.41347,1,62,1,0,0,0.19,0.19,66,0,0,0.5
Slovenia,0.17,0,50,0.8698653,0.391406,0.7378887,0.5,0,0,86,1,8,0.22,83333.33,0.56,1,69,1,0.551,0,1,1,0,0,0,0,1,0.25,0.6105,5.261,0.42581,1,90,0.95,0.475,0.15,0.15,0.15,56,0,1,0.5
Spain,0.25,0,60,0.778563,0.391406,0.2789584,0.5,1,1,33,1,7,0.21,0,0.41,1,35,1,1.117,1,1,1,0,1,0,0.23,0,0.23,0.46,2.466,0.39556,1,90,1,1,0.19,0.19,0.19,85,0.5,1,1
Sweden    ,0.22,0,100,0.86,0.4793187,0.86,0,0,0,50,1,4,0.25,0,0.56,0,36,0.5,0.837,0,0,1,0,0,0,0.3,0,0.3,0.5699,1.493,0.42706,1,36,1,1,0.3,0,0,77,0.5,0,0.5
Switzerland,0.2115,0,7,0.86,0.5548387,0.9052632,1,0,0,15,2,10,0.08,78125,0.71,0,8,1,0.161,1,1,1,1,1,1,0,1,0.2114,0.41736,3.33,0.22219,7,40,1,1,0.35,0.35,0,87,0,0,0.5
Turkey,0.2,0,5,0.8763232,0.4793187,0.6323278,1,0,1,49,1,9,0.18,0,0.4,1,97,0.5,0.245,0,1,1,0,1,0,0,1,0.175,0.358,3.759,0.38309,1,80,1,1,0.15,0.1,0.2,80,0.5,1,0.5
United Kingdom,0.2,1,100,0.7588235,0,0.8269231,0,1,1,37,1,6,0.2,118840.58,0.44,1,25,0.5,3.178,0,1,1,1,0,1,0.28,0,0.3056,0.47,4.165,0.30825,1,48,1,1,0,0.2,0.2,127,0.5,0,0
United States,0.3892,2,20,0.8769255,0.3495831,0.6327513,1,0,1,87,2,5,0.0725,0,0.397,1,33,0.5,2.662,0,1,1,1,0,1,0.286,0,0.2852,0.486,8.208,0.31662,4,55,0,0,0.3,0.3,0.3,58,0.5,1,0.5
Latvia,0.15,0,100,0.905,0.6142,0.7378887,0.5,0,1,28,1,5,0.21,98039.22,0.686613163,1,66,0.5,0.8,0,0,1,0,0,0,0.15,0,0.1,0.23,0,0.40354089,1,99,1,1,0,0,0,60,0,0,0.5
