"ISO-3","year","country","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","countrylimitations","thincap","ISO-2","corprate","divrate","incrate","progressivity","taxwedge","pdvmachines","pdvbuildings","pdvintangibles"
"ITA",2019,"Italy",0,80,1,1,1,39,2,11,NA,NA,NA,30,1,NA,1,1,1,0,1,1,0.26,NA,NA,1,169,0.95,0.95,0.26,0.26,0.225,NA,0.666666666666667,1,1,NA,0.278064,0.26,0.4723,2.660988,1.24268824305587,0.760252585046526,0.462657542127945,0.965116279069767
"JPN",2019,"Japan",0,5,0.5,0,1,38,3,13,NA,NA,NA,21,1,NA,0,1,1,1,1,0,0.20315,NA,NA,14,70.5,0.95,0,0.2,0.2,0.2,NA,0.666666666666667,0,0.5,NA,0.2974,0.2032,0.55945,8.523732,1.13468336003855,0.769602272727273,0.278958448750364,0.787075165170195
"KOR",2019,"Korea",0.5,6,1,1,1,83,2,8,NA,NA,NA,25,1,NA,0,1,1,0,1,1,0,NA,NA,2,80,0,0,0.22,0.22,0.22,NA,0.666666666666667,0,1,NA,0.275,0.4028,0.46199991,11.411545,1.24277078776333,0.921720532319392,0.547953910556565,0.737888702767901
"LUX",2019,"Luxembourg",0,17,1,1,0,19,5,6,NA,NA,NA,22,1,NA,0,1,1,1,0,0,0,NA,NA,12,14,1,1,0.15,0,0,NA,0,0,1,NA,0.2494,0.21,0.4578,3.601462,1.3796009484275,0.864209076145449,0.479318672008477,0.869865253929667
"LVA",2019,"Latvia",100,100,1,0,0,22.5,1,5,NA,NA,NA,66,0.5,NA,0,0,1,0,0,0,0.2,NA,NA,1,80,1,1,0,0,0,NA,0,1,1,NA,0.2,0,0.314,5.201247,1.11235837219153,1,1,1
"MEX",2019,"Mexico",0,10,1,0,1,102,1,3,NA,NA,NA,100,0.5,NA,0,1,1,0,0,0,0.1,NA,NA,2,38.5,0,0,0.1,0.35,0.35,NA,1,0,0.5,NA,0.3,0.17142857,0.35,28.657892,1.22541089373791,0.737888702767901,0.547953910556565,0.737888702767901
"NLD",2019,"Netherlands",1,9,1,1,1,21,1,7,NA,NA,NA,34,0.5,NA,1,1,1,0,0,0,0.3,NA,NA,1,64,1,1,0.15,0,0,NA,0,0,1,NA,0.25,0.25,0.5195,1.396044,1.33931976589556,0.965116279069767,0.338474732816403,0.737888702767901
"NOR",2019,"Norway",0,100,0,0,1,24,1,3,NA,NA,NA,40,1,NA,1,0,1,1,0,0,0.3059,NA,NA,1,15,0.97,1,0.25,0,0,NA,0.833333333333333,1,1,NA,0.22,0.3168,0.384,1.612888,1.24997540546145,0.781818181818182,0.373913043478261,0.737888702767901
"NZL",2019,"New Zealand",0,100,0.5,0,0,34,1,4,NA,NA,NA,47,0,NA,0,0,0,0,0,0,0,NA,NA,2,59,1,1,0.3,0.15,0.15,NA,0.666666666666667,0,0.5,NA,0.28,0.06944444,0.33,1.159718,1.45683627094634,0.746588594704684,0.310056925996205,0.737888702767901
"POL",2019,"Poland",0,2.5,1,0,1,59,1,4,NA,NA,NA,172,1,NA,0,1,1,1,1,1,0.19,NA,NA,2,103,1,0,0.19,0.2,0.2,NA,0.833333333333333,1,1,NA,0.19,0.19,0.32,1.857583,1.03387517587815,0.737888702767901,0.338474732816403,0.869865253929667
"PRT",2019,"Portugal",0,3.5,0.5,1,1,63,1,6,NA,NA,NA,90,0.5,NA,0,1,1,1,0,1,0.28,NA,NA,1,90,1,1,0.25,0.25,0.25,NA,0.833333333333333,1,1,NA,0.315,0.28,0.53,15.313676,1.27366379444072,0.888411247396436,0.547953910556565,0.737888702767901
"SVK",2019,"Slovak Republic",0,4,0.5,1,1,46,1,6,NA,NA,NA,84,0.5,NA,0,0,0,1,0,0,0,NA,NA,1,62,1,0,0.35,0.19,0.19,NA,1,1,1,NA,0.21,0.07,0.25,3.35728,1.10519624887834,0.873879108036537,0.652728119257913,0.869865253929667
"SVN",2019,"Slovenia",0,50,0.5,0,1,74,1,8,NA,NA,NA,69,1,NA,0,1,1,1,0,0,0,NA,NA,1,90,0.95,0.475,0.15,0.15,0.15,NA,0,1,0.5,NA,0.19,0.25,0.5,4.842731,1.26779478290572,0.869865253929667,0.391406012913837,0.737888702767901
"SWE",2019,"Sweden",0,100,0,0,0,50,1,4,NA,NA,NA,36,0.5,NA,0,0,1,0,0,0,0.3,NA,NA,1,36,1,1,0.3,0,0,NA,0.666666666666667,0,1,NA,0.214,0.3,0.5712,1.489688,1.23696029584554,0.86,0.479318672008477,0.86
"TUR",2019,"Turkey",0,5,0.5,1,1,24,1,8,NA,NA,NA,75,0.5,NA,0,1,1,0,1,1,0,NA,NA,1,71,1,1,0.15,0.1,0.2,NA,0.666666666666667,0,0.5,NA,0.22,0.175,0.3576,3.008828,1.18922800976239,0.876323174170354,0.479318672008477,0.632327782275491
"USA",2019,"United States",0,80,1,0,1,87,2.4,4.6,NA,NA,NA,33,0.5,NA,0,1,1,1,0,1,0.238,NA,NA,3.6,55,1,0,0.3,0.3,0.3,NA,0.666666666666667,0,1,NA,0.25886141,0.29275433,0.4365,9.317343,1.24630480803526,1,0.34958311169213,0.632751338890881
