"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","countrylimitations","thincap","ISO-2","corprate","divrate","incrate","progressivity","taxwedge","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections"
"Australia",2017,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,0,2.22844,4,18,1,1,0.3,0.1,0.3,45,0.67,0,0.5,"AU",0.3,0.2428,0.49,2.194088,1.4134143528398,0.851484971473245,0.479318672008477,0.547953910556565,10,50335.5704697987,0.495677137783973,0.955322385727872
"Austria",2017,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,0,0,0.275,0,8.023699,3,50,1,1,0.275,0,0.2,91,0,1,0,"AT",0.25,0.275,0.55,24.310926,1.13251138577789,0.813463195231154,0.391406012913837,0.737888702767901,20,36585.3658536585,0.595346920500117,0.12361216753266
"Belgium",2017,"BEL",0,100,1,1,1,21,1,8,100,1,0,1,1,0,0,1,0,1,1.046325,2,40,0.95,0.987878788,0.3,0.3,0.3,93,0,0,0.5,"BE",0.3399,0.3,0.533,1.046325,1.22915827485894,0.882216122406083,0.622404878792567,0.802532679160089,21,30487.8048780488,0.476392998987602,0.738176031982139
"Canada",2017,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.2675,0,4.328839,3,36,1,0.5,0.25,0.25,0.25,96,0.33,1,0.5,"CA",0.267,0.39343524,0.535296,4.328839,1.16753592251421,0.965116279069767,0.242105263157895,0.518965517241379,5,24000,0.474503207079933,1.95417134924071
"Chile",2017,"CHL",0,100,0.5,0,0,42,1,5,124,1,0,1,0,1,0,0,0.35,0,9.75367,1,125,0,0,0.35,0.35,0.3,32,0.5,0,0.5,"CL",0.25,0.13333333,0.4,9.754696,1.15013270338827,0.632611659769417,0.338474732816403,0,19,0,0.638025880525371,0.530151545914639
"Czech Republic",2017,"CZE",0,5,0.5,0,1,53,1,5,94,1,0,1,1,0,0,0,0,1,0.371761,2,87,1,1,0.15,0.15,0.15,87,0,1,0.5,"CZ",0.19,0.15,0.15,0.371761,1.12395446063395,0.873879108036537,0.543222830616488,0.841318847888109,21,75872.5341426404,0.600302406645114,0.125879383488097
"Denmark",2017,"DNK",0,60,0,0,0,25,3,6,40,0.5,0,1,0,0,0,0,0.42,0,1.249225,1,65,1,1,0.27,0.22,0.22,73,0.83,1,0.5,"DK",0.22,0.42,0.55794,1.249225,1.29210745273779,0.826923076923077,0.479318672008477,0.81340644290143,25,6666.66666666667,0.596063795426487,0.96460364268842
"Estonia",2017,"EST",100,100,1,0,0,20,1,7,33,0,0,0,0,0,0,0,0.2,0,0.409786,0,31,1,1,0,0,0.1,57,0.67,1,0,"EE",0.2,0,0.2,0.409786,1.05342664790177,1,1,1,20,28571.4285714286,0.728150828092231,0.171069392309224
"Finland",2017,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,1,1,0,1,0.34,0,1.806615,3,48,1,1,0.2,0,0.2,75,0.83,1,1,"FI",0.2,0.289,0.5162,1.803856,1.27354071903888,0.826923076923077,0.518965517241379,0.737888702767901,24,10752.688172043,0.543890115085756,0.446640312985308
"France",2017,"FRA",1,50,0.5,1,1,28,1,5,31,1,1,1,1,1,1,1,0.3444675,0,14.818232,2,80,0.95,0.88,0.3,0,0.3333,107,0.67,1,1,"FR",0.4442889,0.44001,0.54501,14.802542,1.23116763132598,0.857738015451725,0.547953910556565,0.869865253929667,20,100243.902439024,0.48566405924343,1.66339348226691
"Germany",2017,"DEU",0.5,60,1,0,0,41,2,6,43,1,0,1,1,0,0,0,0.26375,0,5.481573,1,134,0.95,0.95,0.25,0,0.15,96,0.5,0,1,"DE",0.29889263,0.26375,0.47475,5.481573,1.10177847768563,0.737888702767901,0.391406012913837,0.869865253929667,19,22151.8987341772,0.556567367932321,0.273335436716142
"Greece",2017,"GRC",0,5,1,0,0,78,1,6,69,1,0,1,1,0,1,0,0.25,0,3.755502,1,46,1,0,0.15,0.15,0.2,57,0.5,1,1,"GR",0.29,0.15,0.54,11.232552,1.25204095673012,0.737888702767901,0.479318672008477,0.737888702767901,24,16393.4426229508,0.436878506277984,1.28692684312807
"Hungary",2017,"HUN",0,2.5,0.5,1,0,35,2,7,96,1,0,1,1,1,0,1,0.15,0,0,2,146,1,1,0,0,0,80,0.33,0,0.5,"HU",0.09,0.15,0.15,0,1,0.816200383417959,0.278958448750364,0.869865253929667,27,44822.9493500672,0.567176393235143,0.392596721209755
"Iceland",2017,"ISL",0,10,0.5,0,1,40,1,7,40,1,0,1,0,1,0,0,0.2,0,1.250882,13,60,1,1,0.18,0.1,0.2,42,0.83,0,1,"IS",0.2,0.2,0.46249998,1.261743,1.28714798664075,0.86,0.602353618717047,0.812269350072009,24,7032.3488045007,0.546822043581059,1.18468413031716
"Ireland",2017,"IRL",1,100,0.5,1,1,12,1,7,30,0.5,0,1,1,0,0,1,0.33,0,1.977008,1,40,0,1,0.2,0.2,0.2,72,0,1,0,"IE",0.125,0.51,0.48,1.566288,1.47831286890406,0.787075165170195,0.479318672008477,0.547953910556565,23,88339.222614841,0.498533689864113,0.655344724286077
"Israel",2017,"ISR",0,100,0.5,1,0,110,2,19,65,1,0,0,1,0,0,0,0.27,1,5.58326,12,60,0,0,0.3,0.24,0.24,53,0.67,0,0,"IL",0.24,0.27,0.5,5.59539,1.71909144696196,0.869865253929667,0.391406012913837,0.787075165170195,17,25517.0103092784,0.632540965239364,1.58298924919752
"Italy",2017,"ITA",0,80,1,1,1,39,2,11,32,1,1,1,1,0,1,1,0.26,0,9.765313,1,169,0.95,0.95,0.26,0.26,0.225,98,0.67,1,1,"IT",0.278064,0.26,0.488131,9.797844,1.21202533087431,0.760252585046526,0.462657542127945,0.965116279069767,22,40000,0.378756793044304,0.898556474917788
"Japan",2017,"JPN",0,4.95,1,0,1,62,3,9,21,1,0,1,1,0,1,0,0.20315,0,8.61366,2,92,0.95,0,0.2042,0.2042,0.2042,81,0.67,0,0.5,"JP",0.2997,0.2032,0.55945,8.632352,1.13836205021925,0.769602272727273,0.278958448750364,0.787075165170195,8,94939.7132820659,0.7125070110352,1.16426031446005
"Korea",2017,"KOR",0.5,8,1,0,1,83,2,8,25,1,0,1,1,0,1,1,0,1,3.966328,2,80,0,0,0.22,0.22,0.22,92,0.67,0,0.5,"KR",0.242,0.3784,0.418,3.966328,1.26094950387518,0.921720532319392,0.547953910556565,0.737888702767901,10,26928.4712482468,0.696451079081173,0.436781531466262
