ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,,,,,
CA,CAN,Canada,2014,26,65.84607892,21,61.80454802,30,56.82708248,13,63.57910578,28,55.77699767,18,67.21970936,,,,,
CA,CAN,Canada,2015,17,70.23204797,20,60.17482576,21,59.72583665,9,82.45464122,26,56.00771929,17,67.46846345,,,,,
CA,CAN,Canada,2016,17,69.27417781,22,60.94936157,27,56.10026358,9,78.66846649,26,56.51017283,18,69.4528894,,,,,
CA,CAN,Canada,2017,16,68.666844,23,62.04232062,28,54.4176359,6,85.2408075,25,56.75366999,19,69.18737006,,,,,
CA,CAN,Canada,2018,16,68.13924701,25,60.07649278,28,52.78392351,6,86.56133973,24,53.81097824,19,68.42375916,,,,,
CA,CAN,Canada,2019,15,70.31760031,24,61.81905407,27,52.03642195,8,81.37783574,24,53.82926606,18,76.45774614,,,,,
CA,CAN,Canada,2020,15,69.24700586,24,57.56953674,28,53.10884183,8,81.93351849,24,54.13046759,18,76.24636267,,,,,
CA,CAN,Canada,2021,16,67.74111218,26,56.14341676,29,54.41155203,8,81.74654646,24,53.70010371,18,76.26044808,,,,,
CA,CAN,Canada,2022,15,69.64855962,26,58.11417848,26,56.60640358,8,78.97183661,25,52.84271723,17,76.91123848,,,,,
CA,CAN,Canada,2023,15,69.49974687,21,59.96344269,26,56.59424245,9,81.86343904,25,53.25337446,17,76.67261806,,,,,
CA,CAN,Canada,2024,17,66.69360376,26,53.44964252,31,52.85520666,8,82.62466761,25,53.31943352,19,70.3244664,Baseline,,,,
,,,,,,,,,,,,,,,,Policy,Final score impact,Corporate score impact,Individual score impact,Cross-Border impact
CA,CAN,Canada,2024,15,68.02284482,26,53.44964252,27,57.14338506,8,82.62466761,25,53.31943352,19,71.63274025,Capital gains inclusion rate back to 50%,1.329241064,,4.288178409,1.308273858
CA,CAN,Canada,2024,14,69.08662657,22,57.13369259,27,57.14338506,8,82.62466761,25,53.31943352,19,71.63274025,[+] DST abolition,1.063781751,3.684050072,,
CA,CAN,Canada,2024,14,69.12965603,22,57.28025387,27,57.14338506,8,82.62466761,25,53.31943352,19,71.63274025,[+] Start of phaseout for immediate expensing and AIA postponed,0.043029459,0.146561279,,
CA,CAN,Canada,2024,14,70.93716218,22,58.59493721,27,57.14338506,8,82.62466761,25,53.31943352,15,77.44251694,[+] Pillar Two rules postponed (IIR and QDMTT),1.807506149,1.314683339,,5.809776682
