ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
IE,IRL,Ireland,2022,0.125,1,100,0.787075165,0.479318672,0.646263719,0.5,0,1,0.245,0,1,0,0,0.44,1.383305,1.42401457,8,0,0.33,NA,0.51,23,91909.73729,0.429194162,0.5,0.164349777,0,1,1,0,0,1,0,1,1,0.25,0.2,0.2,73,0.25,1
IL,ISR,Israel,2022,0.23,0,100,0.869865254,0.391406013,0.787075165,0.5,0,1,0,0,0,0,2.062,0.5,3.679164,1.621154122,0,0,0.28,NA,0.33,17,27262.77565,0.637765759,0.5,1.079714354,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,58,0.25,0
IS,ISL,Iceland,2022,0.2,0,10,0.86,0.602353619,0.81226935,0.5,0,0,0.36,0,1,0,3.531,0.4625,1.212278,1.316281857,0,8.875,0.22,NA,0.22,24,13878.38681,0.464724949,0,1.119362913,0,1,0,1,0,0,1,1,0,0.2,0.12,0.2,45,0.5,1
IT,ITA,Italy,2022,0.2781,0,80,0.869865254,0.57666938,0.965116279,1,1,0,0.175,1,1,0,4.081,0.52765573,2.446533,1.27921764,0,0,0.26,NA,0.26,22,97157.90701,0.375760535,0,0.579559661,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,100,0.5,1
JP,JPN,Japan,2022,0.2974,0.5,5,0.85902866,0.278958449,0.787075165,0.5,0,0,0.0875,0,1,0,0.22,0.53977165,8.476707,1.131630696,2.1,0,0.2032,NA,0.2032,10,96700.50527,0.650885868,0.5,0.826535355,0,1,1,1,1,0,0.95,0,0,0.2042,0.2042,0.2042,71,0.25,1
KR,KOR,Korea,2022,0.275,0.5,9,0.921720532,0.547953911,0.737888703,1,0,1,0.1275,0,8,0,0,0.51835685,22.839588,1.215536253,0,0,0,NA,0.4395,10,34519.89929,0.699086969,0,0.436326425,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,94,0.375,1
LT,LTU,Lithuania,2022,0.15,0,70,0.905263158,0.826923077,0.966194332,1,0,1,0.28,0,2,0,0,0.3898,4.337702,1.170066903,0,0,0.2,NA,0.15,21,99945.58518,0.538674776,0.5,0.206077669,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,54,0.25,1
LU,LUX,Luxembourg,2022,0.2494,0,17,0.873417351,0.479318672,0.869865254,1,0,1,-0.01,0,1,0,0.112,0.4018,3.205659,1.33293049,7,0,0,NA,0.21,17,34715.23096,0.784655576,0.5,0.045756084,0,1,1,1,0,0,1,1,0,0.15,0,0,83,0.25,1
LV,LVA,Latvia,2022,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.314,4.112665,1.145931055,0,0,0.2,NA,0,21,81311.72068,0.601750459,0.5,0.40469562,0,0,1,0,0,0,1,1,1,0,0,0,62,0.25,1
MX,MEX,Mexico,2022,0.3,0,10,0.737888703,0.547953911,0.737888703,1,0,0,0.055,0,0,0,1.542,0.35,28.65657,1.236779864,0,13.892,0.1,NA,0.17142857,16,0,0.36986106,0.5,0.085988447,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,59,0.5,1
NL,NLD,Netherlands,2022,0.258,1,50,0.813463195,0.338474733,0.869865254,1,0,1,0.265,0,1,0,0,0.513708,1.317145,1.360359479,0,0,0.31,NA,0.269,21,25160.68241,0.571952861,0.5,0.537253049,0,1,1,1,0,0,1,1,0,0.15,0,0,92,0.25,1
NO,NOR,Norway,2022,0.22,0,100,0.781818182,0.373913043,0.737888703,0,0,0,0.22,0,0,0,0,0.464,1.548032,1.240740654,0,0,0.3168,NA,0.352,25,5374.645005,0.595292964,0.5,0.197257849,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.375,1
NZ,NZL,New Zealand,2022,0.28,1,100,0.731914894,0.226315789,0.547953911,0.5,0,0,0.18,0,0,0,2.303,0.39,2.724083,1.400059676,0,0,0,NA,0.15277778,15,41120.9573,1.032234157,1,1.241389676,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.25,0.5
PL,POL,Poland,2022,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,1,1,0.2,1,1,0,0,0.39843792,1.600701,1.034496148,0,0,0.19,NA,0.19,23,110426.528,0.510069123,0.5,0.876140075,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,86,0.375,1
PT,PRT,Portugal,2022,0.315,0,9.6,0.888411247,0.547953911,0.737888703,0.5,1,1,0.35,0,4,9,0.629,0.5567,13.634855,1.237052239,2.5,0,0.28,NA,0.28,23,21769.19085,0.486715894,0.5,0.41591078,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.375,1
SE,SWE,Sweden,2022,0.206,1.5,100,0.86,0.479318672,0.86,0,0,0,0.105,0,0,0,0,0.5227,1.112344,1.245253776,0,-0.061,0.3,NA,0.3,25,3369.74114,0.596941999,0.5,0.333008842,0,0,1,1,0,0,1,1,0,0.3,0,0,85,0.5,1
SI,SVN,Slovenia,2022,0.19,0,63,0.869865254,0.391406013,0.737888703,0.5,0,0,0.19,0,1,0,0.014,0.6105,4.310305,1.107701318,0,0.121,0,NA,0.275,22,87962.19737,0.544330679,0,0.268261695,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,59,0.25,0.5
SK,SVK,Slovak Republic,2022,0.21,0,2.5,0.873879108,0.547953911,0.869865254,0.5,0,1,0.49,0,1,0,0.739,0.3505,3.116163,1.110516163,0,0,0,NA,0.07,20,93374.34128,0.512706081,0.5,0.262318847,0,0,0,0,0,0,1,1,1,0.35,0.19,0.19,70,0.625,1
TR,TUR,Turkey,2022,0.23,0,5,0.864149149,0.431068737,0.694414356,0.5,1,1,0.055,1,0,0,0,0.40041,8.009209,1.155675634,0.759,0,0,NA,0.2,18,0,0.442414107,0.5,0.121855435,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,86,0.5,0.5
US,USA,United States,2022,0.25808085,0,80,1,0.349583112,0.632751339,1,0,1,0.0675,0,2,0,0,0.46,8.51649,1.237175264,0,0,0.2891,NA,0.28940924,7.4,0,0.344334382,0.5,1.628211773,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.5,1
