ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,patent_box,r_and_d_credit,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
IT,ITA,Italy,2019,0.278064,0,80,0.760252585,0.462657542,0.965116279,1,1,1,39,2,11,0.52765573,2.660988,1.242688243,1,169,0.26,NA,0.26,22,90380.96271,0.378756793,30,1,0.776039563,1,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,100,0.666666667,1
JP,JPN,Japan,2019,0.2974,0,5,0.769602273,0.278958449,0.787075165,0.5,0,1,38,3,13,0.56077165,8.523732,1.13468336,14,70.5,0.204,NA,0.2032,8,100407.5684,0.712507011,21,1,1.131035959,0,1,1,1,1,0,0.95,0,0,0.2,0.2,0.2,69,0.666666667,0.5
KR,KOR,Korea,2019,0.275,0.5,6,0.921720532,0.547953911,0.737888703,1,1,1,83,2,8,0.47428129,11.411545,1.242770788,2,80,0,NA,0.4028,10,34205.48624,0.696451079,25,1,0.449409802,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,93,0.666666667,1
LT,LTU,Lithuania,2019,0.15,0,70,0.918446602,0.838302752,0.980369718,1,1,1,18,1,8,0.24,0.410051,1.110169438,1,34,0.2,NA,0.15,21,97563.0908,0.506629641,47,0.5,0.324300492,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,54,0.333333333,1
LU,LUX,Luxembourg,2019,0.2494,0,17,0.864209076,0.479318672,0.869865254,1,1,0,19,5,6,0.4718,3.601462,1.379600948,12,14,0,NA,0.21,17,33690.37646,0.920716528,22,1,0.061969517,0,1,1,1,0,0,1,1,0,0.15,0,0,82,0.333333333,1
LV,LVA,Latvia,2019,0.2,100,100,1,1,1,1,0,0,22.5,1,5,0.38946,5.201247,1.112358372,1,80,0.2,NA,0,21,79773.92071,0.552048132,66,0.5,0.584745248,0,0,1,0,0,0,1,1,1,0,0,0,61,0.333333333,1
MX,MEX,Mexico,2019,0.3,0,10,0.737888703,0.547953911,0.737888703,1,0,1,102,1,3,0.35,28.657892,1.225410894,2,38.5,0.1,NA,0.17142857,16,0,0.334129712,100,0.5,0.144168975,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,59,1,0.5
NL,NLD,Netherlands,2019,0.25,1,9,0.965116279,0.338474733,0.737888703,1,1,1,21,1,7,0.52266995,1.396044,1.339319766,1,64,0.3,NA,0.25,21,1650.193361,0.514299988,34,0.5,0.666350571,0,1,1,0,0,0,1,1,0,0.15,0,0,97,0.333333333,1
NO,NOR,Norway,2019,0.22,0,100,0.781818182,0.373913043,0.737888703,0,0,1,24,1,3,0.466,1.612888,1.249975405,1,15,0.3168,NA,0.3168,25,4916.693512,0.565921326,40,1,0.276973946,1,0,1,1,0,0,0.97,1,1,0.25,0,0,87,0.666666667,1
NZ,NZL,New Zealand,2019,0.28,0,100,0.746588595,0.310056926,0.737888703,0.5,0,1,34,1,4,0.33,1.159718,1.456836271,2,59,0,NA,0.06944444,15,40813.16143,0.952244112,47,0,1.556095493,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.333333333,0.5
PL,POL,Poland,2019,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,1,1,59,1,4,0.39908085,1.857583,1.033875176,2,103,0.19,NA,0.19,23,111214.7262,0.44138562,172,1,1.1082264,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,85,0.666666667,1
PT,PRT,Portugal,2019,0.315,0,3.5,0.888411247,0.547953911,0.737888703,0.5,1,1,63,1,6,0.5817,15.313676,1.273663794,1,90,0.28,NA,0.28,23,16886.44373,0.492153166,90,0.5,0.605661002,0,1,1,1,0,1,1,1,1,0.25,0.25,0.25,77,0.666666667,1
SE,SWE,Sweden,2019,0.214,1.5,100,0.86,0.479318672,0.86,0,0,0,50,1,4,0.6012,1.489688,1.236960296,1,36,0.3,NA,0.3,25,3296.890966,0.597513703,36,0.5,0.480850799,0,0,1,0,0,0,1,1,0,0.3,0,0,81,0.666666667,1
SI,SVN,Slovenia,2019,0.19,0,50,0.869865254,0.391406013,0.737888703,0.5,0,0,74,1,8,0.6105,4.842731,1.267794783,1,90,0,NA,0.25,22,83256.73714,0.583747032,69,1,0.344102633,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,59,0.333333333,0.5
SK,SVK,Slovak Republic,2019,0.21,0,4,0.873879108,0.652728119,0.869865254,0.5,1,1,46,1,6,0.3505,3.35728,1.105196249,1,62,0,NA,0.07,20,100763.365,0.49547064,84,0.5,0.275470198,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,70,0.666666667,1
TR,TUR,Turkey,2019,0.22,0,5,0.876323174,0.479318672,0.632327782,0.5,1,1,24,1,8,0.455,3.008828,1.18922801,1,71,0,NA,0.175,18,0,0.400067337,75,0.5,0.203411292,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,85,1,0.5
US,USA,United States,2019,0.25886141,0,80,1,0.349583112,0.632751339,1,0,1,87,2.4,4.6,0.46,9.317343,1.246304808,3.6,55,0.238,NA,0.29275433,7.4,0,0.4,33,0.5,2.035374072,0,1,1,1,0,1,1,0,0,0.3,0.3,0.3,65,0.333333333,1
