ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,minimum_tax
IE,IRL,Ireland,2020,0.125,1,100,0.787075165,0.479318672,0.646263719,0.5,0,1,0.26,0,1,0,0,0.52,1.325477,1.588106973,0,0,0.33,0.51,23,94185.96328,0.486680729,0.5,0.41213806,0,1,1,0,0,1,0,1,1,0.25,0.2,0.2,73,0.333333333,0,0
IL,ISR,Israel,2020,0.23,0,100,0.901030024,0.478865241,0.83537089,0.5,0,1,-0.01,0,0,0,0.529108,0.5,4.166414,1.699779488,0,0,0.28,0.33,17,27256.83774,0.637912621,0.5,0.325745115,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,58,0.333333333,0,0
IS,ISL,Iceland,2020,0.2,0,10,0.86,0.602353619,0.81226935,0.5,0,0,0.24,0,1,0,1.476185,0.4624,1.28079,1.273014079,0,3.453855,0.22,0.22,24,14635.03469,0.540012456,0,0.008884243,0,1,0,1,0,0,1,1,0,0.2,0.12,0.2,45,0.666666667,1,0
IT,ITA,Italy,2020,0.2781,0,80,0.869865254,0.57666938,0.965116279,1,1,1,0.07,1,1,0,1.727738,0.52765573,2.654326,1.254713944,0,0,0.26,0.26,22,96898.21364,0.383801951,0,0.661618518,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,100,0.666666667,1,0
JP,JPN,Japan,2020,0.2974,0.5,5,0.85902866,0.278958449,0.787075165,0.5,0,0,0.0875,0,1,1,0.06797,0.56077165,8.469835,1.065286655,1,0,0.204,0.2032,10,98547.46166,0.718655657,0.5,0.007215775,0,1,1,1,1,0,0.95,0,0,0.2,0.2,0.2,71,0.333333333,1,0
KR,KOR,Korea,2020,0.275,0.5,9,0.921720532,0.547953911,0.737888703,1,0,1,0.1275,0,4,0,0,0.48608539,11.903192,1.338026526,1,0,0,0.4028,10,34875.04284,0.635991064,0,0.000319067,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,93,0.5,1,0
LT,LTU,Lithuania,2020,0.15,0,70,0.905263158,0.826923077,0.966194332,1,0,1,0.28,0,2,0,0,0.3898,8.833456,1.160962508,0,0,0.2,0.15,21,98948.72477,0.536256226,0.5,0.245539809,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,55,0.333333333,1,0
LU,LUX,Luxembourg,2020,0.2494,0,17,0.873417351,0.479318672,0.869865254,1,0,1,-0.01,0,1,1,0.047959,0.4718,3.526601,1.398281363,1,0,0,0.21,17,35513.17124,0.760636735,0.5,0.053721838,0,1,1,1,0,0,1,1,0,0.15,0,0,83,0.333333333,1,0
LV,LVA,Latvia,2020,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.318,4.904767,1.133295163,0,0,0.2,0,21,80850.71118,0.609897813,0.5,0.498710717,0,0,1,0,0,0,1,1,1,0,0,0,62,0.333333333,1,0
MX,MEX,Mexico,2020,0.3,0,10,0.795219525,0.630382676,0.795219525,0.5,0,0,0.055,0,0,0,0.237596,0.35,26.30794,1.179716997,0,2.105694,0.1,0.17142857,16,0,0.318592174,0.5,0.00479938,0,0,1,0,0,0,0,0,1,0.1,0.35,0.35,60,0.666666667,1,0
NL,NLD,Netherlands,2020,0.25,1,6,0.813463195,0.338474733,0.869865254,1,0,1,0.225,0,1,0,0,0.514818,1.364903,1.448809814,0,0,0.3,0.2625,21,25479.75188,0.512016685,0.5,0.602451891,0,1,1,1,0,0,1,1,0,0.15,0,0,97,0.333333333,1,0
NO,NOR,Norway,2020,0.22,2,100,0.781818182,0.373913043,0.737888703,0,0,0,0.22,0,0,0,0,0.464,1.574887,1.244086181,0,0,0.3168,0.3168,25,5034.849719,0.577145037,0.5,0.023891266,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.5,1,0
NZ,NZL,New Zealand,2020,0.28,1,100,0.731914894,0.307142857,0.547953911,0.5,0,0,0.18,0,0,0,1.014235,0.33,1.108116,1.404896639,0,0,0,0.06944444,15,41283.70298,0.967232505,0.5,0.813171431,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.333333333,0.5,0
PL,POL,Poland,2020,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,1,1,0.195,1,1,0,0,0.36,14.38716745,1.036523865,0,0,0.19,0.19,23,114294.6619,0.509035811,0.5,0.238581434,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,86,0.5,1,0
PT,PRT,Portugal,2020,0.315,0,9.6,0.888411247,0.547953911,0.547953911,0.5,1,1,0.35,0,4,0,0.199747,0.5817,16.243119,1.270896343,0,0,0.28,0.28,23,17640.07543,0.525312856,0.5,0.476897717,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.5,1,0
SE,SWE,Sweden,2020,0.214,0,100,0.86,0.479318672,0.86,0,0,0,0.05,0,0,0,0,0.5228,1.544646,1.221577442,0,-0.010615,0.3,0.3,25,3430.193616,0.583776928,0.5,0.037812814,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.666666667,1,0
SI,SVN,Slovenia,2020,0.19,0,63,0.869865254,0.391406013,0.737888703,0.5,0,0,0.19,0,1,0,0.005393,0.6105,4.700871,1.15014745,0,0,0,0.275,22,88413.5775,0.611222069,0,0.294681075,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,0,0.333333333,0.5,0
SK,SVK,Slovak Republic,2020,0.21,0,2.5,0.873879108,0.547953911,0.869865254,0.5,0,1,0.365,0,1,0,0.232734,0.3505,3.182854,1.107642169,0,0,0,0.07,20,98557.75892,0.51715492,0.5,0.261652466,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,70,0.833333333,1,0
TR,TUR,Turkey,2020,0.22,0,5,0.864149149,0.431068737,0.694414356,0.5,1,1,0.055,1,0,0,0,0.408,2.816393,1.166794548,0,0,0,0.2,18,0,0.400097412,0.5,0.020667438,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,86,0.666666667,0.5,0
US,USA,United States,2020,0.25766571,5,100,1,0.349583112,0.632751339,1,0,1,0.0675,0,2,0,0,0.46,9.23521,1.239444422,0,0,0.2887,0.28872019,7.4,0,0.352080657,0.5,1.579888607,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.333333333,1,1
