"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","turnover_tax_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2014,0.25,"0",75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,0,0.12,0,2,0,0.17980614229655,0,0.5,13.879673,1.09645361773845,0,0,0.25,0.25,20,34987.893314216,0.592377033703392,0,0.117337554354194,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5,0
"AU","AUS","Australia",2014,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1425,0,0,0,0,0,0.465,2.266751,1.43905821484179,0,0,0.2325,0.27142857,10,48730.6403375008,0.451234945719453,1,0.744876722152994,0,0,1,0,0,0,1,1,0,0,0.1,0.3,44,0.333333333333333,0.5,0
"BE","BEL","Belgium",2014,0.3399,"0",100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,1,0.155,0,3,1,0.00253147546193366,0,0.5839317,1.592011,1.20775753738468,0,0,0,0.25,21,6319.04976005039,0.472228833755445,0.5,0.683286814295638,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5,0
"CA","CAN","Canada",2014,0.26225272,"3",20,0.965116279069767,0.614285714285714,0.43,0.5,0,0,0.245,0,1,0,0.0794824106786648,0,0.495296,3.421462,1.24818605090435,0,0,0.2475,0.338414,15.6,23453.725818895,0.375507158225657,0.5,1.54969026526429,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,95,0.333333333333333,0.5,0
"CH","CHE","Switzerland",2014,0.21148581,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,0,-0.01,0,0,0,0.269826355566029,0,0.41752888,3.461304,1.37395503520181,0,0,0,0.21135,8,63826.8268100133,0.687148595173838,0.5,0.0652880508943644,1,1,1,1,1,1,1,1,0,0.35,0.35,0,89,0,0.5,0
"CL","CHL","Chile",2014,0.21,"100",100,0.705977756078566,0.42321653857669,0,0.5,0,0,0.295,0,1,0,0.151357318897607,0,0.4,10.379357,1.09656944261898,0,0,0.2,0.24050633,19,0,0.664812909781637,0.5,0.0009479134417863,0,1,0,1,0,0,0,0,1,0.14,0.35,0.3,25,0,0.5,0
"CO","COL","Colombia",2014,0.34,"0",100,0.737888702767901,0.547953910556565,0.869865253929667,0.5,0,0,0.31,0,5,1,0.0315282524256107,0,0.33,10.910447,0,0,1,0.1,0,16,0,0.462679063219835,0.5,0.00022961255796535,0,1,1,0,0,1,0,0,0,0.2,0.33,0.33,5,0,0.5,0
"CR","CRI","Costa Rica",2014,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,1,0,0,-0.02,0,3,0,0.210036165042066,0.0463414076497462,0.22310769,1.947543,1.07240552697699,0,0.856389497321302,0,0.15,13,0,0.459392991069972,0.5,0.00029978195889762,0,0,1,1,0,1,0,1,0,0.2,0.15,0.25,1,0,0,0
"CZ","CZE","Czech Republic",2014,0.19,"0",5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.175,0,0,0,0,0,0.15,3e-06,1.1494982455684,0,0,0,0.15,21,67707.9535587165,0.554411868102042,0.5,0.00469314784518068,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5,0
"DE","DEU","Germany",2014,0.2970721,"1",60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,0,1,0,0,0.47475,5.655649,1.09620397179002,1,0,0.25,0.26375,19,21297.5222109729,0.541000661800473,0.5,0.251687193602955,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,93,0.333333333333333,1,0
