"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2016,0.25,"0",75,0.813463195231154,0.338474732816403,0.737888702767901,1,0,0,0.12,0,2,0,0.391851,0.55,24.310926,1.0870029378926,0,0,0.275,0.275,20,36585.3658536585,0.589963472682976,0,0.121515922887211,0,0,1,1,0,0,1,1,0,0.275,0,0.2,86,0,0.5,0
"AU","AUS","Australia",2016,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1425,0,1,0,0,0.49,2.194088,1.45666927578124,0,0,0.245,0.27142857,10,50335.5704697987,0.473442624068506,1,0.65009387354164,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5,0
"BE","BEL","Belgium",2016,0.3399,"0",100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,1,0.155,0,3,1,0.014619,0.60533822,1.046325,1.21683582532099,0,0,0,0.27,21,30487.8048780488,0.464082552315409,0.5,0.745417114891105,0,1,1,1,0,1,0.95,0.987878788,0,0.27,0.27,0.27,93,0,0.5,0
"CA","CAN","Canada",2016,0.26686924,"3",20,0.965116279069767,0.614285714285714,0.43,0.5,0,0,0.2125,0,1,0,0.3331,0.535296,3.374233,1.23699499646999,0,0,0.2475,0.39343524,10.6,24000,0.369094919139386,0.5,1.35975446955951,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,95,0.333333333333333,0.5,0
"CH","CHE","Switzerland",2016,0.21148581,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,0,-0.01,0,0,0,1.174687,0.41729972,3.371824,1.33650183664244,0,0,0,0.21135,8,78125,0.684784595507014,0.5,0.0657079503510403,1,1,1,1,1,1,1,1,0,0.35,0.35,0,91,0,0.5,0
"CL","CHL","Chile",2016,0.24,"100",100,0.705977756078566,0.42321653857669,0,0.5,0,0,0.295,0,0,0,0.890607,0.4,9.754696,1.09267151823827,0,0,0.4,0.21052632,19,0,0.651358617151269,0.5,0.00067531324776915,0,1,0,1,0,0,0,0,1,0.11,0.35,0.3,25,0.666666666666667,0.5,0
"CO","COL","Colombia",2016,0.4,"0",100,0.737888702767901,0.547953910556565,0.869865253929667,0.5,0,0,0.38,0,5,1,0.169886,0.33,11.492163,0,0,1.797831,0.1,0,16,0,0.422509423949585,0.5,0.00023712192908877,1,1,1,0,0,1,0,0,0,0.2,0.33,0.33,9,0,0.5,0
"CR","CRI","Costa Rica",2016,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,0.5,0,0,-0.02,0,3,0,0.600665,0.23107123,2.026157,1.07248856743288,0,6.498398,0,0.15,13,0,0.442089415647467,0.5,0.00031938059667471,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,1,0,0,0
"CZ","CZE","Czech Republic",2016,0.19,"0",5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,0,0,0,0.15,3e-06,1.13960448042804,0,0,0,0.15,21,75872.5341426404,0.569057447595794,0.5,0.00437825059118558,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,86,0,0.5,0
"DE","DEU","Germany",2016,0.29818844,"1",60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,0,1,0,0.47475,5.504366,1.09659736453006,1,0,0.26375,0.26375,19,22151.8987341772,0.539349202284178,0.5,0.261472275032206,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,93,0.333333333333333,1,0
"DK","DNK","Denmark",2016,0.22,"0",60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,0,0,2.795232,0.55794,1.249225,1.22316299719042,0,0,0.42,0.42,25,6666.66666666667,0.559685466281436,0.5,0.127154776970473,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.666666666666667,0.5,0
"EE","EST","Estonia",2016,0.2,"100",100,1,1,1,1,1,0,0,0,0,0,0,0.2,0.147724,1.05597333193948,0,0,0.2,0,20,28571.4285714286,0.683809813976812,1,0.196724184451783,0,0,0,0,0,0,1,0,1,0,0,0.1,56,0,0,0
"ES","ESP","Spain",2016,0.25,"0",25,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.305,0,1,0,0,0.45,2.449093,1.10695352184893,0,0,0.23,0.23,21,0,0.404376714977857,0.5,0.721736805903959,1,1,1,0,1,0,1,1,1,0.19,0.19,0.19,92,0.333333333333333,1,0
