"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","gross_receipts_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2024,0.23,"0",75,0.884365027341364,0.855181259045101,0.737888702767901,1,0,0,0.17,1,3,0,0.0818553632993372,0.00623713389254558,0.55,18.081621,1.12555944354326,0,0,0.275,0.275,20,49295.7746478873,0.622739016884817,0,0.104001531077631,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.5,1,0.5
"AU","AUS","Australia",2024,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1525,0,3,0,0,0,0.47,1.73421,1.35234748522557,0,0,0.235,0.24285714,10,53956.8345323741,0.489296601398007,1,0.659328805869646,0,0,1,1,0,0,1,1,0,0,0.1,0.3,46,0.333333333333333,1,0.5
"BE","BEL","Belgium",2024,0.25,"0",70,0.869865253929667,0.547953910556565,0.869865253929667,1,0,1,0.155,0,2,0,0.00364874441857136,0,0.60042399,1.03031,1.27883880085416,0,0,0,0.3,21,35714.2857142857,0.445567618505983,0.5,0.658056983850305,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.5,1,0.5
"CA","CAN","Canada",2024,0.2599,"3",20,0.967391304347826,0.625,0.518965517241379,0.5,0,0,0.2125,1,2,0,0.0825351666079985,0,0.535296,2.728347,1.21309712797424,0,0,0.267,0.39343524,12.4,25641.0256410256,0.530835746475894,0.5,1.21072823849487,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,96,0.333333333333333,1,0.5
"CH","CHE","Switzerland",2024,0.19608138,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,0,1,0,0.255221627928332,0,0.4141,3.10415,1.33286560531004,0,0,0,0.22155,8.1,103092.783505155,0.684028208561218,0.5,0.0840177665951218,1,1,1,1,1,1,1,1,0,0.35,0.35,0,109,0,0.5,0
"CL","CHL","Chile",2024,0.27,"0",100,0.705977756078566,0.42321653857669,0,0.5,0,0,0.275,0,0,0,0.285867187766171,0,0.39999999,19.294607,1.08897510378382,0,0,0.4,0.2390411,19,0,0.712169309327543,0.5,0.0006764071333531,0,1,0,1,0,0,0,0,1,0.1745,0.35,0.3,37,0.333333333333333,0.5,0
"CO","COL","Colombia",2024,0.35,"0",12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.0725,1,3,0,0.0298292112194595,0,0.39000005,52.319361,0,0,1,0.15,0.2,19,0,0.402735494405245,0.5,0.00012789268306691,1,1,1,0,1,1,0.5,0.5,0,0.2,0.2,0.2,13,0.666666666666667,0.5,0.5
"CR","CRI","Costa Rica",2024,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,0.5,0,0,-0.02,0,5,0,0.316327157197282,0.0202596183588792,0.32926154,6.300921,1.06585242117366,0,0.894833320585218,0.15,0.15,13,0,0.503155538891516,0.5,0.00040423029170697,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,4,0,1,0
"CZ","CZE","Czech Republic",2024,0.21,"2",5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,1,0,0,0,0.346,2.872461,1.11422488360181,0,0,0,0.23,21,159362.549800797,0.59899187415809,0.5,0.0040533966112949,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,97,0.333333333333333,1,0.5
"DE","DEU","Germany",2024,0.30133026,"2",70,0.804165408852152,0.391406012913837,0.869865253929667,1,0,0,0.205,0,1,1,0,0,0.47475,4.6366,1.13469413033554,1,0,0.26375,0.26375,19,31428.5714285714,0.57675201940192,0.5,0.225754466344838,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.333333333333333,1,1
