"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"HU","HUN","Hungary",2021,0.09,0,2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.18,1,35,2,7,0.15,0,1,2,146,0.15,NA,0.15,27,82384.1506350256,0.592490539010137,96,0.5,0.253699108267188,0,1,1,1,0,0,1,1,0,0,0,0,81,0.333333333333333,1
"IE","IRL","Ireland",2021,0.125,1,100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,1,0.2675,0,12,1,7,0.48,1.500361,1.47660463552692,1,40.5,0.33,NA,0.51,23,91909.7372852069,0.506399989817186,29,0.5,0.321212107368452,0,1,1,0,0,1,0,1,1,0.25,0.2,0.2,73,0.333333333333333,0
"IL","ISR","Israel",2021,0.23,0,100,0.869865253929667,0.391406012913837,0.787075165170195,0.5,0,1,0,0,110,2,3,0.5,4.147874,1.70216426743244,1,60,0.28,NA,0.33,17,27262.7756533818,0.61658018246661,64,0.5,1.16440447442594,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,58,0.333333333333333,0
"IS","ISL","Iceland",2021,0.2,0,10,0.86,0.602353618717047,0.812269350072009,0.5,0,0,0.36,0,40,1,7,0.4624,1.278608,1.31635478674063,13,60,0.22,NA,0.22,24,13878.3868051848,0.522742409894679,40,0,0.979775068767254,0,1,0,1,0,0,1,1,0,0.2,0.12,0.2,45,0.666666666666667,1
"IT","ITA","Italy",2021,0.2781,0,80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,1,0.11,1,39,2,11,0.4723,2.75398,1.26767198841298,1,169,0.26,NA,0.26,22,97157.9070094198,0.391551970539326,30,0,0.55511604322031,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,100,0.666666666666667,1
"JP","JPN","Japan",2021,0.2974,0.5,5,0.769602272727273,0.278958448750364,0.787075165170195,0.5,0,0,0.0875,0,38,3,13,0.55945,8.40772,1.14869843624805,3,70.5,0.2032,NA,0.2032,10,96700.5052678761,0.773719540013784,20,0.5,0.800072506146471,0,1,1,1,1,0,0.95,0,0,0.2042,0.2042,0.2042,70,0.333333333333333,1
"KR","KOR","Korea",2021,0.275,0.5,9,0.921720532319392,0.547953910556565,0.737888702767901,1,0,1,0.1275,0,75,2,8,0.46200001,11.923785,1.23670357452847,2,80,0,NA,0.4395,10,34519.8992945455,0.697104007656658,19,0,0.375904858586181,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,93,0.5,1
"LT","LTU","Lithuania",2021,0.15,0,70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,0,18,1,8,0.32,6.348539,1.19111052229866,1,34,0.2,NA,0.15,21,99945.5851814012,0.540954806565893,43,0.5,0.20433810541487,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,54,0.333333333333333,1
"LU","LUX","Luxembourg",2021,0.2494,0,17,0.870869546099498,0.479318672008477,0.869865253929667,1,0,1,-0.01,0,19,5,6,0.4578,3.708243,1.3844659239518,12,14,0,NA,0.21,17,34715.2309604316,0.885681766395176,22,0.5,0.0445320304050524,0,1,1,1,0,0,1,1,0,0.15,0,0,83,0.333333333333333,1
"LV","LVA","Latvia",2021,0.2,100,100,1,1,1,1,1,0,0,0,22.5,1,5,0.314,7.7e-05,1.12931755795855,1,80,0.2,NA,0,21,81311.7206779771,0.590639260441608,66,0.5,0.410457661768359,0,0,1,0,0,0,1,1,1,0,0,0,62,0.333333333333333,1
