"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2023,0.24,"0",75,0.884365027341364,0.855181259045101,0.737888702767901,1,0,0,0.17,1,2,0,0.32292,0.55,19.290971,1.14377370796562,0,0,0.275,0.275,20,47945.2054794521,0.593050184410074,0,0.117172686369554,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.666666666666667,1,0
"AU","AUS","Australia",2023,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,0.1525,0,2,0,0,0.47,1.807861,1.49320054008415,0,0,0.235,0.24285714,10,52816.9014084507,0.47665726157202,1,0.663331108194848,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,46,0.333333333333333,1,0
"BE","BEL","Belgium",2023,0.25,"0",40,0.869865253929667,0.547953910556565,0.869865253929667,1,1,1,0.155,0,1,0,0.014959,0.60172143,1.014585,1.29370352891858,0,0,0,0.3,21,33783.7837837838,0.482153100855243,0.5,0.702147881711338,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.833333333333333,1,0
"CA","CAN","Canada",2023,0.26015751,"3",20,1,0.635714285714286,0.518965517241379,0.5,0,0,0.2125,0,1,0,0.413397,0.535296,2.70373,1.21421446654922,0,0,0.2676,0.39344076,12.4,24390.243902439,0.530473288861722,0.5,1.23989022323206,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,96,0.333333333333333,0.5,0
"CH","CHE","Switzerland",2023,0.19653352,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,0,0,0,1.843327,0.4154,3.083848,1.3435952227803,0,0,0,0.2222,7.7,95238.0952380952,0.697054631584941,0.5,0.0862833075118036,1,1,1,1,1,1,1,1,0,0.35,0.35,0,108,0,0.5,0
"CL","CHL","Chile",2023,0.27,"0",100,0.705977756078566,0.42321653857669,0,0.5,0,0,0.275,0,0,0,2.310024,0.39999998,19.529906,1.09000585097161,0,0,0.4,0.2390411,19,0,0.744636959890676,0.5,0.00072916441035017,0,1,0,1,0,0,0,0,1,0.1745,0.35,0.3,36,0.5,0.5,0
"CO","COL","Colombia",2023,0.35,"0",12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.4575,0,3,0,0.247782,0.38999999,51.021979,0,0,1.81732,0.15,0.2,19,0,0.372064556319859,0.5,0.00014731248291055,1,1,1,0,1,1,0,0,0,0.2,0.2,0.2,13,0.666666666666667,0.5,0
"CR","CRI","Costa Rica",2023,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,0.5,0,0,-0.02,0,5,0,1.166702,0.32926154,6.482258,1.06112271152736,0,7.976239,0.15,0.15,13,0,0.520307069596301,0.5,0.00041783860846094,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,4,0,1,0
"CZ","CZE","Czech Republic",2023,0.19,"2",5,0.972093023255814,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,0,0,0,0.275,3.733828,1.12460601675097,0,0,0,0.23,21,155038.759689922,0.575525430939209,0.5,0.00432171983240882,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,97,0.333333333333333,1,0
"DE","DEU","Germany",2023,0.30058462,"2",60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,0.205,0,0,1,0,0.47475,4.867634,1.12745365431779,1,0,0.26375,0.26375,19,30136.9863013699,0.57202770603797,0.5,0.250505577232732,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.333333333333333,1,0
"DK","DNK","Denmark",2023,0.22,"0",60,0.826923076923077,0.391406012913837,0.81340644290143,0,0,0,0.065,0,0,0,2.533929,0.559044,1.26301,1.29130812446551,0,0,0.42,0.42,25,7812.5,0.629725526165445,0.5,0.117368224926773,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,76,0.666666666666667,1,0
"EE","EST","Estonia",2023,0.2,"100",100,1,1,1,1,1,0,0,0,1,0,0,0.2,0.353528,1.14775856386714,0,0,0.2,0,20,68965.5172413793,0.747993463025955,1,0.125221595742781,0,0,0,0,0,0,1,1,1,0,0,0.1,62,0.333333333333333,1,0
"ES","ESP","Spain",2023,0.25,"0",25,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,1,2,0,0,0.485718,10.098512,1.22675546111485,0,0,0.28,0.28,21,0,0.457578336198572,0.5,0.705459565213903,1,1,1,0,1,1,0.95,0.95,1,0.19,0.19,0.24,95,0.333333333333333,1,0
"FI","FIN","Finland",2023,0.2,"0",10,0.934782608695652,0.518965517241379,0.737888702767901,0,0,0,0.005,0,0,0,0,0.57996802,1.817355,1.32317455109398,0,0,0.34,0.289,24,18518.5185185185,0.600494245699063,0.5,0.437728993098655,0,1,1,0,0,1,1,1,1,0.2,0,0.2,77,0.5,1,0
"FR","FRA","France",2023,0.25825,"1",50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.3425,1,1,1,0.639232,0.55572,13.572959,1.28331240600088,0,0,0.34,0.34,20,131285.714285714,0.52288483778388,0.5,1.21116644067327,0.5,1,1,1,0,1,0.95,0.88,1,0.25,0,0.25,122,0.666666666666667,1,0
"GB","GBR","United Kingdom",2023,0.25,"1",50,1,0.391406012913837,0.826923076923077,0,0,1,0.195,1,2,0,0,0.47,2.550807,1.36512968001758,0,0,0.2,0.3935,20,125000,0.458417408850543,0.5,2.430005789654,0,1,1,1,0,1,1,1,0,0,0.2,0.2,130,0.5,1,0
"GR","GRC","Greece",2023,0.22,"0",5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,0,0.23,0,0,0,0.380876,0.534898,1.930357,1.29777272123133,0,0,0,0.05,24,18867.9245283019,0.418395717327049,0.5,1.34274198745189,0,1,1,1,1,1,1,1,1,0.05,0.15,0.2,57,0.333333333333333,1,0
"HU","HUN","Hungary",2023,0.09,"0",2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.1525,0,1,0,0,0.335,0,1,0,0.053912,0.15,0.15,27,73170.7317073171,0.610704406787805,0.5,0.00085394052240201,0,1,1,1,0,1,1,1,0,0,0,0,84,0.333333333333333,1,0
"IE","IRL","Ireland",2023,0.125,"1",100,0.787075165170195,0.479318672008477,0.646263719038607,0,0,1,0.245,0,1,0,0,0.52,1.259317,1.44438293161309,0,0,0.33,0.51,23,96153.8461538462,0.509019129521339,0.5,0.258487225631027,0,1,1,0,0,1,0,1,1,0.25,0.2,0.2,74,0.333333333333333,1,0
"IL","ISR","Israel",2023,0.23,"0",100,0.901030024355631,0.478865241362287,0.835370889649727,0.5,0,1,-0.01,0,0,0,0.837187,0.5,3.6639,1.74325363481153,0,0,0.28,0.33,17,29027.4932614555,0.698896124641235,0.5,0.363561534644606,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,60,0.333333333333333,0,0
"IS","ISL","Iceland",2023,0.2,"0",10,0.86,0.602353618717047,0.812269350072009,0.5,0,0,0.36,0,1,0,1.148219,0.4625,1.282322,1.315148770664,0,2.923986,0.22,0.22,24,13986.013986014,0.493930999166456,0,0.0102409929958415,0,1,1,1,0,0,1,1,0,0.2,0.12,0.2,46,0.666666666666667,1,0
"IT","ITA","Italy",2023,0.2781,"0",80,0.869865253929667,0.576669379707147,0.965116279069767,1,1,0,0.2,1,1,0,1.881132,0.52765573,1.612097,1.31418807275629,0,0,0.26,0.26,22,134920.634920635,0.430105419769842,0,0.725639815318608,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,101,0.5,1,0
"JP","JPN","Japan",2023,0.2974,"0.5",5,0.859028659709284,0.278958448750364,0.787075165170195,0.5,0,0,0.0875,0,1,1,0.071594,0.56165275,8.289439,1.08965558212861,1,0,0.20315,0.2032,10,102459.016393443,0.716414141999584,0.5,0.00735508453892128,0,1,1,1,1,0,0.95,0,0,0.2042,0.2042,0.2042,76,0.5,1,0
"KR","KOR","Korea",2023,0.264,"0.5",12,0.921720532319392,0.547953910556565,0.813463195231154,1,0,1,0.145,0,4,0,0,0.51974062,20.074675,1.28200184186276,1,0,0,0.4395,10,57692.3076923077,0.666323108549769,0,0.00044417414745695,0,1,1,0,1,1,0.95,0,1,0.22,0.22,0.22,94,0.5,1,0
"LT","LTU","Lithuania",2023,0.15,"0",70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,0,2,0,0,0.3898,4.246472,1.16643371093485,0,0,0.2,0.15,21,91836.7346938776,0.60134211875278,0.5,0.257242758852876,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,58,0.333333333333333,1,0
"LU","LUX","Luxembourg",2023,0.2494,"0",17,0.873417350634541,0.479318672008477,0.869865253929667,1,0,1,-0.01,0,1,1,0.040107,0.4718,2.972912,1.40603191840911,1,0,0,0.21,16,41666.6666666667,0.859822126284055,0.5,0.0541173949192363,0,1,1,1,0,0,1,1,0,0.15,0,0,84,0.333333333333333,1,0
"LV","LVA","Latvia",2023,0.2,"100",100,1,1,1,1,1,0,0,0,0,0,0,0.314,4.245488,1.15791427642582,0,0,0.2,0,21,76923.0769230769,0.62441269750364,0.5,0.483927398517445,0,0,1,0,0,0,1,1,1,0,0,0,63,0.333333333333333,1,0
"MX","MEX","Mexico",2023,0.3,"0",10,0.795219524916135,0.630382676079967,0.795219524916135,0.5,0,0,0.055,0,0,0,0.245997,0.35,23.60615,1.17405120821698,0,2.293648,0.1,0.17142857,16,0,0.348431233563278,0.5,0.00536720823136462,0,0,1,0,0,0,0,0,0,0.1,0.35,0.35,60,0.666666666666667,1,0
"NL","NLD","Netherlands",2023,0.258,"0.5",50,0.813463195231154,0.338474732816403,0.869865253929667,1,0,1,0.2275,0,1,0,0,0.52727789,1.232149,1.45124433849209,0,0,0.32,0.269,21,26315.7894736842,0.575230369208182,0.5,0.623690696619013,0,1,1,1,0,0,1,1,0,0.15,0,0,97,0.333333333333333,1,0
"NO","NOR","Norway",2023,0.22,"0",100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,0,0.22,0,0,0,0,0.474,2.061817,1.29796107001384,0,0,0.378,0.3784,25,5630.63063063063,0.554537195021928,0.5,0.0230931530028445,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.5,1,0
"NZ","NZL","New Zealand",2023,0.28,"0",100,0.731914893617021,0.307142857142857,0.547953910556565,0.5,0,0,0.18,0,0,0,0.672605,0.39,2.368395,1.38884716803085,0,0,0,0.15277778,15,41095.8904109589,1.00349991627972,0.5,0.901918685098944,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.333333333333333,0.5,0
"PL","POL","Poland",2023,0.19,"0",2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,1,1,0.32,1,1,0,0,0.4543866,1.659162,1.13688208806502,0,0,0.19,0.19,23,105820.105820106,0.552824391454868,0.5,0.231976770122106,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,88,0.5,1,0
"PT","PRT","Portugal",2023,0.315,"0",65,0.888411247396436,0.547953910556565,0.547953910556565,0.5,1,1,0.35,1,5,0,0.162682,0.5817,13.064419,1.24601230259505,0,0,0.28,0.28,23,24107.1428571429,0.531144518549597,0.5,0.483962052461752,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.5,1,0
"SE","SWE","Sweden",2023,0.206,"0",100,0.86,0.479318672008477,0.86,0,0,0,0.105,0,0,0,0,0.5224,1.188518,1.22155470877004,0,-0.012363,0.3,0.3,25,9142.85714285714,0.597998016580717,0.5,0.040441641258796,0,0,1,1,0,0,1,1,0,0.3,0,0,83,0.666666666666667,1,0
"SI","SVN","Slovenia",2023,0.19,"0",63,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,0,0.19,0,0,0,0.005165,0.6105,3.921356,1.15911354227844,0,0,0,0.25,22,89285.7142857143,0.584358129160329,0,0.336265010325057,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,60,0.333333333333333,0.5,0
"SK","SVK","Slovak Republic",2023,0.21,"0",2.5,0.873879108036537,0.547953910556565,0.869865253929667,0.5,0,1,0.25,0,1,0,0.284258,0.3505,2.776287,1.12840101460349,0,0,0,0.07,20,92203.7037037037,0.522261188653012,0.5,0.32698517122565,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,71,0.5,1,0
"TR","TUR","Turkey",2023,0.25,"0",5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,1,1,0.055,1,0,0,0,0.408,6.62478,1.26341545781337,0,0,0,0.2,20,0,0.480433897099869,0.5,0.0149948089139293,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,88,0.666666666666667,0.5,0
"US","USA","United States",2023,0.25767935,"0",80,0.975385093212036,0.34958311169213,0.632751338890881,1,0,1,0.0275,0,2,0,0,0.458,8.7403,1.23756706706397,0,0,0.2887,0.2887222,7.5,0,0.37202852095014,0.5,1.72483615432331,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.333333333333333,1,1
