ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,turnover_tax_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,minimum_tax
AT,AUT,Austria,2025,0.23,0,75,0.884365027,0.408845614,0.737888703,1,0,0,0.17,1,3,0,0.07846634,0.006575477,0.55,17.439889,1.133561668,0,0,0.275,0.275,20,75017.4245,0.617449493,0,0.10900891,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.5,1,1
AU,AUS,Australia,2025,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1525,0,3,0,0,0,0.47,1.74835,1.332921124,0,0,0.235,0.24285714,10,54350.3073,0.470727105,1,0.687916318,0,0,1,1,0,0,1,1,0,0,0.1,0.3,48,0.333333333,1,1
BE,BEL,Belgium,2025,0.25,0,70,0.869865254,0.547953911,0.869865254,1,0,1,0.155,0,2,0,0.004748652,0,0.60042399,1.02899,1.284025635,0,0,0,0.3,21,34879.95714,0.429945797,0.5,0.754824619,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.5,1,1
CA,CAN,Canada,2025,0.26,3,20,1,0.635714286,1,0.5,0,0,0.2125,0,2,0,0.08343269,0,0.535296,2.754178,1.228380409,0,0,0.2675,0.39343524,12.3,26420.40501,0.53747971,0.5,1.169960201,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,96,0.333333333,1,1
CH,CHE,Switzerland,2025,0.19607821,0,7,0.86,0.55483871,0.905263158,1,0,1,-0.01,0,1,0,0.239144532,0,0.4141,3.08328,1.361166596,0,0,0,0.22155,8.1,102786.6488,0.676994718,0.5,0.087604223,1,1,1,1,1,1,1,1,0,0.35,0.35,0,110,0,0.5,0.5
CL,CHL,Chile,2025,0.27,0,100,0.705977756,0.423216539,0,0.5,0,0,0.275,0,1,0,0.020104084,0,0.39999999,18.576002,1.087736562,0,0,0.4,0.2390411,19,0,0.671094875,0.5,0.000814761,0,1,0,1,0,0,0,0,1,0.1745,0.35,0.3,37,0.333333333,0.5,0
CO,COL,Colombia,2025,0.35,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.0725,1,3,0,0.021136548,0,0.38999999,51.543977,0,0,1,0.15,0.2,19,0,0.385309898,0.5,0.000135662,1,1,1,0,1,1,0.5,0.5,0,0.2,0.2,0.2,14,0.666666667,0.5,0.5
CR,CRI,Costa Rica,2025,0.3,0,3,0.822456691,0.278958449,0.737888703,0.5,0,0,-0.02,0,5,0,0.314345873,0.020711623,0.32926154,5.965382,1.06389559,0,0.89730408,0.15,0.15,13,0,0.501358787,0.5,0.000489845,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,4,0,1,0
CZ,CZE,Czech Republic,2025,0.21,2,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.205,0,1,0,0,0,0.346,2.866303,1.105562844,0,0,0.23,0.23,21,154336.457,0.599490405,0.5,0.004086938,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,98,0.333333333,1,1
DE,DEU,Germany,2025,0.30133026,2,70,0.876514043,0.391406013,0.869865254,1,0,0,0.2625,0,1,1,0,0,0.47475,4.424168,1.061972693,1,0,0.26375,0.26375,19,35060.90078,0.542266003,0.5,0.232467658,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.333333333,1,1
DK,DNK,Denmark,2025,0.22,0,60,0.826923077,0.391406013,0.813406443,0,0,0,0.01,1,1,0,0.123145253,0,0.559044,1.238198,1.216867907,0,0,0.42,0.42,25,8025.575261,0.628247525,0.5,0.104225258,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,77,0.666666667,1,1
EE,EST,Estonia,2025,0.22,100,100,1,1,1,1,1,0,0.04,0,0,0,0,0,0.22,0.311485,1.241653177,0,0,0.22,0,24,68524.5969,0.698596746,1,0.10368341,0,0,0,0,0,0,1,1,1,0,0,0.1,63,0.5,1,0
ES,ESP,Spain,2025,0.25,0,25,0.778563039,0.391406013,0.737888703,0.5,0,1,0.295,1,6,0,0,0.007370399,0.48575712,9.358409,1.356996399,0,0,0.3,0.3,21,0,0.444506515,0.5,0.629750222,1,1,1,0,1,1,0.95,0.95,1,0.19,0.19,0.24,95,0.333333333,1,1
FI,FIN,Finland,2025,0.2,0,10,0.934782609,0.518965517,0.737888703,0,0,0,0.105,0,1,0,0,0,0.5689547,2.973185,1.282896229,0,0,0.34,0.289,25.5,26084.93777,0.56501336,0.5,0.419017164,0,1,1,0,0,1,1,1,1,0.2,0,0.2,77,0.5,1,1
