"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","turnover_tax_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2026,0.23,"0",75,0.884365027341364,0.408845614108812,0.737888702767901,1,0,0,0.17,1,3,0,0.137703386683613,0.00828224774965453,0.55,17.439889,1.15453721819946,0,0,0.275,0.275,20,75824.7318217099,0.603564622746134,0,0.110814492467081,0,0,1,1,0,0,1,1,0,0.275,0,0.2,88,0.333333333,1,1
"AU","AUS","Australia",2026,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1525,0,3,0,0,0,0.47,1.74835,1.34972055623569,0,0,0.235,0.24285714,10,53611.9055601265,0.44422763640992,1,0.664129787641667,0,0,1,1,0,0,1,1,0,0,0.1,0.3,45,0.333333333,1,1
"BE","BEL","Belgium",2026,0.25,"0",70,0.869865253929667,0.547953910556565,0.869865253929667,1,0,1,0.155,0,2,0,0.00426495562118701,0,0.60042399,1.02899,1.28252017721,0,0,0.1,0.3,21,34725.019515461,0.415158549512485,0.5,0.750695722902646,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,93,0.333333333,1,1
"CA","CAN","Canada",2026,0.26,"3",20,1,0.635714285714286,1,0.5,0,0,0.2275,0,2,0,0.0919882057010933,0.00415171308440143,0.535296,2.754178,1.2315748859416,0,0,0.2675,0.39343524,12.3,25713.9257193256,0.522476433875871,0.5,1.15418883487327,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333,1,1
"CH","CHE","Switzerland",2026,0.19471871,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,0,1,0,0.239015249908505,0,0.4141,3.08328,1.33387534504238,0,0,0,0.22155,8.1,107440.69810668,0.652473298349884,0.5,0.091001042389341,1,1,1,1,1,1,1,1,0,0.35,0.35,0,110,0,0.5,0.5
"CL","CHL","Chile",2026,0.27,"0",100,0.705977756078566,0.42321653857669,0,0.5,0,0,0.275,0,1,0,0.18225180596104,0,0.39999999,18.576002,1.21255686479801,0,0,0.4,0.2390411,19,0,0.700577122234054,0.5,0.00072828922277317,0,1,0,1,0,0,0,0,0,0.1745,0.35,0.3,37,0.333333333,0.5,0
"CO","COL","Colombia",2026,0.35,"0",12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.0725,1,3,0,0,0,0.38999999,51.543977,0,0,1,0.15,0.2,19,0,0.357753917358615,0.5,0.00015805318615973,1,1,1,0,1,1,0.5,0.5,0,0.2,0.2,0.2,16,0.666666667,0.5,0.5
"CR","CRI","Costa Rica",2026,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,0.5,0,0,-0.02,0,5,0,0.341010519339172,0.0223878819634649,0.32926154,5.965382,1.0603142730766,0,0.906461830333642,0.15,0.15,13,0,0.514344726715476,0.5,0.00054314062408207,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,4,0,1,0
"CZ","CZE","Czech Republic",2026,0.21,"2",5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.205,0,1,0,0,0,0.346,2.866303,1.09887479629484,0,0,0,0.23,21,153923.079865376,0.576658785910196,0.5,0.00697213113542386,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,99,0.333333333,1,1
"DE","DEU","Germany",2026,0.30133026,"2",70,0.876514043282575,0.391406012913837,0.869865253929667,1,0,0,0.2625,0,1,1,0,0,0.47475,4.424168,1.04219974078438,1,0,0.26375,0.26375,19,35212.11071251,0.536208660331739,0.5,0.23924381560906,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.333333333,1,1
"DK","DNK","Denmark",2026,0.22,"0",60,0.826923076923077,0.391406012913837,0.81340644290143,0,0,0,0.01,1,1,0,0.266049773269366,0,0.559044,1.238198,1.22581057262843,0,0,0.42,0.42,25,8163.71047825302,0.634420089927825,0.5,0.08050501464689,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,75,0.666666667,1,1
"EE","EST","Estonia",2026,0.22,"100",100,1,1,1,1,1,0,0.04,0,0,0,0,0,0.22,0.311485,1.14351112795227,0,0,0.22,0,24,68428.1205361343,0.677157128387149,1,0.0982264907029669,0,0,0,0,0,0,1,1,1,0,0,0.1,62,0.333333333,1,0
"ES","ESP","Spain",2026,0.25,"0",25,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,1,6,0,0,0.00819346742969583,0.48575712,9.358409,1.1958031564124,0,0,0.3,0.3,21,0,0.449051206799674,0.5,0.628399127315214,1,1,1,0,1,1,0.95,0.95,1,0.19,0.19,0.24,93,0.333333333,1,1
"FI","FIN","Finland",2026,0.2,"0",10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,0.105,0,1,0,0,0,0.5689547,2.973185,1.34359856959288,0,0,0.34,0.289,25.5,26518.3407474194,0.575068502900253,0.5,0.450511325052314,0,1,1,0,0,1,1,1,1,0.2,0,0.2,77,0.666666667,1,1
"FR","FRA","France",2026,0.3613,"1",50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.3425,1,4,1,0.262086683100589,0.130118988339898,0.55572,12.941798,1.28266209297437,0,0,0.354,0.34,20,125439.406863454,0.491272947929073,0.5,1.1735301494711,0.5,1,1,1,0,1,0.95,0.88,1,0.25,0,0.25,121,0.666666667,1,1
