ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,Reform Scenario
LT,LTU,Lithuania,2014,7,79.81031052,3,87.44516223,5,93.79158968,33,36.27882147,6,77.93673004,23,64.28148455,
LT,LTU,Lithuania,2015,7,79.45357381,2,85.99855531,5,93.73665331,33,38.02973601,6,77.97120423,20,64.27710928,
LT,LTU,Lithuania,2016,7,79.20062693,2,86.81680993,6,91.38593054,34,37.29759876,6,77.73400716,20,67.81443132,
LT,LTU,Lithuania,2017,7,76.61444426,2,84.03056763,7,91.15530523,34,39.55584341,6,77.56148577,20,67.59470596,
LT,LTU,Lithuania,2018,7,77.9053586,3,83.91180634,7,90.16771649,33,43.38426677,6,76.08679628,19,67.47320227,
LT,LTU,Lithuania,2019,7,80.22830599,3,85.36086817,7,87.34992257,32,42.6457639,6,75.82723123,25,73.69884667,
LT,LTU,Lithuania,2020,8,77.52054851,3,84.97007127,11,77.84804012,32,43.14077026,7,75.68721929,24,73.9688976,
LT,LTU,Lithuania,2021,8,77.32078498,3,85.02282143,11,81.37997976,31,43.58519309,7,75.60531452,24,73.9582857,
LT,LTU,Lithuania,2022,8,76.93794647,3,85.26286109,11,81.95547158,31,42.50572562,7,75.62954102,24,73.78970635,Baseline scenario
LT,LTU,Lithuania,2022,11,75.16464,3,85.26286,13,74.87712,31,42.50573,7,75.62954,24,73.78971,PIT/capital changes
LT,LTU,Lithuania,2022,8,77.40966,3,86.95506,11,81.95547,31,42.50573,7,75.62954,24,73.78971,Depreciation changes
LT,LTU,Lithuania,2022,10,75.63622,3,86.95506,13,74.87712,31,42.50573,7,75.62954,24,73.78971,PIT/capital + depreciation changes
