"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","corprate","divrate","incrate","progressivity","taxwedge","ISO-2","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"Japan",2016,"JPN",0,7.2,1,0,1,87,3,13,23,1,0,1,1,0,1,0,0.204,"0",14,72.5,0.95,0,0.2042,0.2042,0.2042,62,0,0.5,0.2997,0.2032,0.55945,8.739852,1.14198214852227,"JP",0.769602272727273,0.278958448750364,0.787075165170195,8,94939.7132820659,0.7125070110352,1.20314055601556,0.666666666666667
"Korea",2016,"KOR",0.5,8,1,1,1,83,2,8,25,1,0,1,1,0,1,1,0,"1",2,80,0,0,0.22,0.22,0.22,85,1,0.5,0.242,0.35398,0.41799999,4.1235,1.2473294809564,"KR",0.921720532319392,0.547953910556565,0.737888702767901,10,26928.4712482468,0.696451079081173,0.424668216568401,0.666666666666667
"Latvia",2016,"LVA",0,100,0.5,0,1,28,1,5,66,0.5,0,0,1,0,0,0,0.15,"0",1,99,1,1,0,0,0,58,1,0.5,0.15,0.1,0.23,0.104819,1.03894267570866,"LV",0.905263157894737,0.614285714285714,0.869865253929667,21,98619.3293885602,0.55204813174365,0.518218730612681,0
"Lithuania",2016,"LTU",0,70,1,0,1,28,1,8,58,0.5,0,1,0,0,0,0,0.15,NA,2,85,1,1,0.15,0.1,0.1,53,1,0.5,0.15,0.15,0.15,0.231005,1.0581364450969,"LT",0.918446601941748,0.838302752293578,0.980369718309859,21,100671,0.506629640715944,0.247047777104198,0.333333333333333
"Luxembourg",2016,"LUX",0,100,1,1,1,19,5,6,22,1,0,1,1,1,0,0,0,"1",12,14,1,1,0.15,0,0,74,0,0.5,0.2922,0.2,0.436,2.932785,1.34592219602226,"LU",0.870869546099498,0.479318672008477,0.869865253929667,17,27777.7777777778,0.920716527656256,0.0628964597066956,0
"Mexico",2016,"MEX",0,10,1,0,1,102,1,3,100,0.5,0,1,1,0,0,0,0.1,"1",2,38.5,0,0,0.1,0.4,0.4,55,1,0.5,0.3,0.17142857,0.35,27.92276,1.25575786366679,"MX",0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.334129712488695,0.154674766413326,1
"Netherlands",2016,"NLD",1,9,1,1,0,22,1,7,34,0.5,0,1,1,0,0,0,0.3,"1",1,64,1,1,0.15,0,0,96,0,0,0.25,0.25,0.52,1.221825,1.32193547256796,"NL",0.965116279069767,0.338474732816403,0.737888702767901,21,1620.48192771084,0.514299988155268,0.665984974653641,0
"New Zealand",2016,"NZL",0,100,0.5,0,1,34,1,5,59,0,0,0,0,0,0,0,0,"1",2,59,1,1,0.3,0.15,0.15,39,0,0.5,0.28,0.06944444,0.33,1.247558,1.50905347658731,"NZ",0.731914893617021,0.307142857142857,0.737888702767901,15,40816.3265306122,0.95224411225627,1.65271786143908,0.333333333333333
"Norway",2016,"NOR",0,100,0,0,1,24,1,2,44,1,1,0,1,1,0,0,0.288,"0",1,15,0.97,0.97,0.25,0,0,87,1,1,0.25,0.2875,0.39,1.587811,1.28696507680259,"NO",0.781818181818182,0.373913043478261,0.737888702767901,25,5102.04081632653,0.565921326183334,0.236457831118424,0.666666666666667
"Poland",2016,"POL",0,2.5,1,0,1,70,1,4,96,1,0,1,1,1,1,1,0.19,"0",2,103,1,0,0.19,0.2,0.2,84,1,1,0.19,0.19,0.32,2.181915,1.03968166817908,"PL",0.737888702767901,0.338474732816403,0.869865253929667,23,83333.3333333333,0.441385620326629,1.21259987956723,0.666666666666667
"Portugal",2016,"PRT",0,8.4,0.5,0,1,63,1,6,96,0.5,0,1,1,1,0,1,0.28,"1",1,116,1,1,0.25,0.25,0.25,64,1,1,0.295,0.28,0.565,16.129828,1.29717344698076,"PT",0.888411247396436,0.547953910556565,0.737888702767901,23,16949.1525423729,0.492153165545173,0.514920785409815,0.666666666666667
"Slovak Republic",2016,"SVK",0,4,0.5,0,1,42,1,9,84,0.5,0,0,0,1,0,0,0,"0",1,62,1,0,0,0.19,0.19,66,1,1,0.22,0,0.25,3.793434,1.11940701502723,"SK",0.873879108036537,0.652728119257913,0.869865253929667,20,99580,0.495470639649474,0.270502227677042,0
"Slovenia",2016,"SVN",0,50,0.5,0,0,74,1,8,69,1,0,1,1,1,0,0,0,"1",1,90,0.95,0.475,0.15,0.15,0.15,57,1,0.5,0.17,0.25,0.5,5.265523,1.19592515487121,"SI",0.869865253929667,0.391406012913837,0.737888702767901,22,83333.3333333333,0.583747031500922,0.29866241588149,0
"Spain",2016,"ESP",0,60,0.5,1,1,33,1,7,35,1,1,1,1,0,1,0,0.23,"0",1,90,1,1,0.19,0.19,0.19,92,1,1,0.25,0.23,0.45,2.445619,1.12650205184082,"ES",0.778563038959402,0.391406012913837,0.737888702767901,21,0,0.430877668728623,0.671372899312731,0.333333333333333
"Sweden",2016,"SWE",1.5,100,0,0,0,50,1,4,36,0.5,0,0,1,0,0,0,0.3,"0",1,36,1,1,0.3,0,0,81,0,0.5,0.22,0.3,0.5699,1.519275,1.24123188281099,"SE",0.86,0.479318672008477,0.86,25,0,0.597513703470289,0.526298725060529,0.666666666666667
"Switzerland",2016,"CHE",0,7,1,0,0,15,2,10,8,1,1,1,1,1,1,1,0,"1",7,40,1,1,0.35,0.35,0,91,0,0.5,0.21148581,0.21135,0.4167,3.473161,1.33365541819148,"CH",0.86,0.554838709677419,0.905263157894737,8,78125,0.682580340126438,0.0897070271309894,0
"Turkey",2016,"TUR",0,5,0.5,1,1,49,1,8,97,0.5,0,1,1,0,1,1,0,"1",1,80,1,1,0.15,0.1,0.2,81,0,0.5,0.2,0.175,0.3576,3.862626,1.16086644357649,"TR",0.876323174170354,0.479318672008477,0.632327782275491,18,0,0.400067337416955,0.222781694330123,1
"United Kingdom",2016,"GBR",1,100,0,1,1,32,1,6,25,0.5,0,1,1,1,0,1,0.28,"0",1,48,1,1,0,0.2,0.2,124,0,0,0.2,0.381,0.45,4.169222,1.39166394595796,"GB",0.758823529411765,0,0.826923076923077,20,118840.579710145,0.438381144265963,2.49970630726359,0.666666666666667
"United States",2016,"USA",2,20,1,0,1,87,2.4,4.6,33,0.5,0,1,1,1,0,1,0.251,"0",3.6,55,0,0,0.3,0.3,0.3,65,0,0.5,0.38923934,0.2851581,0.4625,8.20792,1.25748823286665,"US",0.93846273303009,0.34958311169213,0.632751338890881,7.3,0,0.397,2.01801081021525,0.333333333333333
