"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","ISO-2","ISO-3.1","corprate","divrate","incrate","progressivity","taxwedge","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"Australia",2019,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,0,2.154613,4,18,1,1,0.3,0.1,0.3,45,0,0.5,"AU","AUS",0.3,0.2428,0.47,2.098449,1.36161255752027,0.851484971473245,0.479318672008477,0.547953910556565,10,50950.9831162029,0.495677137783973,0.970719391454096,0.333333333333333
"Austria",2019,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,0,0,0.275,0,7.872148,3,50,1,1,0.275,0,0.2,91,1,0.5,"AT","AUT",0.25,0.275,0.55,23.269194,1.1217583937524,0.813463195231154,0.391406012913837,0.737888702767901,20,37457.4389849533,0.595346920500117,0.126634842884256,0.333333333333333
"Belgium",2019,"BEL",0,100,1,1,1,21,1,8,75,1,0,1,1,0,0,1,0,1,1.048901,2,40,1,1,0.3,0.3,0.3,95,0,0.5,"BE","BEL",0.2958,0.3,0.529341,1.053602,1.25922166287196,0.882216122406083,0.622404878792567,0.802532679160089,21,31109.1533083962,0.476392998987602,0.752708531016413,1
"Canada",2019,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.2675,0,4.260066,3,36,1,0.5,0.25,0.25,0.25,96,1,0.5,"CA","CAN",0.268,0.39344076,0.535296,4.123721,1.17806525296873,1,0.426086956521739,0.49,5,23975.8898451717,0.474503207079933,1.93611681582879,0.333333333333333
"Chile",2019,"CHL",0,100,0.5,0,1,42,1,5,124,1,0,1,0,1,0,0,0.35,0,7.726053,1,125,0,0,0.35,0.35,0.3,32,0,0.5,"CL","CHL",0.25,0.13333333,0.35,7.705643,1.25283729050685,0.632611659769417,0.338474732816403,0,19,0,0.638025880525371,0.540351120860356,0.666666666666667
"Czech Republic",2019,"CZE",0,5,0.5,0,1,53,1,5,108,1,0,1,1,0,0,0,0.15,1,0.347974,2,87,1,1,0.15,0.15,0.15,87,1,0.5,"CZ","CZE",0.19,0.15,0.15,0.322415,1.10576053466434,0.873879108036537,0.543222830616488,0.841318847888109,21,76296.5356413544,0.600302406645114,0.124085310155285,0.333333333333333
"Denmark",2019,"DNK",0,60,0,0,1,25,3,6,40,0.5,0,1,0,0,0,0,0.42,0,1.260703,1,65,1,1,0.27,0.22,0.22,74,1,0.5,"DK","DNK",0.22,0.42,0.558584,1.28641,1.30513804617432,0.826923076923077,0.479318672008477,0.81340644290143,25,6907.63633670914,0.596063795426487,0.933099745496656,0.666666666666667
"Estonia",2019,"EST",100,100,1,0,0,5,1,7,14,0,0,0,0,0,0,0,0.2,0,0.14828,0,31,1,1,0,0,0.1,57,1,0,"EE","EST",0.2,0,0.2,0.894225,1.20692450210511,1,1,1,20,72611.8858395931,0.728150828092231,0.162259402164862,0.666666666666667
"Finland",2019,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,1,0,0,1,0.34,0,1.851725,3,48,1,1,0.2,0,0.2,86,1,1,"FI","FIN",0.2,0.289,0.5111,1.88875,1.30610786697143,0.826923076923077,0.518965517241379,0.737888702767901,24,11062.4119155451,0.543890115085756,0.484884785684177,0.666666666666667
"France",2019,"FRA",1,50,0.5,1,1,28,1,6,31,1,1,1,1,1,1,1,0.3443,0,14.576138,2,80,0.95,0.88,0.3,0,0.333,107,1,1,"FR","FRA",0.32023,0.34,0.55368,14.342621,1.25247443832651,0.857738015451725,0.547953910556565,0.869865253929667,20,103912.923981672,0.48566405924343,1.70748038132408,0.666666666666667
"Germany",2019,"DEU",0.5,60,1,0,0,41,2,6,43,1,0,1,1,0,0,0,0.26375,0,5.403225,1,134,0.95,0.95,0.25,0,0.15,96,0,1,"DE","DEU",0.29889263,0.26375,0.47475,5.377903,1.10058056727888,0.737888702767901,0.391406012913837,0.869865253929667,19,22456.2808292655,0.556567367932321,0.282001557736199,0.333333333333333
"Greece",2019,"GRC",0,5,1,0,0,78,1,6,69,1,0,1,1,0,1,0,0.15,0,3.928468,1,46,1,0,0.15,0.15,0.2,57,1,1,"GR","GRC",0.28,0.15,0.55,10.989387,1.24246520483928,0.737888702767901,0.479318672008477,0.737888702767901,24,16710.6993594789,0.436878506277984,1.42059186465177,0.333333333333333
"Hungary",2019,"HUN",0,2.5,0.5,1,0,35,2,7,96,1,0,1,1,1,0,1,0.15,0,0,2,146,1,1,0,0,0,80,0,0.5,"HU","HUN",0.09,0.15,0.15,0,1,0.816200383417959,0.278958448750364,0.869865253929667,27,57601.502523673,0.567176393235143,0.406973844552963,0.333333333333333
"Iceland",2019,"ISL",0,10,0.5,0,1,40,1,7,40,1,0,1,0,1,0,0,0.2,0,1.171853,13,60,1,1,0.2,0.12,0.2,43,0,1,"IS","ISL",0.2,0.22,0.4624,1.220591,1.27841004548958,0.86,0.602353618717047,0.812269350072009,24,14202.1555989162,0.546822043581059,1.32450050663432,0.666666666666667
"Ireland",2019,"IRL",1,100,0.5,1,1,12,1,7,30,0.5,0,1,1,0,0,1,0.33,0,1.929367,1,40,0,1,0.2,0.2,0.2,73,1,0,"IE","IRL",0.125,0.51,0.48,1.497499,1.46752376372534,0.787075165170195,0.479318672008477,0.547953910556565,23,92218.141398691,0.498533689864113,0.502754134930928,0.666666666666667
"Israel",2019,"ISR",0,100,0.5,1,0,110,2,19,65,1,0,0,1,0,0,0,0.25,1,4.32481,12,60,0,0,0.3,0.23,0.23,55,0,0,"IL","ISR",0.23,0.33,0.5,4.189243,1.70203840252696,0.869865253929667,0.391406012913837,0.787075165170195,17,26132.3890060412,0.632540965239364,1.58229586229205,0.666666666666667
