"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AT","AUT","Austria",2019,0.25,0,75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,1,46,1,8,0.55,23.269194,1.1217583937524,3,50,0.275,NA,0.275,20,37457.4389849533,0.595346920500117,35,1,0.126634842884256,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.333333333333333,0.5
"AU","AUS","Australia",2019,0.3,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,37,1,6,0.47,2.098449,1.36161255752027,4,18,0.245,NA,0.2428,10,50950.9831162029,0.495677137783973,50,0,0.970719391454096,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
"BE","BEL","Belgium",2019,0.2958,0,100,0.882216122406083,0.622404878792567,0.802532679160089,1,1,1,21,1,8,0.60215738,1.053602,1.25922166287196,2,40,0,NA,0.3,21,31109.1533083962,0.476392998987602,75,0.5,0.752708531016413,1,1,1,0,0,1,1,1,0,0.3,0.3,0.3,95,0.666666666666667,1
"CA","CAN","Canada",2019,0.268,3,20,1,0.426086956521739,0.49,0.5,0,1,45,1,4,0.535296,4.123721,1.17806525296873,3,36,0.2675,NA,0.39344076,11.1,23975.8898451717,0.474503207079933,50,0.5,1.93611681582879,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,94,0.333333333333333,0.5
"CH","CHE","Switzerland",2019,0.21148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,0,15,2,10,0.41721638,3.30769,1.35253868781859,7,40,0,NA,0.21135,7.7,81953.3750858462,0.682580340126438,8,1,0.103213246119261,1,1,1,1,1,1,1,1,0,0.35,0.35,0,93,0,0.5
"CL","CHL","Chile",2019,0.25,0,100,0.632611659769417,0.338474732816403,0,0.5,0,1,48,1,5,0.35,7.705643,1.25283729050685,1,124.5,0.35,NA,0.13333333,19,0,0.638025880525371,123.5,1,0.540351120860356,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,33,0.666666666666667,0.5
"CZ","CZE","Czech Republic",2019,0.19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,53,1,5,0.311,0.322415,1.10576053466434,2,75,0.15,NA,0.15,21,76296.5356413544,0.600302406645114,102,1,0.124085310155285,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,89,0.333333333333333,0.5
"DE","DEU","Germany",2019,0.29889263,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,41,2,6,0.47475,5.377903,1.10058056727888,1,134,0.26375,NA,0.26375,19,22456.2808292655,0.556567367932321,43,1,0.282001557736199,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,96,0.333333333333333,1
"DK","DNK","Denmark",2019,0.22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,1,27,3,6,0.558584,1.28641,1.30513804617432,1,65,0.42,NA,0.42,25,6907.63633670914,0.596063795426487,40,0.5,0.933099745496656,0,1,0,0,0,0,1,1,1,0.27,0.22,0.22,75,0.666666666666667,1
"EE","EST","Estonia",2019,0.2,100,100,1,1,1,1,0,0,5,1,7,0.32391111,0.894225,1.20692450210511,0,31,0.2,NA,0,20,72611.8858395931,0.728150828092231,14,0,0.162259402164862,0,0,0,0,0,0,1,1,1,0,0,0.1,58,0.333333333333333,1
"ES","ESP","Spain",2019,0.25,0,100,0.778563038959402,0.391406012913837,0.737888702767901,0.5,1,1,33,1,7,0.435,2.409703,1.21576799276324,1,84,0.23,NA,0.23,21,0,0.430877668728623,30.5,1,0.703302081238721,1,1,1,0,1,0,1,1,1,0.19,0.19,0.24,93,0.333333333333333,1
"FI","FIN","Finland",2019,0.2,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,18,1,4,0.58435142,1.88875,1.30610786697143,3,48,0.34,NA,0.289,24,11062.4119155451,0.543890115085756,24,0.5,0.484884785684177,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.666666666666667,1
"FR","FRA","France",2019,0.3443,1,50,0.857738015451725,0.547953910556565,0.869865253929667,0.5,1,1,28,1,6,0.55572,14.342621,1.25247443832651,2,80,0.3,NA,0.34,20,103912.923981672,0.48566405924343,31,1,1.70748038132408,1,1,1,1,0,1,0.95,0.88,1,0.3,0,0.333,122,0.666666666666667,1
"GB","GBR","United Kingdom",2019,0.19,1,50,0.758823529411765,0.278958448750364,0.826923076923077,0,1,1,32,1,6,0.47,3.81405,1.38825375214752,1,48,0.2,NA,0.381,20,119167.287037543,0.438381144265963,25,0.5,2.6079351730449,0,1,1,1,0,1,1,1,0,0,0.2,0.2,129,0.666666666666667,1
"GR","GRC","Greece",2019,0.28,0,5,0.737888702767901,0.479318672008477,0.737888702767901,1,0,1,78,1,6,0.55,10.989387,1.24246520483928,1,46,0.25,NA,0.15,24,16710.6993594789,0.436878506277984,69,1,1.42059186465177,0,1,1,0,1,0,1,0,1,0.1,0.15,0.2,57,0.333333333333333,1
"HU","HUN","Hungary",2019,0.09,0,2.5,0.816200383417959,0.278958448750364,0.869865253929667,0.5,1,1,35,2,7,0.335,0,1,2,146,0.15,NA,0.15,27,57601.502523673,0.567176393235143,96,1,0.406973844552963,0,1,1,1,0,1,1,1,0,0,0,0,81,0.333333333333333,1
"IE","IRL","Ireland",2019,0.125,1,100,0.787075165170195,0.479318672008477,0.547953910556565,0,1,1,12,1,7,0.52,1.497499,1.46752376372534,1,40,0.33,NA,0.51,23,92218.141398691,0.498533689864113,30,0.5,0.502754134930928,0,1,1,0,0,0,0,1,1,0.2,0.2,0.2,73,0.333333333333333,0
"IL","ISR","Israel",2019,0.23,0,100,0.869865253929667,0.391406012913837,0.787075165170195,0.5,1,0,110,2,14,0.5,4.189243,1.70203840252696,12,60,0.28,NA,0.33,17,26132.3890060412,0.632540965239364,69,1,1.58229586229205,0,0,1,0,0,0,0,0,1,0.3,0.23,0.23,56,0.666666666666667,0
"IS","ISL","Iceland",2019,0.2,0,10,0.86,0.602353618717047,0.812269350072009,0.5,0,1,40,1,7,0.443904,1.220591,1.27841004548958,13,60,0.22,NA,0.22,24,14202.1555989162,0.546822043581059,40,1,1.32450050663432,0,1,0,1,0,0,1,1,0,0.2,0.12,0.2,45,0.666666666666667,1
"IT","ITA","Italy",2019,0.278064,0,80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,1,39,2,11,0.52765573,2.660988,1.24268824305587,1,169,0.26,NA,0.26,22,90380.9627102053,0.378756793044304,30,1,0.776039563260252,1,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,100,0.666666666666667,1
