"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"JP","JPN","Japan",2014,0.3699,0,7.2,0.769602272727273,0.278958448750364,0.787075165170195,1,0,1,102,2,13,0.510858,4.610718,1.13529597379108,14,74.5,0.204,"0",0.20315,5,88240.3441644497,0.687590467820163,23,1,1.17972085032508,0,1,1,0,1,0,0.95,0,0,0.2,0.2,0.2,60,0.666666666666667,0.5
"KR","KOR","Korea",2014,0.242,0.5,10,0.921720532319392,0.547953910556565,0.737888702767901,1,1,1,82,1,8,0.41914557,8.534901,1.27028019128341,2,80,0,"1",0.35398,10,26238.6011968703,0.692071068967643,25,1,0.387891833269311,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,80,0.666666666666667,0.5
"LV","LVA","Latvia",2014,0.15,0,100,0.905263157894737,0.614285714285714,0.869865253929667,0.5,0,1,31,1,5,0.254,0.104378,1.03892431200977,1,99,0.15,"0",0.1,21,100402,0.506100728664033,94,0.5,0.479130091449744,0,0,1,0,0,0,1,1,1,0,0.05,0.05,56,0,0.5
"LT","LTU","Lithuania",2014,0.15,0,70,0.918446601941748,0.838302752293578,0.980369718309859,1,0,1,32,1,8,0.171,0.211872,1.06401224165031,2,85,0.15,NA,0.15,21,101580,0.504643678661337,58,0.5,0.229702767888654,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,49,0.333333333333333,0.5
"LU","LUX","Luxembourg",2014,0.2922,0,100,0.870869546099498,0.479318672008477,0.869865253929667,1,1,1,19,5,6,0.45,3.048602,1.36054562300372,12,14,0,"1",0.2,15,25182.6246203907,1.2474565313124,22,1,0.0646287749560816,0,1,1,1,0,0,1,1,0,0.15,0,0,69,0,0.5
"MX","MEX","Mexico",2014,0.3,0,10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,1,150,1,3,0.3165,3.999949,1.27281409277894,2,38.5,0.1,"1",0.17142857,16,0,0.321338552498364,100,0.5,0.141252599772672,0,1,1,0,0,0,0,0,1,0.1,0.4,0.4,50,1,0.5
"NL","NLD","Netherlands",2014,0.25,1,9,0.965116279069767,0.338474732816403,0.737888702767901,1,1,0,22,1,7,0.81570593,1.215933,1.52272680008174,1,64,0.3,"1",0.22,21,1537.1932964077,0.468596681969462,34,0.5,0.451933442023359,0,1,1,0,0,0,1,1,0,0.15,0,0,96,0,0
"NZ","NZL","New Zealand",2014,0.28,0,100,0.731914893617021,0.307142857142857,0.737888702767901,0.5,0,0,34,1,5,0.33,1.314966,1.55172904792892,2,59,0,"1",0.06944444,15,38134.0006652947,0.949343370156744,59,0,1.59649859187374,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,37,0.333333333333333,0.5
"NO","NOR","Norway",2014,0.27,0,100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,1,24,1,2,0.478,1.578054,1.28325734897025,1,15,0.27,"0",0.27,25,5181.61744007035,0.561574851213185,44,1,0.225556134273043,1,0,1,1,0,0,0.97,0.97,1,0.25,0,0,88,0.666666666666667,1
"PL","POL","Poland",2014,0.19,0,2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,0,0,70,1,16,0.38751185,2.416807,1.04414211778125,2,103,0.19,"0",0.19,23,77747.204225308,0.436203895691829,113,1,1.12706774914229,0,1,1,0,1,1,1,0,1,0.19,0.2,0.2,84,0,0.5
"PT","PRT","Portugal",2014,0.315,0,8.4,0.888411247396436,0.547953910556565,0.737888702767901,0.5,0,1,63,1,6,0.61285,15.912636,1.3194799247447,1,116,0.28,"1",0.28,23,14317.549643698,0.48511254225391,96,0.5,0.375936966712126,0,1,1,1,0,1,1,0,1,0.25,0.25,0.25,61,0.666666666666667,1
"SK","SVK","Slovak Republic",2014,0.22,0,4,0.873879108036537,0.652728119257913,0.869865253929667,0.5,0,1,42,1,20,0.3505,3.972201,1.12573955485278,1,62,0.22,"0",0,20,86990.532950811,0.485318044537937,103,0.5,0.257488885020631,0,0,0,1,0,0,1,0,1,0,0.19,0.19,66,0,0
"SI","SVN","Slovenia",2014,0.17,0,50,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,0,74,1,8,0.6105,5.390324,1.20150625479754,1,90,0,"1",0.25,22,74142.1047824595,0.590631982468831,69,1,0.278850287556273,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,53,0,0.5
"ES","ESP","Spain",2014,0.3,0,18,0.695001856615886,0.291385530174685,0.278958448750364,0.5,1,1,33,1,7,0.52,11.728847,1.12006728288016,1,90,0.27,"0",0.27,21,0,0.406427261455261,44,1,0.570050193085456,1,1,1,0,1,0,1,1,1,0.21,0.21,0.2475,85,0.333333333333333,1
"SE","SWE","Sweden",2014,0.22,1.5,100,0.86,0.479318672008477,0.86,0,0,0,50,1,4,0.5673,1.518355,1.23165647822514,1,36,0.3,"0",0.3,25,0,0.56680624436407,36,0.5,0.489111023657769,0,0,1,0,0,0,1,1,0,0.3,0,0,79,0.666666666666667,0.5
"CH","CHE","Switzerland",2014,0.21148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,0,15,2,10,0.41752888,3.325739,1.35719565991715,7,40,0,"1",0.21135,8,63826.8268100133,0.698455383839677,8,1,0.0890439301542225,1,1,1,1,1,1,1,1,0,0.35,0.35,0,89,0,0.5
"TR","TUR","Turkey",2014,0.2,0,5,0.876323174170354,0.479318672008477,0.632327782275491,0.5,0,1,49,1,8,0.358,4.283921,1.18095267181411,1,80,0,"1",0.175,18,0,0.398955325784995,97,0.5,0.204151075534575,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,80,1,0.5
"GB","GBR","United Kingdom",2014,0.21,1,100,0.758823529411765,0,0.826923076923077,0,1,1,32,1,6,0.47,4.274984,1.36956332821385,1,48,0.28,"0",0.3055625,20,102850.559900547,0.43384941239917,25,0.5,2.37473839654365,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.666666666666667,0
"US","USA","United States",2014,0.390755,2,20,0.93846273303009,0.34958311169213,0.632751338890881,1,0,1,87,2.4,4.6,0.486,8.305387,1.25555598066699,3.6,55,0.251,"0",0.28583863,7.2,0,0.397,33,0.5,2.01348769942971,0,1,1,1,0,1,0,0,0,0.3,0.3,0.3,65,0.333333333333333,0.5
