"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","corprate","divrate","incrate","progressivity","taxwedge","ISO-2","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"Australia",2015,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,"0",4,18,1,1,0.3,0.1,0.3,44,0,0.5,0.3,0.27121,0.465,2.266751,1.40290200146597,"AU",0.851484971473245,0.479318672008477,0.547953910556565,10,48730.6403375008,0.495545496897089,0.912845158231682,0.333333333333333
"Austria",2015,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,1,0,0.25,"0",3,50,1,1,0.25,0,0.2,85,0,0.5,0.25,0.25,0.5,13.879673,1.10989360304717,"AT",0.813463195231154,0.391406012913837,0.737888702767901,20,34987.893314216,0.58895997712564,0.122215282959359,0
"Belgium",2015,"BEL",0,100,1,1,1,20,1,8,75,0.5,0,1,1,0,0,1,0,"1",2,40,0.95,0.987878788,0.25,0.25,0.25,91,0,0.5,0.3399,0.25,0.5375,1.592011,1.19708611941441,"BE",0.882216122406083,0.622404878792567,0.802532679160089,21,6319.04976005039,0.468344652876705,0.714269632352527,0
"Canada",2015,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.226,"0",3,36,1,0.5,0.25,0.25,0.25,93,1,0.5,0.267,0.338214,0.495296,4.414843,1.1891720068578,"CA",0.965116279069767,0.242105263157895,0.518965517241379,5,23453.725818895,0.475086511535308,1.9852300677456,0.333333333333333
"Chile",2015,"CHL",100,100,0.5,1,0,42,1,5,124.5,1,0,1,0,1,0,0,0.2,"0",1,124.5,0,0,0.35,0.35,0.3,25,1,0.5,0.225,0.22580645,0.4,10.379357,1.16167995248495,"CL",0.632611659769417,0.338474732816403,0,19,0,0.642550959621906,0.510013763026873,0
"Czech Republic",2015,"CZE",0,5,0.5,0,1,53,1,5,102,1,0,1,1,0,0,0,0.15,"1",2,75,1,1,0.15,0.15,0.15,83,1,0.5,0.19,0.15,0.15,0.397857,1.133819821388,"CZ",0.873879108036537,0.543222830616488,0.841318847888109,21,67707.9535587165,0.587342193235465,0.124340687752308,0
"Denmark",2015,"DNK",0,60,0,0,0,27,3,6,40,1,0,1,0,0,0,0,0.42,"0",1,65,1,1,0.27,0.25,0.25,73,1,0.5,0.235,0.42,0.55564,1.227747,1.29006643084604,"DK",0.826923076923077,0.479318672008477,0.81340644290143,25,5879.07638734969,0.573526842925167,0.911395951507738,0.666666666666667
"Estonia",2015,"EST",100,100,1,0,0,20,1,7,27,0,0,0,0,0,0,0,0.2,"0",0,34,1,0,0,0,0.1,55,1,0,0.2,0,0.21,0.142973,1.05257052948518,"EE",1,1,1,20,25581.7765656457,0.729103999536852,0.178902490295171,0.666666666666667
"Finland",2015,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,1,0,0,1,0.33,"0",3,48,1,1,0.2,0,0.2,75,1,1,0.2,0.2805,0.5149,2.530586,1.26763835062432,"FI",0.826923076923077,0.518965517241379,0.737888702767901,24,8589.47283647476,0.533878523080525,0.378340997663513,0.666666666666667
"France",2015,"FRA",1,50,0.5,1,1,26,1,6,31,1,1,1,1,1,1,1,0.344,"0",2,80,0.95,0.88,0.3,0,0.3333,122,1,1,0.379962,0.44001,0.54501,15.054145,1.20556750316793,"FR",0.857738015451725,0.547953910556565,0.869865253929667,20,93551.0876400815,0.485072744899431,1.6060749545814,0.666666666666667
