"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AU","AUS","Australia",2017,0.3,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,37,1,6,0.49,2.194088,1.4134143528398,4,18,0.245,"0",0.2428,10,50335.5704697987,0.495677137783973,50,0,0.955322385727872,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
"AT","AUT","Austria",2017,0.25,0,75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,1,46,1,8,0.55,24.310926,1.13251138577789,3,50,0.275,"0",0.275,20,36585.3658536585,0.595346920500117,35,1,0.12361216753266,0,0,1,1,0,0,1,1,0,0.275,0,0.2,86,0,0.5
"BE","BEL","Belgium",2017,0.3399,0,100,0.882216122406083,0.622404878792567,0.802532679160089,1,1,1,21,1,8,0.60533822,1.046325,1.22915827485894,2,40,0,"1",0.3,21,30487.8048780488,0.476392998987602,75,0.5,0.738176031982139,0,1,1,0,0,1,0.95,0.987878788,0,0.3,0.3,0.3,93,0,0.5
"CA","CAN","Canada",2017,0.267,3,20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,1,45,1,4,0.535296,4.328839,1.16753592251421,3,36,0.2675,"0",0.39343524,12.4,24000,0.474503207079933,50,0.5,1.95417134924071,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333333333,0.5
"CL","CHL","Chile",2017,0.25,0,100,0.632611659769417,0.338474732816403,0,0.5,0,1,42,1,5,0.4,9.754696,1.15013270338827,1,124.5,0.35,"0",0.13333333,19,0,0.638025880525371,124.5,1,0.530151545914639,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,26,0.666666666666667,0.5
"CZ","CZE","Czech Republic",2017,0.19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,53,1,5,0.311,0.371761,1.12395446063395,2,75,0.15,"1",0.15,21,75872.5341426404,0.600302406645114,94,1,0.125879383488097,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,88,0,0.5
"DK","DNK","Denmark",2017,0.22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,27,3,6,0.55794,1.249225,1.29210745273779,1,65,0.42,"0",0.42,25,6666.66666666667,0.596063795426487,40,0.5,0.96460364268842,0,1,0,0,0,0,1,1,1,0.27,0.22,0.22,73,0.666666666666667,0.5
"EE","EST","Estonia",2017,0.2,100,100,1,1,1,1,0,0,5,1,7,0.5628,0.409786,1.05342664790177,0,31,0.2,"0",0,20,28571.4285714286,0.728150828092231,20,0,0.171069392309224,0,0,0,0,0,0,1,1,1,0,0,0.1,56,0.666666666666667,0
"FI","FIN","Finland",2017,0.2,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,21,1,4,0.58943686,1.803856,1.27354071903888,3,48,0.34,"0",0.289,24,10752.688172043,0.543890115085756,24,0.5,0.446640312985308,0,1,1,0,0,1,1,1,1,0.2,0,0.2,75,0.666666666666667,1
"FR","FRA","France",2017,0.4442889,1,50,0.857738015451725,0.547953910556565,0.869865253929667,0.5,1,1,28,1,6,0.55062,14.802542,1.23116763132598,2,80,0.3444675,"0",0.44001,20,100243.902439024,0.48566405924343,31,1,1.66339348226691,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.666666666666667,1
