"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AT","AUT","Austria",2015,0.25,0,75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,1,46,1,8,0.5,13.879673,1.10989360304717,3,50,0.25,"0",0.25,20,34987.893314216,0.58895997712564,35,1,0.122215282959359,0,0,1,1,1,0,1,1,0,0.25,0,0.2,85,0,0.5
"AU","AUS","Australia",2015,0.3,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,37,1,6,0.465,2.266751,1.40290200146597,4,18,0.245,"0",0.27121,10,48730.6403375008,0.495545496897089,50,0,0.912845158231682,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
"BE","BEL","Belgium",2015,0.3399,0,100,0.882216122406083,0.622404878792567,0.869865253929667,1,1,1,20,1,8,0.5839317,1.592011,1.19708611941441,2,40,0,"1",0.25,21,6319.04976005039,0.468344652876705,75,0.5,0.714269632352527,0,1,1,0,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
"CA","CAN","Canada",2015,0.267,3,20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,1,45,1,4,0.495296,4.414843,1.1891720068578,3,36,0.226,"0",0.338214,10.6,23453.725818895,0.475086511535308,50,0.5,1.9852300677456,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333333333,0.5
"CH","CHE","Switzerland",2015,0.21148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,0,15,2,10,0.41752888,3.461304,1.33246998314131,7,40,0,"1",0.21135,8,63826.8268100133,0.687045780392545,8,1,0.0910226599245968,1,1,1,1,1,1,1,1,0,0.35,0.35,0,90,0,0.5
"CL","CHL","Chile",2015,0.225,100,100,0.632611659769417,0.338474732816403,0,0.5,1,0,42,1,5,0.4,10.379357,1.16167995248495,1,124.5,0.2,"0",0.22580645,19,0,0.642550959621906,124.5,1,0.510013763026873,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,25,0,0.5
"CZ","CZE","Czech Republic",2015,0.19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,53,1,5,0.311,0.397857,1.133819821388,2,75,0.15,"1",0.15,21,67707.9535587165,0.587342193235465,102,1,0.124340687752308,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5
"DE","DEU","Germany",2015,0.29780475,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,41,2,6,0.47475,5.655649,1.10442828089418,1,134,0.25,"0",0.26375,19,21297.5222109729,0.555961693374702,43,1,0.260483699586195,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.333333333333333,1
"DK","DNK","Denmark",2015,0.235,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,27,3,6,0.55564,1.227747,1.29006643084604,1,65,0.42,"0",0.42,25,5879.07638734969,0.573526842925167,40,0.5,0.911395951507738,0,1,0,0,0,0,1,1,1,0.27,0.25,0.25,73,0.666666666666667,0.5
"EE","EST","Estonia",2015,0.2,100,100,1,1,1,1,0,0,20,1,7,0.2258,0.142973,1.05257052948518,0,34,0.2,"0",0,20,25581.7765656457,0.729103999536852,27,0,0.178902490295171,0,0,0,0,0,0,1,0,1,0,0,0.1,55,0.666666666666667,0
