ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,minimum_tax
JP,JPN,Japan,NA,0.5,5,0.77,0.279,0.787,0.5,0,0,1,0,1,1,0,NA,NA,NA,1,0,0.204,NA,NA,NA,NA,NA,21,0.5,NA,0,1,1,1,1,0,0.95,0,0,0.2,0.2,0.2,69,NA,0.5,0
KR,KOR,Korea,NA,0.5,6,0.922,0.548,0.738,1,0,1,1,0,4,0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,25,0,NA,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,93,NA,1,0
LT,LTU,Lithuania,NA,0,70,0.918,0.838,0.98,1,0,1,1,0,2,0,0,NA,NA,NA,0,0,0.2,NA,NA,NA,NA,NA,47,0.5,NA,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,54,NA,1,0
LU,LUX,Luxembourg,NA,0,17,0.864,0.479,0.87,1,0,1,0,0,1,1,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,22,0.5,NA,0,1,1,1,0,0,1,1,0,0.15,0,0,82,NA,1,0
LV,LVA,Latvia,NA,100,100,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,0,0.2,NA,NA,NA,NA,NA,66,0.5,NA,0,0,1,0,0,0,1,1,1,0,0,0,61,NA,1,0
MX,MEX,Mexico,NA,0,10,0.738,0.548,0.738,1,0,0,1,0,0,0,14.916,NA,NA,NA,0,13.404,0.1,NA,NA,NA,NA,NA,100,0.5,NA,0,0,1,0,0,0,0,0,0,0.1,0.35,0.35,59,NA,0.5,0
NL,NLD,Netherlands,NA,1,6,0.965,0.338,0.738,1,0,1,1,0,1,0,0,NA,NA,NA,0,0,0.3,NA,NA,NA,NA,NA,34,0.5,NA,0,1,1,1,0,0,1,1,0,0.15,0,0,97,NA,1,0
NO,NOR,Norway,NA,0,100,0.782,0.374,0.738,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.3168,NA,NA,NA,NA,NA,40,0.5,NA,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,NA,1,0
NZ,NZL,New Zealand,NA,0,100,0.747,0.31,0.738,0.5,0,0,1,0,0,0,3.152,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,47,0.5,NA,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,NA,0.5,0
PL,POL,Poland,NA,0,2.5,0.738,0.338,0.87,1,0,1,1,0,1,0,0,NA,NA,NA,0,0,0.19,NA,NA,NA,NA,NA,172,0.5,NA,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,85,NA,1,0
PT,PRT,Portugal,NA,0,3.5,0.888,0.548,0.738,0.5,1,1,1,0,4,0,0,NA,NA,NA,0,0,0.28,NA,NA,NA,NA,NA,90,0.5,NA,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,77,NA,1,0
SE,SWE,Sweden,NA,0,100,0.86,0.479,0.86,0,0,0,0,0,0,0,-0.024,NA,NA,NA,0,0,0.3,NA,NA,NA,NA,NA,36,0.5,NA,0,0,1,1,0,0,1,1,0,0.3,0,0,81,NA,1,0
SI,SVN,Slovenia,NA,0,50,0.87,0.391,0.738,0.5,0,0,0,0,0,0,0.014,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,69,0,NA,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,59,NA,0.5,0
SK,SVK,Slovak Republic,NA,0,4,0.874,0.653,0.87,0.5,0,1,1,0,0,0,0.684,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,84,0.5,NA,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,70,NA,1,0
TR,TUR,Turkey,NA,0,5,0.876,0.479,0.632,0.5,1,1,1,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,75,0.5,NA,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,85,NA,0.5,0
US,USA,United States,NA,5,100,1,0.35,0.633,1,0,1,1,0,2,0,0,NA,NA,NA,0,0,0.2891,NA,NA,NA,NA,NA,33,0.5,NA,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,NA,1,1
