ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,minimum_tax
AU,AUS,Australia,2025,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1525,0,3,0,0,0.47,1.901047,1.493574102,0,0,0.235,NA,0.2428,10,52083.33333,0.507413525,1,1,0.835838416,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,46,0.25,1,0.5
AT,AUT,Austria,2025,0.23,0,75,0.884365027,0.566741558,0.737888703,1,0,0,0.17,1,3,0,0.749,0.5,20.835219,1.135753339,0,0,0.275,NA,0.275,20,45454.54545,0.579403,1,0,0.098015504,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.5,1,0.5
BE,BEL,Belgium,2025,0.25,0,70,0.869865254,0.547953911,0.869865254,1,0,1,0.155,0,2,0,0.03,0.54445161,0.962175,1.268822831,0,0,0,NA,0.3,21,33783.78378,0.444608226,1,0.5,0.599265692,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.75,1,0.5
CA,CAN,Canada,2025,0.2621,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,1,2,0,1.202,0.535296,2.719192,1.24726222,0,0,0.3568,NA,0.39344076,12.4,24000,0.482051544,1,0.5,1.563935173,0,0,1,1,1,0,1,0.33,1,0.25,0.25,0.25,96,0.25,0.5,0.5
CL,CHL,Chile,2025,0.27,0,100,0.63261166,0.338474733,0,0.5,0,0,0.29,0,0,0,10.359,0.35,18.019585,13.3025074,0,0,0.4,NA,0.2390411,19,0,0.627446984,1,0.5,0.463005017,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,37,0.375,0.5,0
CO,COL,Colombia,2025,0.35,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.4575,1,3,0,1.545,0.32999998,21.076995,0,0,9.955,0.15,NA,0,19,0,0.344342969,1,0.5,0.517234921,1,1,1,0,1,1,0,0,0,0.2,0.2,0.2,13,0.5,0.5,0
CR,CRI,Costa Rica,2025,0.3,0,3,0.822456691,0.602353619,0,0.5,0,0,-0.02,0,5,0,4.883,0.33445206,6.153075,1.097721361,0,28.954,0.15,NA,0.15,13,0,0.452005904,,0.5,0.229616111,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,4,0,1,0
CZ,CZE,Czech Republic,2025,0.21,2,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.18,0,1,0,0,0.26,3.598201,1.117076403,0,0,0,NA,0.23,21,77519.37984,0.590285215,1,0.5,0.093701286,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,97,0.25,1,0.5
DK,DNK,Denmark,2025,0.22,0,60,0.826923077,0.479318672,0.813406443,0,0,0,0.065,1,1,0,5.403,0.559044,9.750216,1.347334214,0,0,0.42,NA,0.42,25,7587.253414,0.639966951,1,0.5,0.741971533,0,1,1,0,0,0,1,1,1,0.22,0.22,0.22,76,0.5,1,0.5
EE,EST,Estonia,2025,0.2,100,100,1,1,1,1,1,0,0,0,1,0,0,0.32391111,0.72017,1.110132769,0,0,0.2,NA,0,20,72727.27273,0.72107055,1,1,0.106920376,0,0,0,0,0,0,1,1,1,0,0,0.1,62,0.25,1,0
FI,FIN,Finland,2025,0.2,0,10,0.934782609,0.518965517,0.737888703,0,0,0,0.005,0,1,0,0,0.50396343,1.77625,1.305906695,0,0,0.34,NA,0.289,24,18072.28916,0.582231578,1,0.5,0.372396361,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.375,1,0.5
FR,FRA,France,2025,0.25825,1,50,0.880275604,0.547953911,0.869865254,0.5,0,1,0.3425,1,2,2,0.957,0.54644,14.152193,1.249885522,0,0,0.34,NA,0.34,20,117534.2466,0.490282709,1,0.5,0.997644631,0.5,1,1,1,0,1,0.95,0.88,1,0.25,0,0.25,122,0.5,1,0.5
DE,DEU,Germany,2025,0.29941208,2,70,0.847117028,0.391406013,0.869865254,1,0,0,0.185,0,1,1,0,0.47475,5.228201,1.10905831,1,0,0.26375,NA,0.26375,16,29542.93058,0.521424716,1,0.5,0.211832875,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.25,1,0.5
GR,GRC,Greece,2025,0.22,0,5,0.737888703,0.479318672,0.737888703,0.5,0,0,0.23,0,1,0,1.035,0.44,4.570085,1.27511421,0,0,0.15,NA,0.05,24,18330.25996,0.383411406,1,0.5,1.096814628,0,1,1,1,1,0,1,1,1,0.05,0.15,0.2,58,0.25,1,0.5
HU,HUN,Hungary,2025,0.09,0,2.5,0.816200383,0.278958449,0.737888703,0.5,0,1,0.1525,1,1,0,0.14,0.335,0,1,0,0.168,0.15,NA,0.15,27,77419.35484,0.590650421,1,0.5,0.259261668,0,1,1,1,0,1,1,1,0,0,0,0,84,0.25,1,0.5
IS,ISL,Iceland,2025,0.21,0,10,0.86,0.602353619,0.81226935,0.5,0,0,0.36,0,1,0,3.356,0.3795,1.117564,1.311355526,0,8.547,0.22,NA,0.22,24,13245.03311,0.462468724,1,0,1.137815463,0,1,1,1,0,0,1,1,0,0.21,0.13,0.22,45,0.5,1,0
IE,IRL,Ireland,2025,0.125,1,100,0.787075165,0.479318672,0.646263719,0,0,1,0.245,0,2,0,0,0.52,1.281724,1.420276049,0,0,0.33,NA,0.51,21,94936.70886,0.433124623,1,0.5,0.216765767,0,1,1,0,0,1,0,1,1,0.25,0.2,0.2,74,0.25,1,0.5
IL,ISR,Israel,2025,0.23,0,100,0.869865254,0.391406013,0.787075165,0.5,0,1,-0.01,0,0,0,2.605,0.47,3.752075,1.662546254,0,0,0.25,NA,0.33,17,26918.94737,0.641819643,1,0.5,1.161081428,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,60,0.25,0,0
IT,ITA,Italy,2025,0.2781,0,80,0.869865254,0.57666938,0.965116279,1,0,0,0.175,1,2,0,4.468,0.51399817,1.142239,1.291372952,0,0,0.26,NA,0.26,22,1.00E+05,0.37516887,1,0,0.617439037,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,101,0.5,1,0.5
JP,JPN,Japan,2025,0.2974,0.5,5,0.85902866,0.278958449,0.787075165,0.5,0,0,0.0875,0,2,1,0.217,0.56077165,8.46498,1.152810835,1,0,0.20315,NA,0.2032,10,1.00E+05,0.698382342,1,0.5,0.816990088,0,1,1,1,1,0,0.95,0,0,0.2042,0.2042,0.2042,74,0.375,1,0.5
KR,KOR,Korea,2025,0.265,0.5,12,0.921720532,0.547953911,0.737888703,1,0,1,0.1275,0,4,0,0,0.51525,1.406326,1.208708425,1,0,0,NA,0.4395,10,56670.60213,0.696788342,1,0,0.518449714,0,1,1,0,1,1,0.95,0,1,0.22,0.22,0.22,94,0.375,1,0.5
LV,LVA,Latvia,2025,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.314,3.747495,1.128115569,0,0,0.2,NA,0,21,78431.37255,0.589212308,1,0.5,0.404691579,0,0,1,0,0,0,1,1,1,0,0,0,62,0.25,1,0
LT,LTU,Lithuania,2025,0.15,0,70,0.905263158,0.826923077,0.966194332,1,0,1,0.28,0,2,0,0,0.395,3.927163,1.155796652,0,0,0.2,NA,0.15,21,97826.08696,0.542397601,1,0.5,0.21980703,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,57,0.25,1,0
LU,LUX,Luxembourg,2025,0.2494,0,17,0.873417351,0.479318672,0.869865254,1,0,1,-0.01,0,2,1,0.104,0.4609,3.072021,1.371125077,1,0,0,NA,0.21,17,41176.47059,0.773499261,1,0.5,0.046218232,0,1,1,1,0,0,1,1,0,0.15,0,0,88,0.25,1,0.5
MX,MEX,Mexico,2025,0.3,0,10,0.737888703,0.547953911,0.737888703,0.5,0,0,0.055,0,0,0,1.5,0.34,25.232908,1.162979735,0,13.985,0.1,NA,0.17142857,16,0,0.36915622,1,0.5,0.101165435,0,0,1,0,0,0,0,0,0,0.1,0.35,0.35,59,0.5,1,0
NL,NLD,Netherlands,2025,0.258,0.5,50,0.813463195,0.338474733,0.869865254,1,0,1,0.2275,0,2,0,0,0.51130496,1.91455,1.432334316,0,0,0.36,NA,0.269,21,25974.02597,0.580125286,1,0.5,0.551366011,0,1,1,1,0,0,1,1,0,0.15,0,0,97,0.25,1,0.5
