ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
AT,AUT,Austria,2021,0.25,0,75,0.884365027,0.566741558,0.737888703,1,0,0,0.17,1,2,0,0.515,0.55,22.54589,1.126677772,0,0,0.275,NA,0.275,20,46054.93433,0.603100531,1,0,0.087641783,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.333333333,1
AU,AUS,Australia,2021,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1375,0,1,0,0,0.47,1.981052,1.452118415,2,0,0.235,NA,0.2428,10,51314.08531,0.470195181,1,1,0.762796372,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,45,0.333333333,0.5
BE,BEL,Belgium,2021,0.25,0,70,0.737888703,0.547953911,1.004865254,1,1,1,0.15,0,1,0,0.037,0.529341,1.107443,1.275260922,0,0,0,NA,0.3,21,33155.39936,0.467774,1,0.5,0.556432069,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.333333333,1
CA,CAN,Canada,2021,0.2615,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,0,1,0,1.075,0.535296,3.842896,1.37508437,0,0,0.2675,NA,0.39344076,12.4,25039.8969,0.480243206,1,0.5,1.473986083,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,96,0.333333333,0.5
CH,CHE,Switzerland,2021,0.19698516,0,7,0.86,0.55483871,0.905263158,1,0,1,-0.01,0,0,0,6.03,0.4167,3.454265,1.358017295,0,0,0,NA,0.22285,7.7,87425.12038,0.699351165,1,0.5,0.064510895,1,1,1,1,1,1,1,1,0,0.35,0.35,0,93,0,0.5
CL,CHL,Chile,2021,0.1,0,100,1,1,1,0.5,0,0,0.305,0,2,0,0,0.4,7.660926,1.250499362,0,0,0.4,NA,0.33333333,19,0,0.630344868,1,0.5,0.413946752,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,33,0.666666667,0.5
CO,COL,Colombia,2021,0.31,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.44,0,2,0,11.442,0.33,13.489476,0,0,9.92,0.1,NA,0,19,0,0.391503667,1,0.5,0.470855797,1,0,1,0,0,1,1,0,0,0.32,0.2,0.2,9,0.666666667,0.5
CR,CRI,Costa Rica,,,0,3,,,,0.5,0,0,,0,5,0,36.262,,,,0,31.373,0.15,,,,,,,0.5,,0,0,1,0,1,1,,,,0.15,0.15,0.25,,,
CZ,CZE,Czech Republic,2021,0.19,2,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.18,0,0,0,0,0.15,2.00E-06,1.100667896,0,0,0,NA,0.15,21,77860.42662,0.60659398,1,0.5,0.084440431,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,89,0.333333333,1
DE,DEU,Germany,2021,0.29937781,1,60,0.847117028,0.391406013,0.869865254,1,0,0,0.185,0,0,5.5,0,0.47475,5.430193,1.098918858,5.5,0,0.26375,NA,0.26375,19,29542.93058,0.56749194,1,0.5,0.191074228,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,96,0.333333333,1
DK,DNK,Denmark,2021,0.22,0,60,0.826923077,0.479318672,0.813406443,0,0,0,0.065,0,0,0,4.432,0.558952,1.320481,1.315673832,8,0,0.42,NA,0.42,25,7507.11299,0.61537354,1,0.5,0.697144827,0,1,1,0,0,0,1,1,1,0.22,0.22,0.22,75,0.666666667,1
EE,EST,Estonia,2021,0.2,100,100,1,1,1,1,1,0,0,0,1,0,0,0.2,0.366454,1.19897045,0,0,0.2,NA,0,20,75060.98705,0.735493046,1,1,0.113731232,0,0,0,0,0,0,1,1,1,0,0,0.1,58,0.333333333,1
ES,ESP,Spain,2021,0.25,0,70,0.778563039,0.391406013,0.737888703,0.5,0,1,0.295,1,1,0,0,0.435,2.417067,1.21852902,0,0,0.26,NA,0.26,21,0,0.444288454,1,0.5,0.525818442,1,1,1,0,1,1,0.95,0.95,1,0.19,0.19,0.24,93,0.333333333,1
FI,FIN,Finland,2021,0.2,0,10,0.934782609,0.518965517,0.737888703,0,0,0,-0.005,0,0,0,0,0.5122,1.917091,1.281557527,0,0,0.34,NA,0.289,24,11701.54507,0.573217636,1,0.5,0.336095059,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.5,1
FR,FRA,France,2021,0.284075,1,50,0.880275604,0.547953911,0.869865254,0.5,0,1,0.3875,1,4,3.3,0,0.55368,15.389581,1.261813258,9.7,0,0.34,NA,0.34,20,115863.7453,0.517805659,1,0.5,1.137634254,0.5,1,1,1,0,1,0.95,0.88,1,0.28,0,0.28,122,0.666666667,1
