ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
LV,LVA,Latvia,0.2,100,100,1,1,1,1,1,0,1,0,22.5,1,5,0.21425,0.073729,1.040034121,1,80,0.2,0,0,0.21,80000,0.51,66,0.5,0.527020266,0,0,1,0,0,0,1,1,1,0,0,0,61,0,1
LT,LTU,Lithuania,NA,0,70,NA,NA,NA,1,0,1,0,0,18,1,8,NA,NA,NA,2,34,0.15,NA,NA,NA,NA,NA,57.25,0.5,NA,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,53,NA,0.5
LU,LUX,Luxembourg,0.2601,0,17,0.871,0.479,0.87,1,0,1,1,0,19,5,6,0.4282,2.8058,1.39954119,12,14,0,1,0.21,0.17,33333.33333,1,22,0.5,0.054022869,0,1,1,1,0,0,1,1,0,0.15,0,0,80,0,0.5
MX,MEX,Mexico,0.3,0,10,0.738,0.548,0.738,1,0,0,0,0,102,1,3,0.35,25.40869,1.200792706,2,38.5,0.1,1,0.17142857,0.16,0,0.32,100,0.5,0.188215715,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,58,1,0.5
NL,NLD,Netherlands,0.25,1,9,0.965,0.338,0.738,1,0,1,0,0,21,1,7,0.52269552,1.385089,1.367168613,1,64,0.3,1,0.25,0.21,1640.243902,0.48,34,0.5,0.672660157,1,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0
NZ,NZL,New Zealand,0.28,0,100,0.732,0.307,0.738,0.5,0,0,0,0,34,1,4,0.33,1.19,1.465954539,2,59,0,1,0.06944444,0.15,40816.32653,0.97,47,1,2.111620145,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.666666667,0.5
NO,NOR,Norway,0.23,0,100,0.782,0.374,0.738,0,0,0,0,0,24,1,2,0.4672,1.616943,1.248248058,1,15,0.3059,0,0.3059,0.25,4950.49505,0.56,44,0.5,0.262947414,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.833333333,1
PL,POL,Poland,0.19,0,2.5,0.738,0.338,0.87,1,0,0,0,0,59,1,4,0.39908085,2.03076,1.03733017,2,103,0.19,0,0.19,0.23,111731.8436,0.44,96,0.5,1.613317482,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,84,0.833333333,1
PT,PRT,Portugal,0.315,0,3.5,0.888,0.548,0.738,0.5,1,1,0,0,63,1,6,0.610269,15.611608,1.263268364,1,90,0.28,1,0.28,0.23,16949.15254,0.48,90,0.5,0.508199851,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,76,0.833333333,1
SK,SVK,Slovak Republic,0.21,0,4,0.874,0.653,0.87,0.5,0,1,0,0,46,1,6,0.3505,3.539562,1.112786121,1,62,0,0,0.07,0.2,101612.2449,0.48,84,0.5,0.375636017,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,69,0,1
SI,SVN,Slovenia,0.19,0,50,0.87,0.391,0.738,0.5,0,0,1,0,74,1,8,0.6105,5.039418,1.153837133,1,90,0,1,0.25,0.22,83333.33333,0.6,69,0,0.362176673,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,58,0,0.5
ES,ESP,Spain,0.25,0,70,0.779,0.391,0.279,0.5,0,1,0,0,33,1,7,0.435,2.444309,1.220440594,1,84,0.23,0,0.23,0.21,0,0.41,35,0,0.629468576,1,1,1,0,1,0,1,1,1,0.19,0.19,0.24,93,0.5,1
SE,SWE,Sweden,0.22,1.5,100,0.86,0.479,0.86,0,0,0,1,0,50,1,4,0.6012,1.49848,1.231902977,1,36,0.3,0,0.3,0.25,3303.964758,0.57,36,0.5,0.550641622,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.666666667,0.5
CH,CHE,Switzerland,0.21148581,0,7,0.86,0.555,0.905,1,0,0,1,0,15,2,10,0.41692469,3.49735,1.343010636,7,40,0,1,0.21135,0.077,81300.81301,0.71,8,0.5,0.105294886,1,1,1,1,1,1,1,1,0,0.35,0.35,0,92,0,0.5
TR,TUR,Turkey,0.22,0,5,0.876,0.479,0.632,0.5,1,1,0,0,44.5,1,8,0.455,3.210597,1.206566001,1,91,0,1,0.175,0.18,0,0.42,80,0.5,0.315762533,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,83,0.666666667,0.5
GB,GBR,United Kingdom,0.19,1,50,0.759,0,0.827,0,0,1,0,0,32,1,6,0.47,3.925891,1.396117878,1,48,0.2,0,0.381,0.2,121428.5714,0.44,25,0.5,2.531121422,0,1,1,1,0,1,1,1,0,0,0.2,0.2,129,0.666666667,1
US,USA,United States,0.2583858,5,100,1,0.35,0.633,1,0,0,0,0,87,2,5,0.46,9.4,1.251474299,3.6,55,0.2888,0,0.2924084,0.073648,0,0.4,33,0.5,2.0923174,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.666666667,1
