ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
AT,AUT,Austria,0.25,0,75,0.8134632,0.391406,0.7378887,1,0,0,0,0,2,0,0.872,0.5,13.539476,1.11181959,0,0,0.275,0,0.275,0.2,36585.36585,0.59,35,0,0.129546684,0,0,1,1,0,0,1,1,0,0.275,0,0.2,86,0,0.5
AU,AUS,Australia,0.3,0,100,0.851485,0.4793187,0.5479539,0.5,0,0,0,0,1,0,0,0.49,2.228589,1.447539703,2,0,0.245,0,0.27121,0.1,50335.57047,0.47,50,1,1.115858998,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.67,0.5
BE,BEL,Belgium,0.3399,0,100,0.8822161,0.6224049,0.8025327,1,1,1,0,0,3,3,0.028,0.58435331,1.025977,1.209373527,0,0,0,1,0.27,0.21,30487.80488,0.48,75,0.5,0.675831814,0,1,1,1,0,1,0.95,0.987878788,0,0.27,0.27,0.27,93,0,0.5
CA,CAN,Canada,0.267,3,20,0.9651163,0.2421053,0.5189655,0.5,0,0,0,0,1,0,1.017,0.495296,4.367895,1.195360856,0,0,0.2475,0,0.39343524,0.123911221,24000,0.48,50,0.5,2.037722018,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.33,0.5
CH,CHE,Switzerland,0.21148581,0,7,0.86,0.5548387,0.9052632,1,0,0,1,0,0,0,4.739,0.4173622,3.477028,1.334153595,0,0,0,1,0.21135,0.08,78125,0.71,8,0.5,0.090641912,1,1,1,1,1,1,1,1,0,0.35,0.35,0,91,0,0.5
CL,CHL,Chile,0.24,100,100,0.6326117,0.3384747,0,0.5,0,0,1,0,0,0,5.538,0.4,10.035255,1.146960344,0,0,0.4,0,0.21052632,0.19,0,0.64,124.5,0.5,0.551819251,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,25,0.5,0.5
CO,COL,Colombia,,0,100,,,,0.5,0,0,,0,5,9,9.756,,,,0,8.482,0.1,,,,,,,0.5,,1,0,1,0,0,1,1,0,0,0.33,0.33,0.33,7,,0.5
CR,CRI,Costa Rica,,0,3,,,,0.5,0,0,,0,3,0,31.597,,,,0,28.692,0,,,,,,,0.5,,0,0,1,0,0,0,,,,,,,,,
CZ,CZE,Czech Republic,0.19,0,5,0.8738791,0.5432228,0.8413188,0.5,0,0,0,0,0,0,0,0.311,0.38544,1.131516597,0,0,0,1,0.15,0.21,75872.53414,0.57,94,0.5,0.149560905,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,86,0,0.5
DE,DEU,Germany,0.29825,1,60,0.7378887,0.391406,0.8698653,1,0,0,1,0,0,5.5,0,0.47475,5.529533,1.10845058,5.5,0,0.26375,0,0.26375,0.19,22151.89873,0.55,43,0.5,0.296766441,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.5,1
