ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_time,profit_payments,other_payments
AU,AUS,Australia,NA,0,100,0.851,0.479,0.548,0.5,0,0,0,0,37,1,6
AT,AUT,Austria,NA,0,75,0.813,0.391,0.738,1,0,0,0,1,46,1,8
BE,BEL,Belgium,NA,0,70,0.882,0.622,0.803,1,1,1,0,0,21,1,8
CA,CAN,Canada,NA,3,20,1,0.426,0.49,0.5,0,0,0,0,45,1,4
CL,CHL,Chile,NA,0,100,0.633,0.338,0,0.5,0,0,0,0,48,1,5
CO,COL,Colombia,,0,12,,,,0.5,0,0,,0,,,
CZ,CZE,Czech Republic,NA,2,5,0.874,0.543,0.841,0.5,0,0,0,0,53,1,5
DK,DNK,Denmark,NA,0,60,0.827,0.479,0.813,0,0,0,0,0,27,3,6
EE,EST,Estonia,NA,100,100,1,1,1,1,1,0,1,0,5,1,7
FI,FIN,Finland,NA,0,10,0.827,0.519,0.738,0,0,0,1,0,18,1,4
FR,FRA,France,NA,1,50,0.858,0.548,0.87,0.5,0,1,0,1,28,1,6
DE,DEU,Germany,NA,1,60,0.738,0.391,0.87,1,0,0,0.5,0,41,2,6
GR,GRC,Greece,NA,0,5,0.738,0.479,0.738,0.5,0,0,0,0,78,1,6
HU,HUN,Hungary,NA,0,2.5,0.816,0.279,0.87,0.5,0,1,0,1,35,2,7
IS,ISL,Iceland,NA,0,10,0.86,0.602,0.812,0.5,0,0,0,0,40,1,7
IE,IRL,Ireland,NA,1,100,0.787,0.479,0.548,0.5,0,1,0,0,12,1,7
IL,ISR,Israel,NA,0,100,0.87,0.391,0.787,0.5,0,1,1,0,110,2,14
IT,ITA,Italy,NA,0,80,0.76,0.463,0.965,1,1,1,0,1,39,2,11
JP,JPN,Japan,NA,0.5,5,0.77,0.279,0.787,0.5,0,0,0,0,38,3,13
KR,KOR,Korea,NA,0.5,9,0.922,0.548,0.738,1,0,1,0,0,83,2,8
LV,LVA,Latvia,NA,100,100,1,1,1,1,1,0,1,0,22.5,1,5
LT,LTU,Lithuania,NA,0,70,0.918,0.838,0.98,1,0,1,0,0,18,1,8
LU,LUX,Luxembourg,NA,0,17,0.864,0.479,0.87,1,0,1,1,0,19,5,6
MX,MEX,Mexico,NA,0,10,0.738,0.548,0.738,1,0,0,0,0,102,1,3
NL,NLD,Netherlands,NA,1,6,0.965,0.338,0.738,1,0,1,0,0,21,1,7
NZ,NZL,New Zealand,NA,1,100,0.747,0.31,0.738,0.5,0,0,0,0,34,1,4
NO,NOR,Norway,NA,0,100,0.782,0.374,0.738,0,0,0,0,0,24,1,3
PL,POL,Poland,NA,0,2.5,0.738,0.338,0.87,1,1,1,0,1,59,1,4
PT,PRT,Portugal,NA,0,9.6,0.888,0.548,0.738,0.5,1,1,0,0,63,1,6
SK,SVK,Slovak Republic,NA,0,2.5,0.874,0.653,0.87,0.5,0,1,0,0,46,1,6
SI,SVN,Slovenia,NA,0,63,0.87,0.391,0.738,0.5,0,0,1,0,74,1,8
ES,ESP,Spain,NA,0,70,0.779,0.391,0.738,0.5,0,1,0,1,33,1,7
SE,SWE,Sweden,NA,1.5,100,0.86,0.479,0.86,0,0,0,1,0,50,1,4
CH,CHE,Switzerland,NA,0,7,0.86,0.555,0.905,1,0,1,1,0,15,2,10
TR,TUR,Turkey,NA,0,5,0.876,0.479,0.632,0.5,1,1,0,1,24,1,8
GB,GBR,United Kingdom,NA,1,50,0.759,0.279,0.827,0,0,1,0,1,32,1,6
US,USA,United States,NA,0,80,1,0.35,0.633,1,0,0,0,0,87,2.4,4.6
