ISO_2,ISO_3,country,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate
AU,AUS,Australia,NA,NA,NA,4,18,0.235,NA,NA
AT,AUT,Austria,NA,NA,NA,3,50,0.275,NA,NA
BE,BEL,Belgium,NA,NA,NA,2,40,0,NA,NA
CA,CAN,Canada,NA,NA,NA,3,36,0.2675,NA,NA
CL,CHL,Chile,NA,NA,NA,1,124.5,0.4,NA,NA
CO,COL,Colombia,,,,,,0.1,,
CZ,CZE,Czech Republic,NA,NA,NA,2,75,0,NA,NA
DK,DNK,Denmark,NA,NA,NA,1,65,0.42,NA,NA
EE,EST,Estonia,NA,NA,NA,0,31,0.2,NA,NA
FI,FIN,Finland,NA,NA,NA,3,48,0.34,NA,NA
FR,FRA,France,NA,NA,NA,2,80,0.34,NA,NA
DE,DEU,Germany,NA,NA,NA,1,134,0.26375,NA,NA
GR,GRC,Greece,NA,NA,NA,1,46,0.15,NA,NA
HU,HUN,Hungary,NA,NA,NA,2,146,0.15,NA,NA
IS,ISL,Iceland,NA,NA,NA,13,60,0.22,NA,NA
IE,IRL,Ireland,NA,NA,NA,1,40,0.33,NA,NA
IL,ISR,Israel,NA,NA,NA,12,60,0.28,NA,NA
IT,ITA,Italy,NA,NA,NA,1,169,0.26,NA,NA
JP,JPN,Japan,NA,NA,NA,14,70.5,0.2032,NA,NA
KR,KOR,Korea,NA,NA,NA,2,80,0,NA,NA
LV,LVA,Latvia,NA,NA,NA,1,80,0.2,NA,NA
LT,LTU,Lithuania,NA,NA,NA,1,34,0.2,NA,NA
LU,LUX,Luxembourg,NA,NA,NA,12,14,0,NA,NA
MX,MEX,Mexico,NA,NA,NA,2,38.5,0.1,NA,NA
NL,NLD,Netherlands,NA,NA,NA,1,64,0.31,NA,NA
NZ,NZL,New Zealand,NA,NA,NA,2,59,0,NA,NA
NO,NOR,Norway,NA,NA,NA,1,15,0.3168,NA,NA
PL,POL,Poland,NA,NA,NA,2,103,0.19,NA,NA
PT,PRT,Portugal,NA,NA,NA,1,90,0.28,NA,NA
SK,SVK,Slovak Republic,NA,NA,NA,1,62,0,NA,NA
SI,SVN,Slovenia,NA,NA,NA,1,90,0,NA,NA
ES,ESP,Spain,NA,NA,NA,1,84,0.26,NA,NA
SE,SWE,Sweden,NA,NA,NA,1,36,0.3,NA,NA
CH,CHE,Switzerland,NA,NA,NA,7,40,0,NA,NA
TR,TUR,Turkey,NA,NA,NA,1,71,0,NA,NA
GB,GBR,United Kingdom,NA,NA,NA,1,48,0.2,NA,NA
US,USA,United States,NA,NA,NA,3.6,55,0.2891,NA,NA
