ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
LV,LVA,Latvia,0.15,0,75,0.905,0.6142,0.7378887,0.5,0,1,0,22.5,1,5,0.1901,0.099112,1.036920919,1,80,0.15,0,0.1,0.21,98619.32939,0.51,66,0.5,0.46891657,1,1,0,1,1,1,1,1,1,0,0,0,59,0,0.5
LT,LTU,Lithuania,NA,0,70,NA,NA,NA,1,0,1,0,28,1,8,NA,NA,NA,2,85,0.15,NA,NA,NA,NA,NA,58,0.5,NA,1,0,1,1,1,1,1,1,1,0.15,0.1,0.1,53,NA,0.5
LU,LUX,Luxembourg,0.2708,0,17,0.870869546,0.479318672,0.869865254,1,0,1,0,19,5,6,0.455,2.902134,1.373304484,12,14,0,1,0.21,0.17,27777.77778,1,22,0.5,0.053929503,1,0,0,0,1,1,1,1,0,0.15,0,0,79,0,0.5
MX,MEX,Mexico,0.3,0,10,0.737888703,0.547953911,0.737888703,1,0,1,0,102,1,3,0.35,26.87409,1.230700649,2,38.5,0.1,1,0.17142857,0.16,0,0.32,100,0.5,0.179770071,1,0,0,1,1,1,0,0,1,0.1,0.4,0.4,55,1,0.5
NL,NLD,Netherlands,0.25,1,9,0.965116279,0.338474733,0.737888703,1,0,0,0,21,1,7,0.526512,1.393037,1.347623275,1,64,0.3,1,0.25,0.21,1620.481928,0.48,34,0.5,0.652654664,0,0,0,1,1,1,1,1,0,0.15,0,0,96,0,0
NZ,NZL,New Zealand,0.28,0,100,0.731914894,0.307142857,0.737888703,0.5,0,1,0,34,1,4,0.33,1.214258,1.48045232,2,59,0,1,0.06944444,0.15,40816.32653,0.97,59,1,2.046183706,1,1,1,1,1,1,1,1,0,0.3,0.15,0.15,40,0.67,0.5
NO,NOR,Norway,0.24,0,100,0.781818182,0.373913043,0.737888703,0,0,1,0,24,1,2,0.469,1.606431,1.298472143,1,15,0.298,0,0.2976,0.25,5102.040816,0.56,44,0.5,0.253590614,0,1,0,0,1,1,0.97,1,1,0.25,0,0,87,0.83,1
PL,POL,Poland,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,0,1,0,70,1,4,0.38751185,2.110023,1.038851416,2,103,0.19,0,0.19,0.23,83333.33333,0.44,96,0.5,1.576151208,1,0,0,0,0,0,1,0,1,0.19,0.2,0.2,84,0.83,1
PT,PRT,Portugal,0.295,0,3.5,0.888411247,0.547953911,0.737888703,0.5,1,0,0,63,1,6,0.61285,15.800325,1.275917818,1,90,0.28,1,0.28,0.23,16949.15254,0.48,90,0.5,0.5104324,1,0,0,0,1,0,1,1,1,0.25,0.25,0.25,68,0.83,1
SK,SVK,Slovak Republic,0.21,0,4,0.873879108,0.652728119,0.869865254,0.5,0,1,0,46,1,6,0.3505,3.68508,1.117505196,1,62,0,0,0.07,0.2,99580,0.48,84,0.5,0.360310675,1,1,1,0,1,1,1,0,1,0.35,0.19,0.19,67,0,1
SI,SVN,Slovenia,0.19,0,50,0.869865254,0.391406013,0.737888703,0.5,0,1,1,74,1,8,0.6105,5.194874,1.193521729,1,90,0,1,0.25,0.22,83333.33333,0.6,69,0,0.336251708,1,0,0,0,1,1,0.95,0.475,1,0.15,0.15,0.15,57,0,0.5
ES,ESP,Spain,0.25,0,70,0.778563039,0.391406013,0.278958449,0.5,0,0,0,33,1,6,0.45,2.449093,1.136618155,1,84,0.23,0,0.23,0.21,0,0.41,35,0,0.617871405,0,0,0,1,0,1,1,1,1,0.19,0.19,0.19,92,0.5,1
SE,SWE,Sweden,0.22,1.5,100,0.86,0.479318672,0.86,0,0,1,1,50,1,4,0.601,1.503143,1.23396235,1,36,0.3,0,0.3,0.25,0,0.57,36,0.5,0.544744882,1,1,0,1,1,1,1,1,0,0.3,0,0,81,0.67,0.5
CH,CHE,Switzerland,0.21148581,0,7,0.86,0.55483871,0.905263158,1,0,1,1,15,2,10,0.41729971,3.489512,1.34214503,7,40,0,1,0.21135,0.08,78125,0.71,8,0.5,0.103179718,0,0,0,0,0,0,1,1,0,0.35,0.35,0,92,0,0.5
TR,TUR,Turkey,0.2,0,5,0.876323174,0.479318672,0.632327782,0.5,1,0,0,45.5,1,8,0.358,3.460417,1.216781682,1,80,0,1,0.175,0.18,0,0.42,91,0.5,0.294885696,1,0,0,1,0,0,1,1,0,0.15,0.1,0.2,83,0.67,0.5
GB,GBR,United Kingdom,0.19,1,50,0.758823529,0,0.826923077,0,0,0,0,32,1,6,0.47,4.038573,1.39333641,1,48,0.2,0,0.381,0.2,118840.5797,0.44,25,0.5,2.452244335,1,0,0,0,1,0,1,1,0,0,0.2,0.2,126,0.67,1
US,USA,United States,0.38906474,2,20,0.876925466,0.349583112,0.632751339,1,0,1,0,87,2.4,4.6,0.486,8.088075,1.254336046,3.6,55,0.251,0,0.28506064,0.07355,0,0.397,33,0.5,2.068438857,1,0,0,0,1,0,0,0,0,0.3,0.3,0.3,65,0.67,0.5
