ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
AT,AUT,Austria,0.25,0,75,0.8134632,0.391406,0.7378887,1,0,0,0,0,2,0,0.909,0.5,13.879673,1.116750939,0,0,0.25,0,0.25,0.2,34987.89331,0.59,35,0,0.12657351,0,0,1,1,1,0,1,1,0,0.25,0,0.2,85,0,0.5
AU,AUS,Australia,0.3,0,100,0.851485,0.4793187,0.5479539,0.5,0,0,0,0,0,0,0,0.465,2.266751,1.428921274,0,0,0.245,0,0.27121,0.1,48730.64034,0.47,50,1,1.088020521,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.666666667,0.5
BE,BEL,Belgium,0.3399,0,100,0.8822161,0.6224049,0.8698653,1,1,1,0,0,3,1,0.032,0.5839317,1.592011,1.202687839,0,0,0,1,0.25,0.21,6319.04976,0.48,75,0.5,0.653269894,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
CA,CAN,Canada,0.267,3,20,0.9651163,0.2421053,0.5189655,0.5,0,0,0,0,1,0,1.065,0.495296,4.414843,1.193948577,0,0,0.2475,0,0.338214,0.123209196,23453.72582,0.48,50,0.5,1.997861498,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
CH,CHE,Switzerland,0.21148581,0,7,0.86,0.5548387,0.9052632,1,0,0,1,0,0,0,4.297,0.41752888,3.461304,1.332509486,0,0,0,1,0.21135,0.08,63826.82681,0.71,8,0.5,0.089460809,1,1,1,1,1,1,1,1,0,0.35,0.35,0,90,0,0.5
CL,CHL,Chile,0.225,100,100,0.6326117,0.3384747,0,0.5,0,0,1,0,0,0,4.521,0.4,10.379357,1.153782193,0,0,0.2,0,0.22580645,0.19,0,0.64,124.5,0.5,0.564166286,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,25,0,0.5
CO,COL,Colombia,,0,100,,,,0.5,0,0,,0,5,1,10.068,,,,0,9.196,0.1,,,,,,,0.5,,1,0,1,0,0,1,0,0,0,0.2,0.33,0.33,5,,0.5
CR,CRI,Costa Rica,,0,3,,,,0.5,0,0,,0,3,0,31.399,,,,0,28.742,0,,,,,,,0.5,,0,0,1,0,1,1,1,1,0,0.15,0.15,0.25,1,0,0
CZ,CZE,Czech Republic,0.19,0,5,0.8738791,0.5432228,0.8413188,0.5,0,0,0,0,0,0,0,0.311,0.397857,1.136426555,0,0,0,1,0.15,0.21,67707.95356,0.57,102,0.5,0.147415708,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5
DE,DEU,Germany,0.2979,1,60,0.7378887,0.391406,0.8698653,1,0,0,1,0,0,1,0,0.47475,5.655649,1.10937775,1,0,0.26375,0,0.26375,0.19,21297.52221,0.55,43,0.5,0.28503225,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.5,1
DK,DNK,Denmark,0.235,0,60,0.8269231,0.4793187,0.8134064,0,0,0,1,0,0,0,5.521,0.55564,1.227747,1.263317606,0,0,0.42,0,0.42,0.25,5879.076387,0.59,40,0.5,0.777801043,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.833333333,0.5
EE,EST,Estonia,0.2,100,100,1,1,1,1,1,0,1,0,0,0,0,0.2258,0.142973,1.052936381,0,0,0.2,0,0,0.2,25581.77657,0.7,27,1,0.199204744,0,0,0,0,0,0,1,0,1,0,0,0.1,55,0.666666667,0
ES,ESP,Spain,0.28,0,50,0.6950019,0.2913855,0.2789584,0.5,0,1,0,0,3,0,0,0.52,11.66034,1.121908689,0,0,0.24,0,0.235,0.21,0,0.41,44,0.5,0.541733923,1,1,1,0,1,0,1,1,1,0.195,0.195,0.195,87,0.5,1
FI,FIN,Finland,0.2,0,10,0.8269231,0.5189655,0.7378887,0,0,0,1,0,0,0,0,0.57211391,2.530586,1.276431599,0,0,0.33,0,0.2805,0.24,8589.472836,0.56,24,0.5,0.362421822,0,1,1,0,0,1,1,1,1,0.2,0,0.2,75,0.833333333,1
FR,FRA,France,0.379962,1,50,0.857738,0.5479539,0.8698653,0.5,0,1,0,0,3,1,0,0.55011,15.054145,1.213527329,0,0,0.344,0,0.44001,0.2,93551.08764,0.48,31,0.5,1.54202351,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.666666667,1
GB,GBR,United Kingdom,0.2,1,100,0.7588235,0,0.8269231,0,0,1,0,0,2,0,0,0.47,4.271088,1.395892017,0,0,0.28,0,0.3055625,0.2,102850.5599,0.44,25,0.5,2.305105219,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.666666667,0
GR,GRC,Greece,0.29,0,5,0.7378887,0.4793187,0.7378887,0.5,0,0,0,0,0,0,1.94,0.46,5.272871,1.20230251,0,0,0.15,0,0.1,0.23,6677.549595,0.37,69,0.5,0.927035212,0,1,1,1,1,0,1,0,1,0.1,0.15,0.2,57,0.5,1
HU,HUN,Hungary,0.19,0,2.5,0.8162004,0.2789584,0.8698653,0.5,0,1,0,0,3,0,0.19,0.345,0,1,0,0.19,0.16,0,0.16,0.27,42328.19865,0.52,96,0.5,0.483337663,0,1,1,1,0,0,1,1,0,0,0,0,75,0.833333333,0.5
