ISO_2,ISO_3,country,year,corporate_rate,r_and_d_credit,top_income_rate,threshold_top_income_rate,tax_wedge,dividends_rate,corporate_other_rev,personal_other_rev
AT,AUT,Austria,2014,0.25,0.12,0.5,14.163515,1.114334832,0.25,1.051,0
AT,AUT,Austria,2015,0.25,0.12,0.5,13.879673,1.109893603,0.25,0.981,0
AT,AUT,Austria,2016,0.25,0.12,0.5,13.539476,1.105222843,0.275,0.909,0
AT,AUT,Austria,2017,0.25,0.15,0.55,24.310926,1.132511386,0.275,0.872,0
AT,AUT,Austria,2018,0.25,0.15,0.55,23.826478,1.127754491,0.275,0.761,0
AT,AUT,Austria,2019,0.25,0.17,0.55,23.289873,1.121887905,0.275,0.705,0
AT,AUT,Austria,2020,0.25,0.17,0.55,22.659401,1.11678023,0.275,0.691,0
AT,AUT,Austria,2021,0.25,0.17,0.55,22.348945,1.125353269,0.275,0.491,0
AT,AUT,Austria,2022,0.25,0.17,0.55,21.751663,1.143253864,0.275,0.511,0
AT,AUT,Austria,2023,0.24,0.17,0.5,20.835219,1.135753339,0.275,0.749,0
AU,AUS,Australia,2014,0.3,0.1425,0.465,2.32037,1.416589929,0.27121,0,0
AU,AUS,Australia,2015,0.3,0.1425,0.465,2.266751,1.402902001,0.27121,0,0
AU,AUS,Australia,2016,0.3,0.1425,0.49,2.229938,1.423027415,0.27121,0,0
AU,AUS,Australia,2017,0.3,0.1525,0.49,2.194088,1.413414353,0.2428,0,0
AU,AUS,Australia,2018,0.3,0.1375,0.49,2.15994,1.376194912,0.2428,0,0
AU,AUS,Australia,2019,0.3,0.1375,0.47,2.098449,1.361612558,0.2428,0,0
AU,AUS,Australia,2020,0.3,0.1375,0.47,2.05084,1.412929031,0.2428,0,0
AU,AUS,Australia,2021,0.3,0.1375,0.47,1.980986,1.452096751,0.2428,0,0
AU,AUS,Australia,2022,0.3,0.1475,0.47,1.930213,1.486780576,0.2428,0,0
AU,AUS,Australia,2023,0.3,0.1525,0.47,1.901047,1.493574102,0.2428,0,0
BE,BEL,Belgium,2014,0.3399,0.155,0.77559542,0.718312,1.194851451,0.25,0.017,0
BE,BEL,Belgium,2015,0.3399,0.155,0.5839317,1.592011,1.197086119,0.25,0.029,0
BE,BEL,Belgium,2016,0.3399,0.155,0.59838383,1.443954,1.203273629,0.27,0.032,0
BE,BEL,Belgium,2017,0.3399,0.155,0.77087396,0.757335,1.229158275,0.3,0.028,0
BE,BEL,Belgium,2018,0.2958,0.15,0.76655438,0.756002,1.227880121,0.3,0.034,0
BE,BEL,Belgium,2019,0.2958,0.155,0.83223563,1.193525,1.258068061,0.3,0.032,0
BE,BEL,Belgium,2020,0.25,0.15,0.60215738,1.046545,1.269935247,0.3,0.035,0
BE,BEL,Belgium,2021,0.25,0.1525,0.60215738,1.0504,1.271480715,0.3,0.035,0
BE,BEL,Belgium,2022,0.25,0.155,0.60172491,1.037228,1.266770074,0.3,0.035,0
BE,BEL,Belgium,2023,0.25,0.155,0.54445161,0.962175,1.268822831,0.3,0.03,0
CA,CAN,Canada,2014,0.262,0.245,0.495296,8.209677,1.224414101,0.338414,0.878,0
CA,CAN,Canada,2015,0.267,0.2125,0.495296,3.421462,1.231674864,0.338214,0.907,0
CA,CAN,Canada,2016,0.267,0.2125,0.495296,3.353659,1.230545145,0.39343524,1.065,0
CA,CAN,Canada,2017,0.2665,0.2125,0.535296,3.374233,1.210796966,0.39343524,1.017,0
CA,CAN,Canada,2018,0.2678,0.2125,0.535296,3.278689,1.241274809,0.39343524,1.005,0
CA,CAN,Canada,2019,0.2662,0.2125,0.535296,3.211679,1.241173255,0.39344076,1.057,0
CA,CAN,Canada,2020,0.2625,0.2125,0.535296,3.198852,1.230049659,0.39344076,1.194,0
CA,CAN,Canada,2021,0.2618,0.2125,0.535296,2.893118,1.316760714,0.39344076,1.313,0
CA,CAN,Canada,2022,0.2621,0.2125,0.535296,2.823593,1.262666395,0.39344076,1.078,0
CA,CAN,Canada,2023,0.2621,0.2125,0.535296,2.719192,1.24726222,0.39344076,1.202,0
CH,CHE,Switzerland,2014,0.21148581,-0.01,0.4167,3.487231,1.357273252,0.21135,3.816,0
CH,CHE,Switzerland,2015,0.21148581,-0.01,0.41752888,3.461304,1.332469983,0.21135,4.482,0
CH,CHE,Switzerland,2016,0.21148581,-0.01,0.4173622,3.475011,1.333917538,0.21135,4.485,0
CH,CHE,Switzerland,2017,0.21148581,-0.01,0.41729972,3.371824,1.361707213,0.21135,4.929,0
CH,CHE,Switzerland,2018,0.21148581,-0.01,0.41692468,3.357491,1.359710908,0.21135,4.44,0
CH,CHE,Switzerland,2019,0.21148581,-0.01,0.41721638,3.318929,1.354360856,0.21135,6.551,0
CH,CHE,Switzerland,2020,0.21148581,-0.01,0.4167,3.273454,1.347429518,0.22285,5.783,0
CH,CHE,Switzerland,2021,0.19698516,-0.01,0.41734127,3.216661,1.352649847,0.22285,6.504,0
CH,CHE,Switzerland,2022,0.19653352,-0.01,0.41694538,3.086775,1.372824425,0.22285,3.319,0
CH,CHE,Switzerland,2023,0.19653352,-0.01,0.4164902,2.996283,1.377597387,0.22285,6.441,0
CL,CHL,Chile,2014,0.21,0.295,0.4,10.408629,1.162326744,0.24050633,4.866,0
CL,CHL,Chile,2015,0.225,0.295,0.4,10.379357,1.161679952,0.22580645,5.535,0
CL,CHL,Chile,2016,0.24,0.295,0.4,10.035255,1.155359968,0.21052632,4.521,0
CL,CHL,Chile,2017,0.255,0.295,0.4,9.754696,1.150132703,0.24731544,5.537,0
CL,CHL,Chile,2018,0.27,0.295,0.35,7.727266,1.146087868,0.2390411,3.83,0
CL,CHL,Chile,2019,0.27,0.295,0.35,7.705428,1.252828433,0.2390411,3.744,0
CL,CHL,Chile,2020,0.27,0.295,0.35,7.621055,1.249126175,0.2390411,6.938,0
CL,CHL,Chile,2021,0.27,0.3,0.35,7.662172,1.25055036,0.2390411,4.261,0
CL,CHL,Chile,2022,0.27,0.29,0.4,19.18716,13.28512204,0.2390411,-2.23,0
CL,CHL,Chile,2023,0.27,0.29,0.35,18.019585,13.3025074,0.2390411,10.359,0
CO,COL,Colombia,2014,0.34,0.31,0.33000001,22.964026,0,0,0.883,8.99
CO,COL,Colombia,2015,0.39,0.31,0.33,21.900224,0,0,0.738,11.641
CO,COL,Colombia,2016,0.4,0.38,0.33,22.842678,0,0,0.831,9.196
CO,COL,Colombia,2017,0.4,0.395,0.33000001,23.111205,0,0,1.267,8.482
CO,COL,Colombia,2018,0.37,0.315,0.33000001,23.358988,0,0,1.218,9.371
CO,COL,Colombia,2019,0.33,0.305,0.33,23.052608,0,0,1.265,7.641
CO,COL,Colombia,2020,0.32,0.295,0.33,22.683768,0,0,1.649,9.56
CO,COL,Colombia,2021,0.31,0.44,0.39000005,68.894177,0,0,1.434,9.507
CO,COL,Colombia,2022,0.35,0.435,0.33000001,23.562287,0,0,2.186,9.92
CO,COL,Colombia,2023,0.35,0.4575,0.32999998,21.076995,0,0,1.545,9.955
CR,CRI,Costa Rica,2014,0.3,-0.02,0.22937123,2.137969,1.054891753,0.15,2.289,28.548
CR,CRI,Costa Rica,2015,0.3,-0.02,0.22937123,2.121949,1.054458065,0.15,2.604,28.292
