"Country","Overall Rank","Overall Score","Div/Cap Gains Exemption Rank","Div/Cap Gains Exemption Score","Withholding Taxes Rank","Withholding Taxes Score","Regulations Rank","Regulations Score"
"Australia",12,83.2810474272463,1,100,34,45.8426641239559,4,75.7865205155629
"Austria",4,95.679821939235,1,100,13,72.4973777405516,4,75.7865205155629
"Belgium",25,66.2083343871037,1,100,31,50.0758777392765,24,29.228617105211
"Canada",18,76.5907889754015,28,68.8856231174115,25,58.7935020102463,4,75.7865205155629
"Chile",36,35.8628784510685,33,29.2540232229853,36,25.6991730286386,10,53.4420965896481
"Czech Republic",6,89.0305475328716,14,80.4973178513432,10,75.3356417902752,4,75.7865205155629
"Denmark",29,60.6989344082603,14,80.4973178513432,27,55.3646280362536,24,29.228617105211
"Estonia",11,84.5348238091232,14,80.4973178513432,6,86.9604257044273,12,51.5730410311258
"Finland",23,69.0882265260789,14,80.4973178513432,12,73.3998119675527,24,29.228617105211
"France",24,66.9559627380497,26,76.3095158571748,14,72.4948152523177,24,29.228617105211
"Germany",8,87.2346510485363,13,97.4378352685821,9,77.8825139872877,12,51.5730410311258
"Greece",26,65.2458690251497,30,57.2739283834798,18,65.8946595662854,12,51.5730410311258
"Hungary",2,98.5698739628037,1,100,1,100,12,51.5730410311258
"Iceland",22,69.7088511786127,1,100,26,57.6012402255076,24,29.228617105211
"Ireland",13,81.0744229909944,32,52.4774126908487,22,61.5570678684768,1,100
"Israel",33,55.5034258599003,33,29.2540232229853,32,46.6325211870879,3,77.6555760740852
"Italy",27,62.2472509450835,24,77.9351531199252,23,60.9439965880696,24,29.228617105211
"Japan",21,70.8357222679396,27,75.3756152741119,24,60.3662561859289,10,53.4420965896481
"Korea",34,43.7316583165444,33,29.2540232229853,20,63.9049954045735,24,29.228617105211
"Latvia",7,87.8307404337035,14,80.4973178513432,3,94.0459415872606,12,51.5730410311258
"Lithuania",17,76.994178984375,14,80.4973178513432,15,70.7496519627336,12,51.5730410311258
"Luxembourg",5,94.2683105227432,1,100,5,90.7525585300736,12,51.5730410311258
"Mexico",35,36.2844921680945,33,29.2540232229853,33,46.2518193890109,22,31.0976726637334
"Netherlands",3,96.3455142610569,1,100,2,95.2181023396282,12,51.5730410311258
"New Zealand",9,85.7745001764473,1,100,30,51.2030542885002,4,75.7865205155629
"Norway",20,74.5489468837399,23,79.6567206965283,7,85.8776435395496,24,29.228617105211
"Poland",32,56.0472420807468,30,57.2739283834798,19,65.7658458754914,24,29.228617105211
"Portugal",30,59.9397539272895,14,80.4973178513432,28,53.7325523594178,24,29.228617105211
"Slovak Republic",31,59.2666566658559,14,80.4973178513432,29,52.285537194953,24,29.228617105211
"Slovenia",15,79.3214173704128,29,66.9040431226901,16,66.4045541711661,4,75.7865205155629
"Spain",19,74.8862187011063,14,80.4973178513432,17,66.2179881590764,12,51.5730410311258
"Sweden",14,80.5510789445129,1,100,8,80.9097112188733,24,29.228617105211
"Switzerland",1,100,1,100,21,62.1385696296238,2,98.1309444414776
"Turkey",16,78.0018419320467,1,100,11,73.7860353815574,22,31.0976726637334
"United Kingdom",10,85.2239062546782,1,100,4,90.955290611565,24,29.228617105211
"United States",28,61.7026852264315,25,76.7766105321366,35,41.1447901201673,12,51.5730410311258
