"","corporate","consumption","property","income","international","final"
"corporate",1,-0.216231252249774,0.448541241777039,0.539316921632534,0.462110895836228,0.685163351903667
"consumption",-0.216231252249774,1,0.0621519776273996,-0.158156012912192,0.207132177383163,0.37861416687107
"property",0.448541241777039,0.0621519776273996,1,0.409363568735478,0.143848077118559,0.684188637824448
"income",0.539316921632534,-0.158156012912192,0.409363568735478,1,0.254319913802123,0.628848567807267
"international",0.462110895836228,0.207132177383163,0.143848077118559,0.254319913802123,1,0.659339426766068
"final",0.685163351903667,0.37861416687107,0.684188637824448,0.628848567807267,0.659339426766068,1
