ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,Scenario
NZ,NZL,New Zealand,2014,2,80.22538106,25,59.98800339,5,87.76756275,6,81.90841064,2,88.20063072,27,58.34126787,Baseline
NZ,NZL,New Zealand,2015,2,79.70978469,22,55.65535918,5,87.49462781,6,81.85692761,2,87.92518215,25,58.54258159,Baseline
NZ,NZL,New Zealand,2016,4,78.82988873,23,58.53262325,5,86.50082332,6,82.26378278,2,87.84618825,25,61.92454714,Baseline
NZ,NZL,New Zealand,2017,2,78.68393283,21,59.04993817,5,86.64059178,6,83.74500605,2,88.06703354,24,61.98116534,Baseline
NZ,NZL,New Zealand,2018,3,77.91023999,21,59.61163153,6,86.76969076,6,83.95703079,2,87.59992571,25,61.51032121,Baseline
NZ,NZL,New Zealand,2019,2,83.57292351,23,57.55882603,6,87.29587066,6,88.65556871,2,87.54658809,23,73.05290134,Baseline
NZ,NZL,New Zealand,2020,3,83.17432028,27,52.42684911,5,87.77720266,6,91.84055351,2,87.47671474,22,73.58251564,Baseline
NZ,NZL,New Zealand,2021,3,81.34481617,28,49.75138455,6,83.07174303,6,90.42251491,2,87.42440719,22,73.65873562,Baseline
NZ,NZL,New Zealand,2021,3,80.80534425,28,49.75138455,7,80.79322597,6,90.42251489,2,87.42440718,22,73.65873563,Increase PIT Rate from 33 percent to 39 percent
