"country","ISO_2","ISO_3","year","consumption_payments","consumption_time","corporate_time","labor_payments","total_payments","total_time"
"Sweden","SE","SWE",2016,"4","36","50","1","6","122"
"Switzerland","CH","CHE",2016,"10","8","15","7","19","63"
"Turkey","TR","TUR",2016,"8","80","44.5","1","10","215.5"
"United Kingdom","GB","GBR",2016,"6","25","32","1","8","105"
"United States","US","USA",2016,"4.5999999999999996","33","87","3.6","10.6","175"
"Australia","AU","AUS",2017,"6","50","37","4","11","105"
"Austria","AT","AUT",2017,"8","35","46","3","12","131"
"Belgium","BE","BEL",2017,"8","75","21","2","11","136"
"Canada","CA","CAN",2017,"4","50","45","3","8","131"
"Chile","CL","CHL",2017,"5","123.5","48","1","7","296"
"Czech Republic","CZ","CZE",2017,"5","102","53","2","8","230"
"Denmark","DK","DNK",2017,"6","40","27","1","10","132"
"Estonia","EE","EST",2017,"7","14","5","0","8","50"
"Finland","FI","FIN",2017,"4","24","18","3","8","90"
"France","FR","FRA",2017,"6","31","28","2","9","139"
"Germany","DE","DEU",2017,"6","43","41","1","9","218"
"Greece","GR","GRC",2017,"6","69","78","1","8","193"
"Hungary","HU","HUN",2017,"7","96","35","2","11","277"
"Iceland","IS","ISL",2017,"7","40","40","13","21","140"
"Ireland","IE","IRL",2017,"7","29","12","1","9","81"
"Israel","IL","ISR",2017,"14","69","110","12","28","239"
"Italy","IT","ITA",2017,"11","30","39","1","14","238"
"Japan","JP","JPN",2017,"13","20","38","3","19","128.5"
"Korea","KR","KOR",2017,"8","25","83","2","12","188"
"Latvia","LV","LVA",2017,"5","66","22.5","1","7","168.5"
"Lithuania","LT","LTU",2017,"8","47","18","1","10","99"
"Luxembourg","LU","LUX",2017,"6","22","19","12","23","55"
"Mexico","MX","MEX",2017,"3","100","102","2","6","240.5"
"Netherlands","NL","NLD",2017,"7","34","21","1","9","119"
"New Zealand","NZ","NZL",2017,"4","47","34","2","7","140"
"Norway","NO","NOR",2017,"3","40","24","1","5","79"
"Poland","PL","POL",2017,"4","172","59","2","7","334"
"Portugal","PT","PRT",2017,"6","90","63","1","8","243"
"Slovak Republic","SK","SVK",2017,"6","84","46","1","8","192"
"Slovenia","SI","SVN",2017,"8","69","74","1","10","233"
"Spain","ES","ESP",2017,"7","30.5","33","1","9","147.5"
"Sweden","SE","SWE",2017,"4","36","50","1","6","122"
"Switzerland","CH","CHE",2017,"10","8","15","7","19","63"
"Turkey","TR","TUR",2017,"8","75","24","1","10","170"
"United Kingdom","GB","GBR",2017,"6","25","32","1","8","105"
"United States","US","USA",2017,"4.5999999999999996","33","87","3.6","10.6","175"
"Australia","AU","AUS",2018,"6","50","37","4","11","105"
"Austria","AT","AUT",2018,"8","35","46","3","12","131"
"Belgium","BE","BEL",2018,"8","75","21","2","11","136"
"Canada","CA","CAN",2018,"4","50","45","3","8","131"
"Chile","CL","CHL",2018,"5","123.5","48","1","7","296"
"Czech Republic","CZ","CZE",2018,"5","102","53","2","8","230"
"Denmark","DK","DNK",2018,"6","40","27","1","10","132"
"Estonia","EE","EST",2018,"7","14","5","0","8","50"
"Finland","FI","FIN",2018,"4","24","18","3","8","90"
"France","FR","FRA",2018,"6","31","28","2","9","139"
"Germany","DE","DEU",2018,"6","43","41","1","9","218"
"Greece","GR","GRC",2018,"6","69","78","1","8","193"
"Hungary","HU","HUN",2018,"7","96","35","2","11","277"
"Iceland","IS","ISL",2018,"7","40","40","13","21","140"
"Ireland","IE","IRL",2018,"7","29","12","1","9","81.5"
"Israel","IL","ISR",2018,"3","64","110","1","6","234"
"Italy","IT","ITA",2018,"11","30","39","1","14","238"
"Japan","JP","JPN",2018,"13","20","38","3","19","128.5"
"Korea","KR","KOR",2018,"8","19","75","2","12","174"
"Latvia","LV","LVA",2018,"5","66","22.5","1","7","168.5"
"Lithuania","LT","LTU",2018,"8","43","18","1","10","95"
"Luxembourg","LU","LUX",2018,"6","22","19","12","23","55"
"Mexico","MX","MEX",2018,"3","100","102","2","6","240.5"
"Netherlands","NL","NLD",2018,"7","34","21","1","9","119"
"New Zealand","NZ","NZL",2018,"4","47","34","2","7","140"
"Norway","NO","NOR",2018,"3","40","24","1","5","79"
"Poland","PL","POL",2018,"4","172","59","2","7","334"
"Portugal","PT","PRT",2018,"6","90","63","1","8","243"
"Slovak Republic","SK","SVK",2018,"6","84","46","1","8","192"
"Slovenia","SI","SVN",2018,"8","69","74","1","10","233"
"Spain","ES","ESP",2018,"7","26","33","1","9","143"
"Sweden","SE","SWE",2018,"4","36","50","1","6","122"
"Switzerland","CH","CHE",2018,"10","8","15","7","19","63"
"Turkey","TR","TUR",2018,"8","75","24","1","10","170"
"United Kingdom","GB","GBR",2018,"6","25","32","2","9","114"
"United States","US","USA",2018,"4.5999999999999996","33","87","3.6","10.6","175"
