"ISO_3","year","country","vat_rate","ISO_2","vat_revenue","final_consumption","vat_base"
"CZE",2016,"Czech Republic",21,"CZ",319.48495,2940.185,0.580515463706693
"CZE",2017,"Czech Republic",21,"CZ",333.273802,3056.212,0.582832950791013
"CZE",2018,"Czech Republic",21,"CZ",353.915198,3182.636,0.595785368946662
"CZE",2019,"Czech Republic",21,"CZ",387.536784,3378.546,0.616986817449799
"CZE",2020,"Czech Republic",21,"CZ",408.538342,3617.88,0.606174375776129
"CZE",2021,"Czech Republic",21,"CZ",435.46283,3845.811,0.608041296795079
"CZE",2022,"Czech Republic",21,"CZ",422.478999,3830.67,0.590285214811192
"CZE",2023,"Czech Republic",21,"CZ",463.521359,4081.89,0.61001097059493
"DEU",2014,"Germany",19,"DE",194.353,2036.576,0.555258796744905
"DEU",2015,"Germany",19,"DE",197.326,2085.678,0.549981091839256
"DEU",2016,"Germany",19,"DE",203.401,2137.354,0.553545809514176
"DEU",2017,"Germany",19,"DE",211.936,2198.877,0.56139192435958
"DEU",2018,"Germany",19,"DE",219.1,2277.567,0.560202274186004
"DEU",2019,"Germany",19,"DE",226.901,2350.684,0.562305936846506
"DEU",2020,"Germany",19,"DE",235.449,2422.537,0.566600549752865
"DEU",2021,"Germany",19,"DE",244.433,2508.619,0.568190720057544
"DEU",2022,"Germany",19,"DE",221.882,2461.515,0.521424715567238
"DEU",2023,"Germany",19,"DE",260.593,2571.338,0.593549744893165
"DNK",2014,"Denmark",25,"DK",179.6467,1412.034157,0.583085129533252
"DNK",2015,"Denmark",25,"DK",175.0678,1422.20465,0.561503094067022
"DNK",2016,"Denmark",25,"DK",178.9846,1445.192784,0.565419185444153
"DNK",2017,"Denmark",25,"DK",183.5779,1478.000889,0.567288750462698
"DNK",2018,"Denmark",25,"DK",194.9842,1507.956917,0.594023615191389
"DNK",2019,"Denmark",25,"DK",204.4422,1551.992324,0.60685594207997
"DNK",2020,"Denmark",25,"DK",214.4177,1605.625273,0.616493768899287
"DNK",2021,"Denmark",25,"DK",217.1073,1642.566063,0.60922786582217
"DNK",2022,"Denmark",25,"DK",227.5415,1649.749317,0.639966950765255
"DNK",2023,"Denmark",25,"DK",241.4755,1750.275728,0.64017885341942
"ESP",2014,"Spain",18,"ES",55.021,819.72,0.399728811234515
"ESP",2015,"Spain",21,"ES",60.314,804.929,0.385715468812103
"ESP",2016,"Spain",21,"ES",64.091,815.844,0.405978078032596
"ESP",2017,"Spain",21,"ES",69.294,840.632,0.427790966569038
"ESP",2018,"Spain",21,"ES",71.752,861.128,0.43284339842634
"ESP",2019,"Spain",21,"ES",75.599,895.063,0.439305738989435
"ESP",2020,"Spain",21,"ES",79.239,924.769,0.446262783613321
"ESP",2021,"Spain",21,"ES",80.889,949.463,0.443469081834955
"ESP",2022,"Spain",21,"ES",70.616,873.646,0.41874732782918
"ESP",2023,"Spain",21,"ES",83.577,937.396,0.466124218699413
"EST",2014,"Estonia",20,"EE",1.50803,12.360388,0.694793702898485
"EST",2015,"Estonia",20,"EE",1.5579,13.254207,0.665979441203108
"EST",2016,"Estonia",20,"EE",1.71112,13.905427,0.701606085528271
"EST",2017,"Estonia",20,"EE",1.87299,14.642479,0.733384867632526
"EST",2018,"Estonia",20,"EE",1.97511,15.482402,0.731127305162278
"EST",2019,"Estonia",20,"EE",2.14871,16.559763,0.74550763223201
"EST",2020,"Estonia",20,"EE",2.3307,17.956348,0.745793070469781
"EST",2021,"Estonia",20,"EE",2.48261,19.351636,0.735848649471523
"EST",2022,"Estonia",20,"EE",2.439265,19.353456,0.721070549575797
"EST",2023,"Estonia",20,"EE",2.877103,21.367022,0.778019362875521
"FIN",2014,"Finland",23,"FI",17.987,157.089,0.562208651393128
"FIN",2015,"Finland",24,"FI",18.888,160.841,0.554408853634654
"FIN",2016,"Finland",24,"FI",18.948,163.508,0.546140011068069
"FIN",2017,"Finland",24,"FI",18.974,166.689,0.535208566044974
"FIN",2018,"Finland",24,"FI",19.694,169.67,0.547143098451308
"FIN",2019,"Finland",24,"FI",20.404,171.869,0.561295788906128
"FIN",2020,"Finland",24,"FI",21.364,177.402,0.570480694873471
"FIN",2021,"Finland",24,"FI",21.974,181.7,0.573221224680599
"FIN",2022,"Finland",24,"FI",22.005,179.481,0.582231578145241
"FIN",2023,"Finland",24,"FI",23.551,189.886,0.589948998507029
"FRA",2014,"France",19.6,"FR",142.121122,1643.249,0.483041968597776
"FRA",2015,"France",19.6,"FR",144.18864,1667.231,0.483017640120405
"FRA",2016,"France",20,"FR",148.17446,1686.181,0.481709460091112
"FRA",2017,"France",20,"FR",151.362798,1711.57,0.485072744844309
"FRA",2018,"France",20,"FR",154.243133,1742.524,0.485566300661103
"FRA",2019,"France",20,"FR",161.592753,1783.312,0.498214328093252
"FRA",2020,"France",20,"FR",167.450052,1823.37,0.505610347294397
"FRA",2021,"France",20,"FR",174.2899,1867.051,0.514809502652205
"FRA",2022,"France",20,"FR",161.434192,1807.772,0.490282708735557
"FRA",2023,"France",20,"FR",185.095462,1923.557,0.53235420500859
"GBR",2014,"United Kingdom",20,"GB",116.462,1460.751,0.433173223912418
"GBR",2015,"United Kingdom",20,"GB",121.46,1516.352,0.435374208182426
"GBR",2016,"United Kingdom",20,"GB",127.647,1573.541,0.441412026054469
"GBR",2017,"United Kingdom",20,"GB",132.906,1611.479,0.449440102044336
"GBR",2018,"United Kingdom",20,"GB",137.214,1679.879,0.444730385404479
"GBR",2019,"United Kingdom",20,"GB",143.382,1732.736,0.451070057394388
"GBR",2020,"United Kingdom",20,"GB",149.304,1799.889,0.452276011232381
"GBR",2021,"United Kingdom",20,"GB",154.996,1865.62,0.453039358736929
"GBR",2022,"United Kingdom",20,"GB",139.461,1737.997,0.436214761506779
"GBR",2023,"United Kingdom",20,"GB",157.118,1883.756,0.454982457237707
"GRC",2014,"Greece",23,"GR",13.713,174.211013,0.371479609099178
"GRC",2015,"Greece",23,"GR",12.593,162.827998,0.364443536073023
"GRC",2016,"Greece",23,"GR",12.676,158.914828,0.376870111939497
"GRC",2017,"Greece",23,"GR",12.885,156.873744,0.389070267398365
"GRC",2018,"Greece",23,"GR",14.333,154.614742,0.444230235637848
"GRC",2019,"Greece",24,"GR",14.642,158.307469,0.424655512267414
"GRC",2020,"Greece",24,"GR",15.288,159.831765,0.440696975064957
"GRC",2021,"Greece",24,"GR",15.39,163.600366,0.432662044704754
"GRC",2022,"Greece",24,"GR",12.925,153.385523,0.383411406396847
"GRC",2023,"Greece",24,"GR",12.925,162.719471,0.359520390219654
"HUN",2014,"Hungary",27,"HU",2627.571,21378.962,0.518987868390374
"HUN",2015,"Hungary",27,"HU",2693.555,21824.419,0.521467803525739
"HUN",2016,"Hungary",27,"HU",3011.162,22993.526,0.55811473816871
"HUN",2017,"Hungary",27,"HU",3309.54,24040.414,0.591270563679831
"HUN",2018,"Hungary",27,"HU",3299.838,25361.281,0.553981089189054
"HUN",2019,"Hungary",27,"HU",3626.566,27604.71,0.560165370844629
"HUN",2020,"Hungary",27,"HU",4129.537,29911.095,0.593237285406936
"HUN",2021,"Hungary",27,"HU",4526.757,33037.699,0.588046745935882
"HUN",2022,"Hungary",27,"HU",4717.048,34295.539,0.590650420542013
"HUN",2023,"Hungary",27,"HU",5397.233,38172.064,0.609911668250916
"IRL",2014,"Ireland",23,"IE",10.21926,111.32994,0.439434936224257
"IRL",2015,"Ireland",23,"IE",10.37194,111.459575,0.446101952077006
"IRL",2016,"Ireland",23,"IE",11.52748,115.611177,0.481530534612635
"IRL",2017,"Ireland",23,"IE",11.831,119.559352,0.477489254033911
"IRL",2018,"Ireland",23,"IE",12.60252,125.704867,0.484460019360971
"IRL",2019,"Ireland",23,"IE",13.060014,131.395024,0.479846746666243
"IRL",2020,"Ireland",23,"IE",14.148792,139.246807,0.491746307537508
"IRL",2021,"Ireland",23,"IE",15.270995,147.229999,0.50315346753286
"IRL",2022,"Ireland",23,"IE",12.753412,140.775728,0.433124623298522
"IRL",2023,"Ireland",23,"IE",16.603871,153.055268,0.52905829522772
"ISL",2014,"Iceland",25.5,"IS",142.814344,1443.238014,0.430672144702189
"ISL",2015,"Iceland",25.5,"IS",149.827545,1513.552212,0.430848700047749
"ISL",2016,"Iceland",25.5,"IS",160.870829,1594.056737,0.44018434214079
"ISL",2017,"Iceland",24,"IS",183.6739,1689.487076,0.508235635644794
"ISL",2018,"Iceland",24,"IS",205.434968,1815.739872,0.531563327669859
"ISL",2019,"Iceland",24,"IS",233.950706,1949.053453,0.5683593067753
"ISL",2020,"Iceland",24,"IS",244.624309,2116.942855,0.54438810978197
"ISL",2021,"Iceland",24,"IS",243.284596,2262.391217,0.502046700319679
"ISL",2022,"Iceland",24,"IS",233.732257,2339.570673,0.462468723510392
"ISL",2023,"Iceland",24,"IS",277.80845,2585.172525,0.50166994488433
"ISR",2014,"Israel",16,"IL",72.776764,774.159949,0.648511091693765
"ISR",2015,"Israel",17,"IL",81.523047,817.461447,0.651613416685578
"ISR",2016,"Israel",18,"IL",87.812232,851.27873,0.638987741585661
"ISR",2017,"Israel",18,"IL",90.823805,884.276212,0.635925595527804
"ISR",2018,"Israel",17,"IL",91.998684,931.165132,0.644888425534102
"ISR",2019,"Israel",17,"IL",94.531213,969.268339,0.635694933135294
"ISR",2020,"Israel",17,"IL",99.442364,1019.030088,0.636105797289809
"ISR",2021,"Israel",17,"IL",102.462845,1067.617114,0.624483190932308
"ISR",2022,"Israel",17,"IL",100.372501,1020.298344,0.641819643358566
"ISR",2023,"Israel",17,"IL",118.985,1124.522624,0.696057261310276
"ITA",2014,"Italy",21,"IT",96.17,1317.4641,0.374973056000501
"ITA",2015,"Italy",21,"IT",93.921,1301.6306,0.370323177974951
"ITA",2016,"Italy",22,"IT",97.071,1304.2885,0.365494882390139
"ITA",2017,"Italy",22,"IT",100.692,1322.2802,0.37466873787002
"ITA",2018,"Italy",22,"IT",102.086,1342.2287,0.374172482511305
"ITA",2019,"Italy",22,"IT",107.576,1373.3435,0.386312508562448
"ITA",2020,"Italy",22,"IT",109.333,1400.621,0.384862386871234
"ITA",2021,"Italy",22,"IT",111.464,1409.1916,0.390416714150601
"ITA",2022,"Italy",22,"IT",99.669,1307.2343,0.375168870032046
"ITA",2023,"Italy",22,"IT",120.833,1377.7181,0.436985774666999
"JPN",2014,"Japan",5,"JP",12901.5,388550.8,0.68689067169831
"JPN",2015,"Japan",5,"JP",13478.9,396750,0.703361145674693
"JPN",2016,"Japan",5,"JP",19135.4,402378.2,0.998604539993967
"JPN",2017,"Japan",8,"JP",22400.487,405614.7,0.73067772019197
"JPN",2018,"Japan",8,"JP",21931,404782.6,0.716041150147995
"JPN",2019,"Japan",8,"JP",22249.2,409415.1,0.718335473242866
"JPN",2020,"Japan",8,"JP",22496.4,413789.5,0.718655657357618
"JPN",2021,"Japan",8,"JP",23148.2,415641.8,0.737215842500362
"JPN",2022,"Japan",10,"JP",26395.2,404342.9,0.698382342318792
"JPN",2023,"Japan",10,"JP",27063.5,411697,0.703617859598813
"KOR",2014,"Korea",10,"KR",58702,949804.9,0.658756693531129
"KOR",2015,"Korea",10,"KR",59105,982775.9,0.639892411896921
"KOR",2016,"Korea",10,"KR",62975,1018422,0.659115576269537
"KOR",2017,"Korea",10,"KR",60162,1054900.3,0.604802288199821
